,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2,unit_id
0,0.6461555,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.",medium,2021-02-27 20:30:26,2021-03-01 00:00:00,NOS liveblog,Algemeen Dagblad,3287531,3286186,"Geweld, Dublin, Leo Varadkar","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']",3287531_3286186
10,0.80488735,"Nu rondkomen als student? Let op je aanvullende beurs, huur, \xc3\xa9n ga stemmen; Koop groenten op de markt, shop tweedehands online zijn er genoeg lijstjes met tips om het studentenleven financieel vol te houden. Studeren kost kisten vol geld. Op de kleintjes letten is dus goed, maar welke adviezen maken nu echt het verschil? Uit onderzoek van het Centraal planbureau CPB blijkt dat een kwart van de eerstejaarsstudenten in het hoger onderwijs die recht hebben op een aanvullende beurs, er geen gebruik van maken. Zij lopen daarmee maandelijks gemiddeld 175 euro mis. DUO-woordvoerder Martijn Grimmius weet niet waarom het gebeurt Dit wordt momenteel onderzocht. Wij communiceren het nu nog beter. Zo geven we het duidelijk op onze website aan en zijn we in januari gestart om de campagne bijna achttien op middelbare scholen te verspreiden. In deze campagne leren toekomstige studenten wat studiefinanciering is en wat je financieel nodig hebt om je gewenste opleiding te gaan volgen. Daarin geven we ook aan check altijd of je recht hebt op een aanvullende beurs.","Derde van gemeenten in geldnood; Gemeentefinanci n De provincies constateren dat vrijwel alle gemeenten financi le tekorten hebben. , Bijna n op de drie gemeenten lukte het niet voor 2021 een sluitende begroting te maken. In totaal gaat het om 120 gemeenten die dit jaar hun begroting niet rond krijgen. De overige 216 gemeenten hebben vrijwel zonder uitzondering stevige beleidskeuzes moeten maken, fors moeten bezuinigen, hun reserves moeten aanspreken of de lasten voor de inwoners moeten verhogen om hun begrotingen tot 2024 sluitend te krijgen. Dat blijkt uit onderzoek van NRC van alle 336 toezichtbrieven die de provincies sturen in antwoord op de door de gemeenten ingediende begrotingen. Lees ook het achtergrondverhaal Het geld van de gemeenten raakt op, en dat gaat iedereen merken Negentien gemeenten werden niet meegeteld, omdat zij net zijn gefuseerd of dat komend jaar zullen doen. Twaalf van de 336 gemeenten staan onder curatele van de provincie, drie meer dan vorig jaar. Zij konden tot 2024 geen enkel begrotingsjaar sluitend krijgen en moeten de komende maanden een herstelplan inleveren. Maar het getal van twaalf maskeert het probleem, zegt Floor Vermeulen, gedeputeerde in Zuid-Holland Financi n, VVD.",high,2021-02-28 21:37:06,2021-03-01 00:00:00,NU.nl,NRC Handelsblad,3288419,3285615,"CPB, Martijn Grimmius","Gemeentefinanci n, NRC, Negentien, Financi n, VVD","['studiefinanciering', 'grimmius', 'eerstejaarsstudenten', 'xa9n', 'studentenleven']","['begrotingsjaar', 'beleidskeuzes', 'meegeteld', '2024', 'gemeentefinanci']",3288419_3285615
13,0.6919495,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","'Opvallend en veelzeggend dat VVD en CDA hier niet staan'; Een aantal partijen heeft op een persconferentie gereageerd op de doorrekeningen van het CPB en de PBL. En op het feit dat CDA en VVD n et op de persconferentie waren. Vooral de progressieve partijen staan hier, zei GroenLinks-leider Klaver. Opvallend en veelzeggend dat VVD en CDA hier niet staan. Hun programma's zijn sociaal slecht en brengen economische rampspoed, stelt PvdA-Kamerlid Nijboer. Dus ik snap wel dat ze hier niet staan. D66 benadrukt dat blijkt dat Nederland sterker en groener uit de crisis komt, als hun partijprogramma wordt uitgevoerd. De crux is dus dat het wel kan, veel ambities hebben en de economie een steun in de rug geven, zei Kamerlid Van Weyenberg. D66 heeft de CO2-reductie op 60 procent staan in 2030. Dat is relatief ambitieus, maar GroenLinks gaat er nog overheen. Wij komen uit op 63 procent, zei Klaver. Dat is belangrijk, want de uitvoering blijft altijd achter, daarom heb je overshoot nodig.",medium,2021-02-27 20:30:26,2021-03-01 13:15:24,NOS liveblog,NOS liveblog,3287531,6290506,"Geweld, Dublin, Leo Varadkar","CDA, CPB, PBL, CDA, CDA, Kamerlid Van Weyenberg, ambitieus, GroenLinks","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['rampspoed', 'doorrekeningen', 'reductie', 'overshoot', 'groener']",3287531_6290506
22,0.73200417,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","Stelling 5: gevaccineerde burgers moeten als eersten hun vrijheid terugkrijgen; D66-lijsttrekker Kaag zei zaterdag al dat zij hiervoor is . Daarnaast moeten we inzetten op massaal sneltesten, voegt zij er vandaag aan toe. Hoekstra zegt dat ervoor gekozen is om de zwaksten als eersten te vaccineren. Maar het kan ook niet om jongeren het langst opgesloten te laten zitten, zegt hij. Daar helpen ook sneltests bij, denkt Hoekstra. PVV-lijsttrekker Wilders en SP-lijsttrekker Marijnissen zijn tegen voordeeltjes voor gevaccineerden en dwang of drang naar burgers toe. Marijnissen zegt dat dat leidt tot een tweedeling in de samenleving, terwijl burgers niet de keus hebben om zich snel te laten vaccineren. VVD-lijsttrekker Rutte is ook tegen, omdat het nog niet duidelijk is of mensen die zijn inge nt niet toch het virus verspreiden. Dus nu nog niet, zegt hij. Klaver van GroenLinks wil dat er vooral ingezet wordt op het zo snel mogelijk vaccineren van iedereen. Kaag vindt dus weinig bijval, en mag daarop reageren. Zij verdedigt haar standpunt met de stelling dat het voor jongeren nu heel erg moeilijk is dat zij thuis moeten zitten. CDA-lijsttrekker Hoekstra is het niet met haar eens. Ouderen worden eerder inge nt dan jongeren.",high,2021-02-27 20:30:26,2021-02-28 23:18:22,NOS liveblog,NOS liveblog,3287531,3287467,"Geweld, Dublin, Leo Varadkar","Wilders, Marijnissen, Marijnissen, Klaver van GroenLinks","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['sneltesten', 'gevaccineerden', 'gevaccineerde', 'sneltests', 'vaccineren']",3287531_3287467
26,0.80302835,"Precies een jaar sinds de eerste positieve test: zo begon de crisis; Nederland leeft zaterdag al precies een jaar met het coronavirus . Op 27 februari 2020 maakt toenmalig minister Bruno Bruins Medische Zorg bekend dat voor het eerst een besmetting is geconstateerd. De pati nt is niet heel ziek, maar uit voorzorg opgenomen in het ziekenhuis in Tilburg. Een terugblik op het begin van de crisis die daarna losbarstte. De Nederlandse overheid gaat er begin 2020 nog van uit dat SARS-CoV-2 de offici le naam van het virus helemaal niet zo gevaarlijk is. Het harde ingrijpen van de Chinese autoriteiten in Wuhan, waar de eerste grote uitbraak was, wordt in het westen vaak in verband gebracht met de autoritaire regeerstijl van de Chinese communistische partij. Niet zo heel besmettelijk Geruststellende woorden overheersen. Zo meldt het RIVM eind januari De ziekte lijkt, met wat er nu bekend is, niet zo heel besmettelijk. Halverwege februari brengt het instituut een kort filmpje naar buiten waarin het uitlegt waarom we ons geen zorgen hoeven te maken over COVID-19. Een dag voordat het nieuws over de eerste pati nt naar buiten komt, benadrukt ook de GGD dat paniek niet nodig is. Dat wordt echter pas maanden later duidelijk.","Ed Nijpels: 'VVD had klimaatplannen moeten laten doorrekenen'; VVD-coryfee en voorzitter van het Klimaatberaad Ed Nijpels vindt het een gemiste kans dat zijn partij de klimaatparagraaf van haar verkiezingsprogramma niet heeft laten doorrekenen door het PBL. Andere grote politieke partijen deden dat wel. Wij hebben al in 2013 tijdens de onderhandelingen voor het Energieakkoord besloten dat het PBL onze onafhankelijke rekenmeester is, of de uitslag ons nou bevalt of niet, zegt Nijpels tegen het FD. Soms pakt de uitslag goed uit en soms slecht. Er mag niet getwijfeld worden aan die onafhankelijkheid. Het is jammer dat de VVD het verkiezingsprogramma niet gewoon aan het PBL heeft gegeven, ook voor de kiezer is dat noodzakelijk. Het PBL rekende het Klimaatakkoord, dat in 2019 werd gesloten door politiek en maatschappelijke organisaties, al door. Voor de VVD is dat reden om af te zien van een doorrekening van de klimaatparagraaf in het eigen verkiezingsprogramma, zei premier Mark Rutte zondagavond tijdens een tv-debat van RTL Nieuws. Voor Nijpels kwam het besluit van zijn partij als een verrassing. Het was sterker geweest als ze dit wel had gedaan. Hier deed de VVD wel aan mee.",high,2021-02-27 17:37:46,2021-03-01 00:00:00,NU.nl,Het Financieele Dagblad,3288528,3290593,"Bruno Bruins, Medische Zorg, Chinese communistische partij, RIVM, GGD","Ed Nijpels, VVD, Klimaatberaad Ed Nijpels, PBL, PBL, PBL, PBL, VVD, Mark Rutte, RTL Nieuws, VVD","['meldt', 'chinese', 'bruno', 'coronavirus', 'losbarstte']","['coryfee', 'klimaatparagraaf', 'klimaatberaad', 'klimaatakkoord', 'verkiezingsprogramma']",3288528_3290593
38,0.7736163,"Deskundigen: overweeg één-prik-strategie; Prik niet twee keer, maar n keer. Die oproep doen verschillende deskundigen, omdat daarmee het vaccineren aanzienlijk versneld kan worden. Met n prik kan je nog flink ziek worden door corona, maar er niet meer aan doodgaan. Dat is bemoedigend, want zo kan je nadenken over het openen van de scholen, restaurants en winkels. Die nood daar is ook enorm, zegt vaccinoloog Gideon Kersten.","Scholen vragen zich af: waar blijven de sneltests?; Met de opening van de basisscholen drie weken geleden zouden ook sneltests beschikbaar komen voor de veiligheid van het personeel. Maar waar blijven ze? CNV Onderwijs vindt dat scholen aan het lijntje worden gehouden. Vandaag beginnen pilots op basisscholen met sneltests, maar het gaat nog maanden duren voor de resultaten daarvan beschikbaar zijn. In december werden deze tests ons al beloofd, zegt een woordvoerder van de vakbond. In dit tempo wordt het niks. De tijd tikt door. Zeker nu vorige week bekend werd dat op basisschool Oostelijke Eilanden in Amsterdam 40 leerlingen en 12 medewerkers besmet raakten, en dat het hierbij vooral kleuters en hun leerkrachten betrof, neemt de onrust op basisscholen toe. Kleuters werden als de meest risicoloze leerlingen beschouwd als het gaat om coronabesmettingen. Zij mochten aanvankelijk zelfs met snottebellen naar school komen. Of de Amsterdamse leerlingen besmet zijn met de meer besmettelijke Britse variant is nog niet bekend. Behalve CNV Onderwijs vinden ook lerarenvakbond AOb en de Algemene Vereniging Schoolleiders AVS dat er nu echt tempo gemaakt moet worden met gewone en kindvriendelijke sneltesten, maar ook met vaccinatie van leerkrachten.",high,2021-02-27 18:58:44,2021-03-01 00:00:00,NOS liveblog,Trouw,3287532,3285335,"Prik, Gideon Kersten","CNV, Kleuters, CNV, AOb, Algemene Vereniging Schoolleiders AVS","['vaccineren', 'kersten', 'vaccinoloog', 'gideon', 'maar']","['sneltesten', 'sneltests', 'amsterdamse', 'schoolleiders', 'snottebellen']",3287532_3285335
47,0.7032473,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","De uitzending van 1 maart: Gasvrij duurder dan verwacht / IC's vol in Hoorn / Genomineerden Libris Literatuurprijs / Doorrekening verkiezingsprogramma's; Wat kost woning aardgasvrij maken ? Het gaat er deze campagne nog nauwelijks over, maar Nederland staat aan het begin van een ongekende verbouwing. Alle negen miljoen woningen en gebouwen moeten van het gas af, voor het klimaat. In de wijken waar men er als proef al mee begonnen is, is nu voor het eerst gedetailleerd gekeken naar het kostenplaatje. Die blijken veel hoger dan verwacht en zullen de komende jaren bovendien amper dalen. Nieuwsuur spreekt met de onderzoeker van het nieuwe rapport en ging naar het Friese Garijp waar ze de hoge kosten herkennen. IC's liggen vol in Hoorn Terwijl de roep om verdere versoepelingen hard klinkt, zijn de besmettingen in de veiligheidsregio Noord-Holland Noord juist heel erg toegenomen de afgelopen dagen, met name in Hoorn. In de eerste golf werd die regio niet hard getroffen, maar er werden gisteren 133 mensen positief getest. Minister de Jonge riep vandaag lijsttrekkers dan ook op behoedzaam te zijn met uitspraken over versoepelingen. Hij verwees daarbij naar de kop van Noord-Holland. We gaan langs in het Dijklander ziekenhuis en we spreken burgemeester Jan Nieuwenburg.",high,2021-02-27 20:30:26,2021-03-01 12:06:47,NOS liveblog,Nieuwsuur,3287531,6290579,"Geweld, Dublin, Leo Varadkar","Friese Garijp, Noord-Holland Noord, Jan Nieuwenburg","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['nieuwenburg', 'gasvrij', 'besmettingen', 'aardgasvrij', 'versoepelingen']",3287531_6290579
50,0.67925024,"D66 pleit voor vaccinatiebewijs; D66-lijsttrekker Sigrid Kaag wil mensen die gevaccineerd zijn meer toegang geven tot het openbare leven . Daarvoor moet een vaccinatiebewijs worden ingevoerd, vindt de partij. Dezelfde vrijheden als voor inge nte mensen moeten ook gelden voor mensen die een negatieve coronatestuitslag kunnen laten zien. Er lijkt een taboe te liggen op het woord vaccinatiebewijs. Maar toch is dat precies wat we nodig zullen hebben, zei Kaag in een toespraak op het online partijcongres. Uiteraard met de garantie van tijdelijkheid, privacyvoorwaarden en het liefst op Europees niveau. D66 vindt het niet terecht dat gevaccineerde mensen moeten wachten met leven tot iedereen is gevaccineerd. Laten we als Nederland een voorbeeld nemen aan Isra l, waar gevaccineerde mensen weer toegang krijgen tot het maatschappelijk leven, zegt Kaag. Tussen de Europese landen lopen al gesprekken over een vaccinatiepaspoort. Demissionair premier Rutte heeft namens Nederland gezegd op voorhand geen principi le bezwaren te hebben. Wel moet kritisch gekeken worden naar de uitvoering, zei hij. Ook Duitsland en Oostenrijk zijn voorstander. De Gezondheidsraad heeft in Nederland geadviseerd erg terughoudend te zijn met een vaccinatiebewijs.","kruiswoordtest 5898; Horizontaal 1deze Europeanen boeken massaal mediterrane vakanties na 17 mei, meldde Trouw vorige week 7 5hoeveel spelers blijven er over als een voetbalelftal waarvan de oudste drie 27 zijn, buiten gaat sporten? 4 10voor welk horlogemerk maakt Roger Federer voor miljoenen euro's per jaar reclame? 5 11zeerovers leiders van een partij die zeggen dat ze socialer zijn dan de SP en liberaler dan de VVD 7 12godin van de wraak of, figuurlijk, de wrekende gerechtigheid 7, anagram van nee, miss 14minister aan wie Nederland de Mammoetwet dankt 4 16verbeterde of geactualiseerde versie leenwoord uit het Engels, 6 18couplet, strofe achtregelig, met rijmschema abababcc 6, anagr. Ans zat 20..... et avoir, Franse film uit 2002 over een dorpsschooltje 4 21onderzoek van 't parlement, naar 't toeslagenschandaal bijvoorbeeld 7 24begraafplaats taalkundige die op YouTube zeventiende-eeuws Hollands laat horen 7 25taal van de band Altin G n die de oprichter ervan zelf niet verstaat 5 27leesteken dat in krantenkoppen meestal ontbreekt 4 28hoe oud worden Serena Williams en Roger Federer dit jaar? 7. Connie Breukhoven 5 23(1 prik tegen 4 ziekten afk. Oplossing 5897.",medium,2021-02-27 16:40:42,2021-03-01 00:00:00,NOS liveblog,Trouw,3287535,3285386,"D66, Sigrid Kaag, Isra, Wel","Roger Federer voor miljoenen, SP, VVD, 18couplet, Altin G, Serena Williams, Roger Federer, Connie Breukhoven","['gevaccineerd', 'gevaccineerde', 'vaccinatiepaspoort', 'vaccinatiebewijs', 'coronatestuitslag']","['europeanen', 'geactualiseerde', 'anagr', 'williams', '11zeerovers']",3287535_3285386
57,0.7665442,"Excuses van de koning voor slavernij zijn onafwendbaar; Slavernijverleden Ruttes weigering om excuses te maken voor de slavernijgeschiedenis, is nu al onhoudbaar, betoogt Tineke Bennema. Weigeren is niet alleen ahistorisch, maar ook hovaardig.,De grote Perzische koningen uit de Oudheid lieten zichzelf graag in stenen reli fs afbeelden, zittend op een eenvoudige houten troon met een scepter in de hand. Maar die simpele stoel stond hoog boven op verschillende lagen van mensen die met geheven armen de vloer onder hem stutten. Als je door je oogharen kijkt, zouden zij boeken kunnen zijn in een boekenkast bestaand uit planken. Wie niet beter weet, denkt goh, sympathieke geste, erkenning van het werk van zijn burgers. Maar de koningen keken neer op hun onderdanen en hun bestuur was absoluut, en vaak wreed. Tineke Bennema is historicus. De Amerikaanse vicepresident Kamala Harris maakte gebruik van dezelfde metafoor van mensen die dragen, opofferen en samen meer kracht doorgeven. Nederig stelde ze in haar overwinningsspeech dat zij op de schouders stond van haar moeder, grootmoeder en al die vrouwen voor haar die ertoe bijdroegen dat zij als eerste zwarte Amerikaanse vrouw het vicepresidentschap kon bekleden.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,NRC Handelsblad,Algemeen Dagblad,3285647,3286186,"Slavernijverleden Ruttes, Tineke Bennema","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['onafwendbaar', 'ruttes', 'opofferen', 'slavernijverleden', 'amerikaanse']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']",3285647_3286186
72,0.84831166,"Precies een jaar sinds de eerste positieve test: zo begon de crisis; Nederland leeft zaterdag al precies een jaar met het coronavirus . Op 27 februari 2020 maakt toenmalig minister Bruno Bruins Medische Zorg bekend dat voor het eerst een besmetting is geconstateerd. De pati nt is niet heel ziek, maar uit voorzorg opgenomen in het ziekenhuis in Tilburg. Een terugblik op het begin van de crisis die daarna losbarstte. De Nederlandse overheid gaat er begin 2020 nog van uit dat SARS-CoV-2 de offici le naam van het virus helemaal niet zo gevaarlijk is. Het harde ingrijpen van de Chinese autoriteiten in Wuhan, waar de eerste grote uitbraak was, wordt in het westen vaak in verband gebracht met de autoritaire regeerstijl van de Chinese communistische partij. Niet zo heel besmettelijk Geruststellende woorden overheersen. Zo meldt het RIVM eind januari De ziekte lijkt, met wat er nu bekend is, niet zo heel besmettelijk. Halverwege februari brengt het instituut een kort filmpje naar buiten waarin het uitlegt waarom we ons geen zorgen hoeven te maken over COVID-19. Een dag voordat het nieuws over de eerste pati nt naar buiten komt, benadrukt ook de GGD dat paniek niet nodig is. Dat wordt echter pas maanden later duidelijk.","Digitale campagne wordt platter én dieper; Verkiezingen Campagne voeren hoeft niet zo ingewikkeld te zijn. De VVD geeft op Instagram het voorbeeld, met een nieuwe trend, overgewaaid uit het buitenland. Trek de kiezer met grappige plaatjes. Tover een lach tevoorschijn. Wat altijd werkt zijn plaatjes van dieren. Bijvoorbeeld een foto van een kip en een roofvogel. De kip heeft verrassend genoeg de roofvogel op de grond gedwongen. Bijschrift bij de kip VVD met nieuwe plannen om de misdaad aan te pakken. Bij de beteuterde roofvogel staat Zware criminelen. Het oogt als typische internethumor, en zo is het ook bedoeld. De VVD heeft ook zulke plaatjes over kernenergie, met een pitbull en een labradorpuppy in beeld. In een paar woorden geven ze het standpunt van de partij weer. Grappen maken met ogenschijnlijk amateuristisch knip- en plakwerk is geen toeval het ontwapent. Achter de VVD-campagne steken bekende marketingbureaus, gespecialiseerd in het be nvloeden van gedrag. Wat die bureaus precies adviseren en organiseren blijft geheim, zoals bijna alle partijen in verkiezingstijd niet graag in hun keuken laten kijken. Ook de SP heeft zo'n campagne vol beeldgrappen.",high,2021-02-27 17:37:46,2021-03-01 00:00:00,NU.nl,Trouw,3288528,3285375,"Bruno Bruins, Medische Zorg, Chinese communistische partij, RIVM, GGD","VVD, SP","['meldt', 'chinese', 'bruno', 'coronavirus', 'losbarstte']","['labradorpuppy', 'internethumor', 'beeldgrappen', 'ontwapent', 'tevoorschijn']",3288528_3285375
