,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2,unit_id
8,0.8302801,"Contact met de kiezer; Geen flyerende lijsttrekkers in windjacks op markten deze keer . Kandidaat-Kamerleden zoeken noodgedwongen hun contact met de kiezer online. Zoals ChristenUnie-lijsttrekker Gert-Jan Segers, hierboven afgebeeld terwijl hij vragen beantwoordt die kiezers hem op online platform Instagram stellen. Anders dan praten met de burgers zelf, praten de politici nu tegen camera's. Populair zijn ook livesessies op Facebook. Zo ging Mark Rutte dit weekend in gesprek met horeca-ondernemers en zond de VVD dat uit op Facebook. Naast de online campagne, werd er dit weekend ook ouderwets geflyerd. Maar aanbellen, dat deden de meeste campagnevoerende partijleden niet, uit angst voor verdere verspreiding van het coronavirus. Forum voor Democratie ging er als enige partij wel op uit om campagne te voeren. Met een vrijheidskaravaan deed de partij Nijmegen en Venlo aan voor een manifestatie. Toen er meer dan tweehonderd mensen langskwamen, moest burgemeester Hubert Bruls de bijeenkomst, die wel aangekondigd en aangevraagd was, voortijdig afbreken. Een bezoeker in Venlo twitterde dat met de komst van Baudet het centrale plein voor het eerst sinds carnaval vorig jaar weer vol stond.","Kaag: vaccinatiebewijs of negatieve test moet weer toegang bieden tot 'het leven'; E r moet een vaccinatiebewijs komen om het maatschappelijk leven opnieuw op te starten, zegt D66-leider Sigrid Kaag. Ook gratis coronatests moeten toegang gaan bieden tot de horeca, winkels, stadions en onderwijslocaties. Ik zie al het voor me opa die net gevaccineerd is, eindelijk weer uit eten met kleindochter met negatieve test, zei Kaag zaterdagmiddag op het online verkiezingscongres van D66. Kaag is daarmee de eerste partijleider die onomwonden aanstuurt op de invoering van een vaccinatiebewijs. Zo'n bewijs is omstreden sommige partijen op het Binnenhof zien het als een instrument om Nederlanders indirect tot een vaccinatie te dwingen. Ook is nog onduidelijk of gevaccineerden andere mensen kunnen besmetten. Het taboe moet eraf, zei Kaag zaterdag. Volgens haar is een vaccinatiebewijs precies wat we nodig zullen hebben in het vervolg van de coronacrisis, op voorwaarde dat de maatregel tijdelijk is en de privacy van burgers wordt beschermd. Je kunt toch niet van gevaccineerde mensen verwachten dat ze wachten met leven totdat de laatste prik is gezet? Daarvoor is de stille crisis, met alle blijvende psychische schade door het isolement te groot.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Trouw,De Volkskrant,3285326,3285227,"Gert-Jan Segers, Mark Rutte, Forum voor Democratie, Hubert Bruls, Baudet","E r, Sigrid Kaag, stadions, D66, Kaag zaterdag","['livesessies', 'vrijheidskaravaan', 'flyerende', 'facebook', 'windjacks']","['gevaccineerd', 'gevaccineerden', 'gevaccineerde', 'vaccinatiebewijs', 'coronatests']",3285326_3285227
14,0.83790636,"Forum voor Democratie Jacht  op extra stemmen; Waar andere partijen zich nauwelijks op straat wagen toert Forum voor Democratie stad en land af. Die optredens trekken niet alleen de aandacht van kiezers het Openbaar Ministerie kijkt inmiddels of Baudets campagneteam niet op grote schaal de coronaregels geschonden heeft. Zo werden bij een bezoek aan Urk volgens getuigen honderden handen geschud. En dan was er nog de volmacht-rel. In een live-uitzending riep Baudet donderdag zijn kijkers op zoveel mogelijk stemmen per volmacht te regelen. Om de besmettingskansen te verkleinen mogen kiezers dit jaar niet twee maar drie volmachtsstemmen uitbrengen. Een persoon kan vier keer stemmen eigenlijk, als je maar die volmachten kunt regelen, aldus Baudet, en dat was een enorme kans. Ho, zei het ministerie van Binnenlandse Zaken dat is niet de bedoeling en mag helemaal niet. Daar leek het campagneteam van Forum toen al achter gekomen de suggestie om stemmen te regelen was door de partij schielijk uit het filmpje van Baudet geknipt. Aan een ander standpunt houdt Baudet wel openlijk vast de grote kans op verkiezingsfraude. Door anderen, uiteraard.","Digitale campagne wordt platter én dieper; Verkiezingen Campagne voeren hoeft niet zo ingewikkeld te zijn. De VVD geeft op Instagram het voorbeeld, met een nieuwe trend, overgewaaid uit het buitenland. Trek de kiezer met grappige plaatjes. Tover een lach tevoorschijn. Wat altijd werkt zijn plaatjes van dieren. Bijvoorbeeld een foto van een kip en een roofvogel. De kip heeft verrassend genoeg de roofvogel op de grond gedwongen. Bijschrift bij de kip VVD met nieuwe plannen om de misdaad aan te pakken. Bij de beteuterde roofvogel staat Zware criminelen. Het oogt als typische internethumor, en zo is het ook bedoeld. De VVD heeft ook zulke plaatjes over kernenergie, met een pitbull en een labradorpuppy in beeld. In een paar woorden geven ze het standpunt van de partij weer. Grappen maken met ogenschijnlijk amateuristisch knip- en plakwerk is geen toeval het ontwapent. Achter de VVD-campagne steken bekende marketingbureaus, gespecialiseerd in het be nvloeden van gedrag. Wat die bureaus precies adviseren en organiseren blijft geheim, zoals bijna alle partijen in verkiezingstijd niet graag in hun keuken laten kijken. Ook de SP heeft zo'n campagne vol beeldgrappen.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,NRC Handelsblad,Trouw,3285634,3285375,"Forum voor Democratie, Forum voor Democratie, Ministerie kijkt, Urk, Baudet, Baudet, Baudet, Baudet","VVD, SP","['besmettingskansen', 'volmachtsstemmen', 'schielijk', 'volmachten', 'baudets']","['labradorpuppy', 'internethumor', 'beeldgrappen', 'ontwapent', 'tevoorschijn']",3285634_3285375
18,0.75481224,"Ed Nijpels: 'VVD had klimaatplannen moeten laten doorrekenen'; VVD-coryfee en voorzitter van het Klimaatberaad Ed Nijpels vindt het een gemiste kans dat zijn partij de klimaatparagraaf van haar verkiezingsprogramma niet heeft laten doorrekenen door het PBL. Andere grote politieke partijen deden dat wel. Wij hebben al in 2013 tijdens de onderhandelingen voor het Energieakkoord besloten dat het PBL onze onafhankelijke rekenmeester is, of de uitslag ons nou bevalt of niet, zegt Nijpels tegen het FD. Soms pakt de uitslag goed uit en soms slecht. Er mag niet getwijfeld worden aan die onafhankelijkheid. Het is jammer dat de VVD het verkiezingsprogramma niet gewoon aan het PBL heeft gegeven, ook voor de kiezer is dat noodzakelijk. Het PBL rekende het Klimaatakkoord, dat in 2019 werd gesloten door politiek en maatschappelijke organisaties, al door. Voor de VVD is dat reden om af te zien van een doorrekening van de klimaatparagraaf in het eigen verkiezingsprogramma, zei premier Mark Rutte zondagavond tijdens een tv-debat van RTL Nieuws. Voor Nijpels kwam het besluit van zijn partij als een verrassing. Het was sterker geweest als ze dit wel had gedaan. Hier deed de VVD wel aan mee.","CPB-doorrekening: risico op maken van uitglijer groter dan stemmenwinst; Is de invloed van het CPB, een overheidsinstelling, op het politieke proces door de doorrekeningen niet te groot geworden? Jean Dohmen Amsterdam Vandaag zijn ze er weer de doorrekeningen van de partijprogramma's door het Centraal Planbureau. Extra stemmen leveren ze niet op, wel een betrouwbaar imago, zegt onderzoeker Wimar Bolhuis. Het is, naast de grote debatten, een van de spannende momenten in de verkiezingscampagne de doorrekening van de partijprogramma's door het Centraal Planbureau CPB. Dat geeft vandaag aan de hand van berekeningen antwoord op harde economische vragen als welke partijen cre ren banen, wie verhoogt de lasten, welk programma pakt het beste uit voor de koopkracht? Het Planbureau voor de Leefomgeving doet, zij het minder lang dan het CPB, een vergelijkbare exercitie, maar dan over de impact op onder meer het klimaat. Niet alle partijen laten hun plannen doorrekenen. Het CPB vertelt ook niet vooraf wie wel en niet meedoet. Deelname is vrijwillig, benadrukt Wimar Bolhuis, universitair docent in Leiden en auteur van een proefschrift over de doorrekeningen van partijprogramma's door het CPB. Dat klopt.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,Het Financieele Dagblad,3290593,3290566,"Ed Nijpels, VVD, Klimaatberaad Ed Nijpels, PBL, PBL, PBL, PBL, VVD, Mark Rutte, RTL Nieuws, VVD","Is de invloed, CPB, Jean Dohmen, Centraal Planbureau, Wimar Bolhuis, Centraal Planbureau CPB, CPB, CPB, Wimar Bolhuis, CPB","['coryfee', 'klimaatparagraaf', 'klimaatberaad', 'klimaatakkoord', 'verkiezingsprogramma']","['doorrekeningen', 'uitglijer', 'berekeningen', 'amsterdam', 'leefomgeving']",3290593_3290566
20,0.6883018,"Rutte tegen Klaver: U bent aan het overtoepen! Klaver: 'Er wordt hier gelogen'; VVD-leider Rutte en GroenLinks-leider Klaver krijgen het stevig aan de stok over kernenergie en het klimaat. Rutte waarschuwt Klaver dat hij met al zijn klimaatwensen het draagvlak onder de bevolking verkleint. In Amsterdam is er bijvoorbeeld stevige discussie over de aanleg van windmolens. Er is ook onder GroenLinks-leden veel kritiek op het plan. U bent aan het overtoepen, waarschuwt Rutte. Het is tegen het zere been van Klaver. Hij vindt het slecht dat de VVD de klimaatplannen van de partij niet laat doorrekenen door het Planbureau voor de Leefomgeving. En hij vindt dat zowel Rutte als Hoekstra liegt door te doen alsof kernenergie helpt bij het bereiken van de klimaatdoelen van Parijs. Het bouwen van een kerncentrale duurt zeker wel dertig jaar en binnen tien jaar moet er iets gedaan worden aan het tegengaan van de opwarming van de aarde. Er wordt gelogen door twee leden van het kabinet, stelt Klaver. Rutte en Hoekstra zijn het daar niet mee eens.","Stemwijzer; Stemwijzer Nog twee weken tot de verkiezingen en ik verheug me enorm op de komende tijd. Het lijkt me heerlijk om even in die bubbel te kruipen waar je niets anders hoort dan het kloppende hart van onze democratie, in plaats van het amechtig gehijg van een land dat na een jaar corona op apegapen ligt. Op televisie en in de weekeindebijlages van de kranten werd bijna gretig teruggeblikt op het jaar, vanaf het moment dat toenmalig minister van Volksgezondheid Bruno Bruins het briefje in zijn hand kreeg gedrukt waarmee voor ons de crisis begon, tot aan de eensluidende conclusie van iedereen die er verstand van heeft corona is een blijvertje. We zullen ermee moeten leren leven. Maar nu even niet. Doe mij voorlopig alleen verkiezingsnieuws. De komende twee weken gaat het om de poppetjes, want dat is onze verkiezingstraditie in campagnetijd zijn de poppetjes, vreemd genoeg, belangrijker dan de inhoud. Het is eigenlijk bizar dat het vooral om de beeldvorming draait. Maar toch doe mij poppetjes in plaats van corona. oud-premier dat ooit letterlijk deed door van een skateboard te vallen. ik zweef.",medium,2021-02-28 22:30:43,2021-03-01 00:00:00,NOS liveblog,De Telegraaf,3287472,3286375,Planbureau voor de Leefomgeving,"Stemwijzer, Stemwijzer","['klimaatdoelen', 'verkleint', 'klimaatwensen', 'leefomgeving', 'amsterdam']","['weekeindebijlages', 'blijvertje', 'apegapen', 'verkiezingsnieuws', 'amechtig']",3287472_3286375
30,0.8096656,"Na de doorrekeningen is iedere partij klimaatkampioen; Een juichtweet van D66'er Tjeerd de Groot maandagochtend. D66 meest natuurvriendelijke verkiezingsprogramma pakt stikstofcrisis het beste aan!, aldus het Tweede Kamerlid dat najaar 2019 nog een boerenopstand had ontketend met zijn oproep de veestapel te halveren. Om in een volgende zin direct een snoeiharde recensie te geven van de prestaties van twee voormalige coalitiepartijen. CDA/ChristenUnie onvoldoende. Dat kon het CDA natuurlijk niet over zijn kant laten gaan. Een paar uur later twitterde CDA-Kamerlid Jaco Geurts 1 koe minder in Nederland is 4 koeien in Afrika erbij. Geurts haalde het Planbureau voor de Leefomgeving PBL aan, dat zou waarschuwen voor zogeheten weglekeffecten. Een krimp van de veestapel in Nederland zou elders leiden tot een groei van het aantal dieren. Daarom, zei Geurts, is het veel verstandiger om het stikstofprobleem op te lossen met technische innovaties. Selectief winkelen Maandag presenteerden het Centraal Planbureau CPB en het PBL doorrekeningen van de verkiezingsprogramma's. Het CPB keek naar macro-economische effecten van de plannen, het PBL naar gevolgen voor klimaat en natuur. Over de eigen plannen niets dan lof, terwijl van de electorale opponenten vooral de minpunten werden benoemd.","Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.",high,2021-03-01 00:00:00,2021-03-01 10:30:10,Het Financieele Dagblad,NOS nieuws,3290580,3287448,"D66'er, CDA, Jaco Geurts, Planbureau voor de Leefomgeving PBL, Centraal Planbureau CPB, PBL, CPB, PBL","CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","['doorrekeningen', 'geurts', 'leefomgeving', 'snoeiharde', 'innovaties']","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']",3290580_3287448
34,0.82730436,"CPB: partijen schuiven lasten door naar de toekomst; Doorrekening Zorg , onderwijs en de burger gaan er de komende jaren op vooruit . Dat blijkt uit doorrekening van tien verkiezingsprogramma s.,Hogere overheidsuitgaven in de komende kabinetsperiode, vooral in de zorg en het onderwijs, een lichte koopkrachtverbetering en doorschuiven van de financi le lasten naar toekomstige generaties. Dat zijn opvallende overeenkomsten in de doorrekening van de verkiezingsprogramma ’s door het Centraal Planbureau CPB, die maandagochtend is gepubliceerd. Het expansieve begrotingsbeleid extra investeringen om de economie aan te jagen leidt bij vrijwel alle partijen tot een verslechtering van de overheidsfinanci n in 2025. Dat uit zich met name in een hoger begrotingstekort. Van de 37 partijen die over twee weken meedoen met de Tweede Kamerverkiezingen, lieten er tien hun programma op macro-economische effecten doorrekenen. Van de huidige Tweede Kamerfracties hebben PVV, Partij voor de Dieren en Forum voor Democratie hun plannen niet bij het CPB laten toetsen. Ook het Planbureau voor de Leefomgeving PBL kwam maandag met een doorrekening van de verkiezingsprogramma ’s, op de effecten op milieu, en klimaat. Aan die toets deden maar zes partijen mee. Het CPB benadrukt dat de doorrekening van de individuele programma ’s vooral van relatieve waarde is.","Milieuclubs niet echt blij met doorrekeningen; Milieuorganisaties zijn teleurgesteld over de verkiezingsprogramma s. Want ze zijn niet groen genoeg, vinden ze. De op milieugebied beste coalitie die volgens peilingen een meerderheid zou hebben in beide Kamers van VVD, CDA, GroenLinks, D66 en PvdA zou niet verder komen dan 53 procent reductie van broeikasgassen in 2030, zegt Milieudefensie. Terwijl 65 procent nodig is om een eerlijke bijdrage te leveren aan het Parijsakkoord en Europa 55 procent als doel heeft. Greenpeace Nederland is evenmin te spreken over ieder verkiezingsprogramma en de nagestreefde reductie van CO2 Geen enkele partij ligt op koers om de afspraken uit het Klimaatakkoord van Parijs te halen. Deze club is echter wel blij dat D66 en GroenLinks cruciale stappen willen zetten en ziet ook dat de PvdA, ChristenUnie en SP meer doen dan de huidige klimaatwet. Maar het is volgens Greenpeace onbegrijpelijk dat het CDA achterblijft met 46 procent reductie en zelfs de klimaatwet niet nakomt. Dat de VVD geen klimaatplannen heeft laten doorrekenen is onverantwoordelijk.",high,2021-03-01 00:00:00,2021-03-01 12:57:21,NRC Handelsblad,NOS liveblog,3285625,3287399,"CPB, Doorrekening Zorg, Centraal Planbureau CPB, PVV, Partij voor de Dieren, Forum voor Democratie, CPB, Planbureau voor de Leefomgeving, PBL, CPB","Milieuclubs, Kamers, CDA, GroenLinks, D66, PvdA, Greenpeace, D66, GroenLinks, PvdA, ChristenUnie, SP, Greenpeace, CDA","['begrotingsbeleid', 'verslechtering', 'verkiezingsprogramma', 'kamerfracties', 'leefomgeving']","['greenpeace', 'nagestreefde', 'doorrekeningen', 'milieuclubs', 'klimaatakkoord']",3285625_3287399
47,0.8499652,"Vraag van de eigenaresse van een couscousbar aan PVV-lijsttrekker Wilders; Nadia wil van Wilders weten hoe zij het aan haar zoon moet uitleggen dat hij als tweederangsburger, geboren en getogen in Nederland, wordt weggezet. Wilders bestrijdt dat hij dat doet. Het gaat hem om de instroom van niet-westerse allochtonen, zegt hij. Nadia en Wilders komen in een heftige discussie terecht, over de islam en over de invloed van andere culturen. Wilders Nederlanders zijn vreemden in hun eigen land geworden. De invloed van de politieke islam is onwenselijk. Nadia Bent u ineens theoloog of zo? Ze nodigt hem uit voor couscous. Dat hoeft voor Wilders niet, maar hij wil wel met haar in gesprek.","Het RTL-debat zal hoogstens herinnerd worden om het ‘ik stop u even’ van Kristie Rongen ; Zap In het verkiezingsdebat van RTL gaven de lijsttrekkers vooral vooraf ingestudeerde antwoorden. Het werd pas spannend toen een slachtoffer van de Toeslagenaffaire de premier ondervroeg. , Als een verkiezingsdebat, zoals de kenners zeggen, in de analyse wordt gewonnen, was het rechtsleunende gezelschap waarmee Eva Jinek het RTL-debat nabeschouwde misschien een stemadvies. Er zaten een journalist van De Telegraaf, een goede vriend van de lijsttrekker van de VVD, een van de organisatoren van het debat en na een tijdje kwam de lijsttrekker van het CDA binnen. Jort Kelder het wordt eentonig dat programma ’s altijd bij hem uitkomen als ze een vriend van Mark Rutte aan tafel willen zei vooraf dat Rutte kwetsbaar was en alleen maar kon verliezen. Na afloop concludeerde hij dat Rutte overeind was gebleven en ook Wouter de Winther had gezien dat Rutte alle ballen uit het doel had gehouden. Ik weet niet of Kristie Rongen dat ook zo zag. Zij was een van de zes gewone burgers die door RTL waren uitgenodigd om de lijsttrekkers een vraag te stellen.",high,2021-02-28 22:43:49,2021-03-01 00:00:00,NOS liveblog,NRC Handelsblad,3287471,3285661,"Wilders, Nadia, Wilders, Wilders bestrijdt, Nadia, Nadia Bent","Kristie Rongen, RTL, Eva Jinek, VVD, CDA, Mark Rutte, Winther, Kristie Rongen, RTL","['onwenselijk', 'couscousbar', 'couscous', 'nederlanders', 'theoloog']","['nabeschouwde', 'ingestudeerde', 'toeslagenaffaire', 'jinek', 'kristie']",3287471_3285661
61,0.80861723,"Eigenaar vraagt SP-leider om met zzp'ers te kunnen blijven werken; Een eigenaar die games ontwerpt wil graag met zzp'ers blijven werken en is bang dat de SP dit soort contracten helemaal wil verbannen. Marijnissen wil dat helemaal niet, zegt ze. Haar partij komt volgens haar vooral op voor werknemers die gedwongen worden om als zzp'er te werken, zoals koeriers van eten en pakketjes.","Kaag: vaccinatiebewijs of negatieve test moet weer toegang bieden tot 'het leven'; E r moet een vaccinatiebewijs komen om het maatschappelijk leven opnieuw op te starten, zegt D66-leider Sigrid Kaag. Ook gratis coronatests moeten toegang gaan bieden tot de horeca, winkels, stadions en onderwijslocaties. Ik zie al het voor me opa die net gevaccineerd is, eindelijk weer uit eten met kleindochter met negatieve test, zei Kaag zaterdagmiddag op het online verkiezingscongres van D66. Kaag is daarmee de eerste partijleider die onomwonden aanstuurt op de invoering van een vaccinatiebewijs. Zo'n bewijs is omstreden sommige partijen op het Binnenhof zien het als een instrument om Nederlanders indirect tot een vaccinatie te dwingen. Ook is nog onduidelijk of gevaccineerden andere mensen kunnen besmetten. Het taboe moet eraf, zei Kaag zaterdag. Volgens haar is een vaccinatiebewijs precies wat we nodig zullen hebben in het vervolg van de coronacrisis, op voorwaarde dat de maatregel tijdelijk is en de privacy van burgers wordt beschermd. Je kunt toch niet van gevaccineerde mensen verwachten dat ze wachten met leven totdat de laatste prik is gezet? Daarvoor is de stille crisis, met alle blijvende psychische schade door het isolement te groot.",high,2021-02-28 23:10:04,2021-03-01 00:00:00,NOS liveblog,De Volkskrant,3287468,3285227,"SP, Marijnissen","E r, Sigrid Kaag, stadions, D66, Kaag zaterdag","['marijnissen', 'zzp', 'ers', 'pakketjes', 'koeriers']","['gevaccineerd', 'gevaccineerden', 'gevaccineerde', 'vaccinatiebewijs', 'coronatests']",3287468_3285227
68,0.8006909,"Kernenergie in de verkiezingsprogramma's ; Even de verkiezingsprogramma's erop nageslagen . Hier de standpunten op een rij VVD Nakomen van internationale klimaatafspraken uit het Verdrag van Parijs, voor het bereiken van deze doelen geen technieken uitsluiten en kernenergie dus ook niet. PVV Kerncentrales bouwen is een goede oplossing. Thoriumcentrales zijn een optie voor de toekomst. CDA Kernenergie na 2030 is serieuze optie. D66 Kernenergie, op voorwaarde dat het duurzaam, betrouwbaar en betaalbaar kan. GL Kernenergie is geen optie. SP Kernenergie is niet veilig en schoon. De kolencentrales worden gesloten, net als de kerncentrale bij Borssele.","Planbureau: vertrek bedrijven reëel risico bij ambitieuze klimaatplannen; De scherpere milieuregels voor de industrie waarmee politieke partijen klimaatwinst hopen te boeken, leiden tot re le risico's dat bedrijven uit Nederland vertrekken. De mondiale broeikasgasuitstoot wordt dan nauwelijks minder. Daarvoor waarschuwt het Planbureau voor de Leefomgeving PBL maandag. De kans op dit zogeheten weglekeffect is het grootst bij de klimaatvoorstellen die de SP, GroenLinks, D66 en in mindere mate de PvdA doen, zegt het PBL. Bij de ChristenUnie en het CDA speelt dit risico minder. Het PBL heeft de verkiezingsprogramma's van deze politieke partijen geanalyseerd op effecten voor klimaat en milieu. De resultaten daarvan werden maandagochtend gepresenteerd. Het PBL rekent dit door op verzoek van de partijen zelf. De grote afwezige was de VVD, die het klimaatdeel van zijn partijprogramma niet liet doorrekenen. In industrie meeste klimaatwinst Uit de analyse blijkt dat alle politieke partijen grote klimaatwinst hopen te halen in de industri le sector. De vermeden uitstoot in 2030 is daar dan ook het grootst met 16 miljoen ton CO2 in de CDA-plannen tot 32 miljoen ton CO2 in de GroenLinks-plannen.",high,2021-02-28 22:23:54,2021-03-01 00:00:00,NOS liveblog,Het Financieele Dagblad,3287473,3290604,"Nakomen van internationale klimaatafspraken, PVV, SP","Planbureau, Planbureau voor de Leefomgeving, PBL, SP, GroenLinks, D66, PvdA, PBL, ChristenUnie, CDA, PBL, PBL, VVD","['kolencentrales', 'thoriumcentrales', 'kerncentrales', 'klimaatafspraken', 'verkiezingsprogramma']","['broeikasgasuitstoot', 'klimaatwinst', 'leefomgeving', 'milieuregels', 'zogeheten']",3287473_3290604
76,0.77828,"FvD'ers houden afstand in Oss, maar ondernemers voelen toch ongemak; Forum voor Democratie-leider Baudet hield vanochtend een verkiezingsbijeenkomst in Oss en haalde daar zoals vaker hard uit naar het coronabeleid van het kabinet. Waar het in Urk mis leek te gaan en Baudet en zijn aanhangers zich niet aan de coronaregels hielden, bleven de zo'n 150 aanwezigen nu op voldoende afstand van elkaar. Ook al zijn verkiezingsmanifestaties toegestaan, burgemeester Wobine Buijs-Glaudemans van Oss houdt toch een ongemakkelijk gevoel over aan de bijeenkomst. De uitbundigheid van de manifestatie voelt niet goed in relatie tot onze dagelijkse covid-werkelijkheid, zegt ze tegen Omroep Brabant. Het voelt als een dikke middelvinger naar de ondernemers, reageert Wouter Weeberg van het centrummanagement Oss. Het is gewoon een klein evenement en als dat dan op anderhalve meter met lijnen en kruizen toch mag, waarom mogen horecazaken dan niet de terrassen buiten hebben staan op voldoende afstand? Baudet trok al snel weer door. In de middag stond zijn verkiezingskaravaan in Den Bosch.","Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.",high,2021-02-27 15:58:15,2021-02-28 10:01:22,NOS liveblog,NU.nl,3287536,3288493,"Baudet, Baudet, Wobine Buijs-Glaudemans van Oss, Wouter Weeberg, Baudet","Forum voor Democratie-kiezers, Ipsos","['verkiezingsmanifestaties', 'verkiezingskaravaan', 'verkiezingsbijeenkomst', 'glaudemans', 'baudet']","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']",3287536_3288493
