,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,proper_nouns1,proper_nouns2,keywords1,keywords2,unit_id,coder_id,event_match,topic_match
0,0.6461555,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.",medium,2021-02-27 20:30:26,2021-03-01 00:00:00,NOS liveblog,Algemeen Dagblad,"Geweld, Dublin, Leo Varadkar","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']",3287531_3286186,2606,No,No
1,0.6461555,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.",medium,2021-02-27 20:30:26,2021-03-01 00:00:00,NOS liveblog,Algemeen Dagblad,"Geweld, Dublin, Leo Varadkar","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']",3287531_3286186,2607,No,Yes
2,0.6461555,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.",medium,2021-02-27 20:30:26,2021-03-01 00:00:00,NOS liveblog,Algemeen Dagblad,"Geweld, Dublin, Leo Varadkar","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']",3287531_3286186,2608,No,No
3,0.7609298,"Stelling 5: gevaccineerde burgers moeten als eersten hun vrijheid terugkrijgen; D66-lijsttrekker Kaag zei zaterdag al dat zij hiervoor is . Daarnaast moeten we inzetten op massaal sneltesten, voegt zij er vandaag aan toe. Hoekstra zegt dat ervoor gekozen is om de zwaksten als eersten te vaccineren. Maar het kan ook niet om jongeren het langst opgesloten te laten zitten, zegt hij. Daar helpen ook sneltests bij, denkt Hoekstra. PVV-lijsttrekker Wilders en SP-lijsttrekker Marijnissen zijn tegen voordeeltjes voor gevaccineerden en dwang of drang naar burgers toe. Marijnissen zegt dat dat leidt tot een tweedeling in de samenleving, terwijl burgers niet de keus hebben om zich snel te laten vaccineren. VVD-lijsttrekker Rutte is ook tegen, omdat het nog niet duidelijk is of mensen die zijn inge nt niet toch het virus verspreiden. Dus nu nog niet, zegt hij. Klaver van GroenLinks wil dat er vooral ingezet wordt op het zo snel mogelijk vaccineren van iedereen. Kaag vindt dus weinig bijval, en mag daarop reageren. Zij verdedigt haar standpunt met de stelling dat het voor jongeren nu heel erg moeilijk is dat zij thuis moeten zitten. CDA-lijsttrekker Hoekstra is het niet met haar eens. Ouderen worden eerder inge nt dan jongeren.","Sportscholen demonstratief open: 'Bewegen is nu hard nodig'; Zaterdagochtend half negen , op het dak van Tino Hoogendijk Sport Fitness in Vlaardingen. Instructeur Marco Seij 51 zweept de boel nog eens extra op. Tikkie erbij, jongens, roept hij naar de twee sporters op hometrainers aan weerszijden van hem. De uit de kluiten gewassen mannen volgen zijn orders gedwee glimlachend op. Maar het is nog niet genoeg. Een paar tellen later Vier, drie, twee, n... J, goed zo jongens! Dit gaat goe-hoed! Over de aangrenzende, nagenoeg lege parkeerplaats galmt een housebeat. Op bescheiden volume, om de omwonenden op deze zaterdagochtend niet te storen. Na een minuut of twintig zit het pittige lesje op het dak er op en stappen de twee deelnemers hijgend van de fiets af. Er wordt gewisseld, op een manier die voldoet aan de RIVM-normen. Eerst de sporters die klaar zijn het dak af, dan de sporters die klaar staan het dak op. Nee, ideaal is het niet en een echte sportles eigenlijk ook niet. Niet eerder stonden ze hier op het dak. Hij heeft de hometrainers zelf met een kraan naar boven laten takelen.",high,2021-02-28 23:18:22,2021-03-01 00:00:00,NOS liveblog,Trouw,"Wilders, Marijnissen, Marijnissen, Klaver van GroenLinks","Tino Hoogendijk Sport, J","['sneltesten', 'gevaccineerden', 'gevaccineerde', 'sneltests', 'vaccineren']","['instructeur', 'hometrainers', 'housebeat', 'zit', 'galmt']",3287467_3285332,2606,No,No
4,0.7609298,"Stelling 5: gevaccineerde burgers moeten als eersten hun vrijheid terugkrijgen; D66-lijsttrekker Kaag zei zaterdag al dat zij hiervoor is . Daarnaast moeten we inzetten op massaal sneltesten, voegt zij er vandaag aan toe. Hoekstra zegt dat ervoor gekozen is om de zwaksten als eersten te vaccineren. Maar het kan ook niet om jongeren het langst opgesloten te laten zitten, zegt hij. Daar helpen ook sneltests bij, denkt Hoekstra. PVV-lijsttrekker Wilders en SP-lijsttrekker Marijnissen zijn tegen voordeeltjes voor gevaccineerden en dwang of drang naar burgers toe. Marijnissen zegt dat dat leidt tot een tweedeling in de samenleving, terwijl burgers niet de keus hebben om zich snel te laten vaccineren. VVD-lijsttrekker Rutte is ook tegen, omdat het nog niet duidelijk is of mensen die zijn inge nt niet toch het virus verspreiden. Dus nu nog niet, zegt hij. Klaver van GroenLinks wil dat er vooral ingezet wordt op het zo snel mogelijk vaccineren van iedereen. Kaag vindt dus weinig bijval, en mag daarop reageren. Zij verdedigt haar standpunt met de stelling dat het voor jongeren nu heel erg moeilijk is dat zij thuis moeten zitten. CDA-lijsttrekker Hoekstra is het niet met haar eens. Ouderen worden eerder inge nt dan jongeren.","Sportscholen demonstratief open: 'Bewegen is nu hard nodig'; Zaterdagochtend half negen , op het dak van Tino Hoogendijk Sport Fitness in Vlaardingen. Instructeur Marco Seij 51 zweept de boel nog eens extra op. Tikkie erbij, jongens, roept hij naar de twee sporters op hometrainers aan weerszijden van hem. De uit de kluiten gewassen mannen volgen zijn orders gedwee glimlachend op. Maar het is nog niet genoeg. Een paar tellen later Vier, drie, twee, n... J, goed zo jongens! Dit gaat goe-hoed! Over de aangrenzende, nagenoeg lege parkeerplaats galmt een housebeat. Op bescheiden volume, om de omwonenden op deze zaterdagochtend niet te storen. Na een minuut of twintig zit het pittige lesje op het dak er op en stappen de twee deelnemers hijgend van de fiets af. Er wordt gewisseld, op een manier die voldoet aan de RIVM-normen. Eerst de sporters die klaar zijn het dak af, dan de sporters die klaar staan het dak op. Nee, ideaal is het niet en een echte sportles eigenlijk ook niet. Niet eerder stonden ze hier op het dak. Hij heeft de hometrainers zelf met een kraan naar boven laten takelen.",high,2021-02-28 23:18:22,2021-03-01 00:00:00,NOS liveblog,Trouw,"Wilders, Marijnissen, Marijnissen, Klaver van GroenLinks","Tino Hoogendijk Sport, J","['sneltesten', 'gevaccineerden', 'gevaccineerde', 'sneltests', 'vaccineren']","['instructeur', 'hometrainers', 'housebeat', 'zit', 'galmt']",3287467_3285332,2607,No,No
5,0.7609298,"Stelling 5: gevaccineerde burgers moeten als eersten hun vrijheid terugkrijgen; D66-lijsttrekker Kaag zei zaterdag al dat zij hiervoor is . Daarnaast moeten we inzetten op massaal sneltesten, voegt zij er vandaag aan toe. Hoekstra zegt dat ervoor gekozen is om de zwaksten als eersten te vaccineren. Maar het kan ook niet om jongeren het langst opgesloten te laten zitten, zegt hij. Daar helpen ook sneltests bij, denkt Hoekstra. PVV-lijsttrekker Wilders en SP-lijsttrekker Marijnissen zijn tegen voordeeltjes voor gevaccineerden en dwang of drang naar burgers toe. Marijnissen zegt dat dat leidt tot een tweedeling in de samenleving, terwijl burgers niet de keus hebben om zich snel te laten vaccineren. VVD-lijsttrekker Rutte is ook tegen, omdat het nog niet duidelijk is of mensen die zijn inge nt niet toch het virus verspreiden. Dus nu nog niet, zegt hij. Klaver van GroenLinks wil dat er vooral ingezet wordt op het zo snel mogelijk vaccineren van iedereen. Kaag vindt dus weinig bijval, en mag daarop reageren. Zij verdedigt haar standpunt met de stelling dat het voor jongeren nu heel erg moeilijk is dat zij thuis moeten zitten. CDA-lijsttrekker Hoekstra is het niet met haar eens. Ouderen worden eerder inge nt dan jongeren.","Sportscholen demonstratief open: 'Bewegen is nu hard nodig'; Zaterdagochtend half negen , op het dak van Tino Hoogendijk Sport Fitness in Vlaardingen. Instructeur Marco Seij 51 zweept de boel nog eens extra op. Tikkie erbij, jongens, roept hij naar de twee sporters op hometrainers aan weerszijden van hem. De uit de kluiten gewassen mannen volgen zijn orders gedwee glimlachend op. Maar het is nog niet genoeg. Een paar tellen later Vier, drie, twee, n... J, goed zo jongens! Dit gaat goe-hoed! Over de aangrenzende, nagenoeg lege parkeerplaats galmt een housebeat. Op bescheiden volume, om de omwonenden op deze zaterdagochtend niet te storen. Na een minuut of twintig zit het pittige lesje op het dak er op en stappen de twee deelnemers hijgend van de fiets af. Er wordt gewisseld, op een manier die voldoet aan de RIVM-normen. Eerst de sporters die klaar zijn het dak af, dan de sporters die klaar staan het dak op. Nee, ideaal is het niet en een echte sportles eigenlijk ook niet. Niet eerder stonden ze hier op het dak. Hij heeft de hometrainers zelf met een kraan naar boven laten takelen.",high,2021-02-28 23:18:22,2021-03-01 00:00:00,NOS liveblog,Trouw,"Wilders, Marijnissen, Marijnissen, Klaver van GroenLinks","Tino Hoogendijk Sport, J","['sneltesten', 'gevaccineerden', 'gevaccineerde', 'sneltests', 'vaccineren']","['instructeur', 'hometrainers', 'housebeat', 'zit', 'galmt']",3287467_3285332,2608,No,No
6,0.8203246,"Vraag van de eigenaresse van een couscousbar aan PVV-lijsttrekker Wilders; Nadia wil van Wilders weten hoe zij het aan haar zoon moet uitleggen dat hij als tweederangsburger, geboren en getogen in Nederland, wordt weggezet. Wilders bestrijdt dat hij dat doet. Het gaat hem om de instroom van niet-westerse allochtonen, zegt hij. Nadia en Wilders komen in een heftige discussie terecht, over de islam en over de invloed van andere culturen. Wilders Nederlanders zijn vreemden in hun eigen land geworden. De invloed van de politieke islam is onwenselijk. Nadia Bent u ineens theoloog of zo? Ze nodigt hem uit voor couscous. Dat hoeft voor Wilders niet, maar hij wil wel met haar in gesprek.","De uitzending van 1 maart: Gasvrij duurder dan verwacht / IC's vol in Hoorn / Genomineerden Libris Literatuurprijs / Doorrekening verkiezingsprogramma's; Wat kost woning aardgasvrij maken ? Het gaat er deze campagne nog nauwelijks over, maar Nederland staat aan het begin van een ongekende verbouwing. Alle negen miljoen woningen en gebouwen moeten van het gas af, voor het klimaat. In de wijken waar men er als proef al mee begonnen is, is nu voor het eerst gedetailleerd gekeken naar het kostenplaatje. Die blijken veel hoger dan verwacht en zullen de komende jaren bovendien amper dalen. Nieuwsuur spreekt met de onderzoeker van het nieuwe rapport en ging naar het Friese Garijp waar ze de hoge kosten herkennen. IC's liggen vol in Hoorn Terwijl de roep om verdere versoepelingen hard klinkt, zijn de besmettingen in de veiligheidsregio Noord-Holland Noord juist heel erg toegenomen de afgelopen dagen, met name in Hoorn. In de eerste golf werd die regio niet hard getroffen, maar er werden gisteren 133 mensen positief getest. Minister de Jonge riep vandaag lijsttrekkers dan ook op behoedzaam te zijn met uitspraken over versoepelingen. Hij verwees daarbij naar de kop van Noord-Holland. We gaan langs in het Dijklander ziekenhuis en we spreken burgemeester Jan Nieuwenburg.",high,2021-02-28 22:43:49,2021-03-01 12:06:47,NOS liveblog,Nieuwsuur,"Wilders, Nadia, Wilders, Wilders bestrijdt, Nadia, Nadia Bent","Friese Garijp, Noord-Holland Noord, Jan Nieuwenburg","['onwenselijk', 'couscousbar', 'couscous', 'nederlanders', 'theoloog']","['nieuwenburg', 'gasvrij', 'besmettingen', 'aardgasvrij', 'versoepelingen']",3287471_6290579,2606,No,Yes
7,0.8203246,"Vraag van de eigenaresse van een couscousbar aan PVV-lijsttrekker Wilders; Nadia wil van Wilders weten hoe zij het aan haar zoon moet uitleggen dat hij als tweederangsburger, geboren en getogen in Nederland, wordt weggezet. Wilders bestrijdt dat hij dat doet. Het gaat hem om de instroom van niet-westerse allochtonen, zegt hij. Nadia en Wilders komen in een heftige discussie terecht, over de islam en over de invloed van andere culturen. Wilders Nederlanders zijn vreemden in hun eigen land geworden. De invloed van de politieke islam is onwenselijk. Nadia Bent u ineens theoloog of zo? Ze nodigt hem uit voor couscous. Dat hoeft voor Wilders niet, maar hij wil wel met haar in gesprek.","De uitzending van 1 maart: Gasvrij duurder dan verwacht / IC's vol in Hoorn / Genomineerden Libris Literatuurprijs / Doorrekening verkiezingsprogramma's; Wat kost woning aardgasvrij maken ? Het gaat er deze campagne nog nauwelijks over, maar Nederland staat aan het begin van een ongekende verbouwing. Alle negen miljoen woningen en gebouwen moeten van het gas af, voor het klimaat. In de wijken waar men er als proef al mee begonnen is, is nu voor het eerst gedetailleerd gekeken naar het kostenplaatje. Die blijken veel hoger dan verwacht en zullen de komende jaren bovendien amper dalen. Nieuwsuur spreekt met de onderzoeker van het nieuwe rapport en ging naar het Friese Garijp waar ze de hoge kosten herkennen. IC's liggen vol in Hoorn Terwijl de roep om verdere versoepelingen hard klinkt, zijn de besmettingen in de veiligheidsregio Noord-Holland Noord juist heel erg toegenomen de afgelopen dagen, met name in Hoorn. In de eerste golf werd die regio niet hard getroffen, maar er werden gisteren 133 mensen positief getest. Minister de Jonge riep vandaag lijsttrekkers dan ook op behoedzaam te zijn met uitspraken over versoepelingen. Hij verwees daarbij naar de kop van Noord-Holland. We gaan langs in het Dijklander ziekenhuis en we spreken burgemeester Jan Nieuwenburg.",high,2021-02-28 22:43:49,2021-03-01 12:06:47,NOS liveblog,Nieuwsuur,"Wilders, Nadia, Wilders, Wilders bestrijdt, Nadia, Nadia Bent","Friese Garijp, Noord-Holland Noord, Jan Nieuwenburg","['onwenselijk', 'couscousbar', 'couscous', 'nederlanders', 'theoloog']","['nieuwenburg', 'gasvrij', 'besmettingen', 'aardgasvrij', 'versoepelingen']",3287471_6290579,2607,No,Yes
8,0.8203246,"Vraag van de eigenaresse van een couscousbar aan PVV-lijsttrekker Wilders; Nadia wil van Wilders weten hoe zij het aan haar zoon moet uitleggen dat hij als tweederangsburger, geboren en getogen in Nederland, wordt weggezet. Wilders bestrijdt dat hij dat doet. Het gaat hem om de instroom van niet-westerse allochtonen, zegt hij. Nadia en Wilders komen in een heftige discussie terecht, over de islam en over de invloed van andere culturen. Wilders Nederlanders zijn vreemden in hun eigen land geworden. De invloed van de politieke islam is onwenselijk. Nadia Bent u ineens theoloog of zo? Ze nodigt hem uit voor couscous. Dat hoeft voor Wilders niet, maar hij wil wel met haar in gesprek.","De uitzending van 1 maart: Gasvrij duurder dan verwacht / IC's vol in Hoorn / Genomineerden Libris Literatuurprijs / Doorrekening verkiezingsprogramma's; Wat kost woning aardgasvrij maken ? Het gaat er deze campagne nog nauwelijks over, maar Nederland staat aan het begin van een ongekende verbouwing. Alle negen miljoen woningen en gebouwen moeten van het gas af, voor het klimaat. In de wijken waar men er als proef al mee begonnen is, is nu voor het eerst gedetailleerd gekeken naar het kostenplaatje. Die blijken veel hoger dan verwacht en zullen de komende jaren bovendien amper dalen. Nieuwsuur spreekt met de onderzoeker van het nieuwe rapport en ging naar het Friese Garijp waar ze de hoge kosten herkennen. IC's liggen vol in Hoorn Terwijl de roep om verdere versoepelingen hard klinkt, zijn de besmettingen in de veiligheidsregio Noord-Holland Noord juist heel erg toegenomen de afgelopen dagen, met name in Hoorn. In de eerste golf werd die regio niet hard getroffen, maar er werden gisteren 133 mensen positief getest. Minister de Jonge riep vandaag lijsttrekkers dan ook op behoedzaam te zijn met uitspraken over versoepelingen. Hij verwees daarbij naar de kop van Noord-Holland. We gaan langs in het Dijklander ziekenhuis en we spreken burgemeester Jan Nieuwenburg.",high,2021-02-28 22:43:49,2021-03-01 12:06:47,NOS liveblog,Nieuwsuur,"Wilders, Nadia, Wilders, Wilders bestrijdt, Nadia, Nadia Bent","Friese Garijp, Noord-Holland Noord, Jan Nieuwenburg","['onwenselijk', 'couscousbar', 'couscous', 'nederlanders', 'theoloog']","['nieuwenburg', 'gasvrij', 'besmettingen', 'aardgasvrij', 'versoepelingen']",3287471_6290579,2608,No,Yes
9,0.7744367,"Stelling 4: de rekening van de coronacrisis moet bij de best verdienende Nederlanders terechtkomen; VVD-lijsttrekker Rutte zou het niet raar vinden als de rekening ook bij de hogere inkomens terechtkomt. SP-lijsttrekker Marijnissen vindt dat de inkomensongelijkheid in Nederland veel te groot is geworden. Dat vraagt om een ander belastingstelsel, zegt zij. Rutte is het er niet mee eens dat Hoekstra van het CDA de rekening ook bij de grote supermarkten wil leggen. Ik snap het wel, want zij hebben geprofiteerd van de crisis, maar ze zorgen ook voor veel banen. Hoekstra valt Rutte aan op het financi le beleid. Marijnissen noemt dat een vertoning. Dat juist deze twee consultants van het bedrijfsleven elkaar de maat nemen, zegt zij. Uiteindelijk is het een discussie tussen twee rechtse heren. Als we het aan hen overlaten komt het niet goed. GroenLinks-leider Klaver begrijpt het ook niet. In het verkiezingsprogramma van de VVD staat iets heel anders, zegt hij. Wat is nu waar? In ieder geval zijn Rutte en Hoekstra het met de twee linkse lijsttrekkers eens dat het minimumloon omhoog moet.","Helft potentiële Forumstemmers vermoedt wereldwijd complot achter coronacrisis; De helft van de kiesgerechtigden die van plan zijn Forum voor Democratie te stemmen bij de verkiezingen in maart, denkt dat de coronapandemie een complot is. Dit blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. Van de ondervraagde Forum-stemmers gelooft een op de twee dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Ook denkt de helft dat het virus uit een laboratorium afkomstig is. Die opvattingen wijken behoorlijk af van die van de gemiddelde Nederlander en van stemmers op andere partijen. 11 procent van alle Nederlanders gelooft dat het virus bewust is ontwikkeld en 13 procent gelooft dat het een biologisch wapen is. Vrijdag werd bekend dat justitie een onderzoek instelt naar mogelijke overtreding van de coronaregels door FvD-leider Baudet bij een bezoek aan Urk, eerder deze week.",high,2021-02-28 22:48:57,2021-03-01 00:00:00,NOS liveblog,De Volkskrant,"Marijnissen, CDA, VVD","Forum voor Democratie, Ipsos, Baudet, Urk","['inkomensongelijkheid', 'marijnissen', 'belastingstelsel', 'verkiezingsprogramma', 'geprofiteerd']","['ipsos', 'forumstemmers', 'kiesgerechtigden', 'coronapandemie', 'coronavirus']",3287470_3285229,2606,No,Yes
