,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,proper_nouns1,proper_nouns2,keywords1,keywords2,unit_id,coder_id,event_match,topic_match
0,0.74202025,"Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.","Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.",high,2021-03-01 00:00:00,2021-03-01 10:30:10,Trouw,NOS nieuws,"Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']",3285316_6290557,2606,No,Yes
1,0.74202025,"Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.","Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.",high,2021-03-01 00:00:00,2021-03-01 10:30:10,Trouw,NOS nieuws,"Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']",3285316_6290557,2607,No,Yes
2,0.74202025,"Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.","Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.",high,2021-03-01 00:00:00,2021-03-01 10:30:10,Trouw,NOS nieuws,"Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']",3285316_6290557,2608,No,Yes
3,0.77158016,"Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.","Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.",high,2021-02-28 09:25:32,2021-03-01 00:00:00,NU.nl,De Telegraaf,"Forum voor Democratie-kiezers, Ipsos","Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']",3288497_3286364,2606,No,Yes
4,0.77158016,"Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.","Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.",high,2021-02-28 09:25:32,2021-03-01 00:00:00,NU.nl,De Telegraaf,"Forum voor Democratie-kiezers, Ipsos","Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']",3288497_3286364,2607,No,Yes
5,0.77158016,"Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.","Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.",high,2021-02-28 09:25:32,2021-03-01 00:00:00,NU.nl,De Telegraaf,"Forum voor Democratie-kiezers, Ipsos","Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']",3288497_3286364,2608,No,No
6,0.78667533,"Van eerste besmetting tot avondklok: het coronajaar in foto&#39;s; De impact die het coronavirus heeft op de Nederlandse maatschappij is het afgelopen jaar uitgebreid in beeld gebracht. NU.nl maakte een chronologische selectie van opvallende en typerende beelden. Op 27 februari 2020 wordt de eerste offici le Nederlandse coronabesmetting vastgesteld. Het virus werd geconstateerd bij een 56-jarige man uit het Brabantse Loon op Zand. De dag erna wordt de pers te woord gestaan in het stadhuis van Tilburg. Op 9 maart 2020 kondigt premier Mark Rutte aan dat handen schudden tijdelijk tot het verleden behoort, iets wat hij zelf per ongeluk na de persconferentie doet. Daarna volgen de maatregelen om het coronavirus te bestrijden in een sneltreinvaart. Zo wordt thuiswerken de norm. Ondertussen wordt het beeld van ziekenhuismedewerkers in beschermende kleding steeds bekender. Omdat de druk op Brabantse ziekenhuizen te groot wordt, worden coronapati nten naar ziekenhuizen buiten de regio verplaatst. Vanwege de enorme druk waar ziekenhuispersoneel mee te maken krijgt, klapt Nederland voor de zorg. Op 18 maart wordt minister van Medische Zorg Bruno Bruins onwel in de Tweede Kamer. Ondertussen komen steden met steeds slimmere maatregelen om de coronaregels te stimuleren.","De Jonge: lijsttrekkers moeten in campagne behoedzaam zijn over corona; Minister De Jonge van Volksgezondheid vindt het logisch dat lijsttrekkers in de verkiezingscampagne spreken over wat ze graag zouden willen aan versoepelingen, maar hij vindt ook dat ze wel behoedzaam moeten zijn. Qua besmettingscijfers is de situatie nog steeds zorgelijk en er kan nu weinig, zegt De Jonge. Partijgenoot en CDA-lijsttrekker Hoekstra zei gisteren in het RTL-debat dat hij eerlijk moet zijn dat het nu niet kan, maar dat hij hoopt dat de terrassen snel open zijn. Het is logisch dat te hopen, zei De Jonge, maar zo snel als mogelijk is niet vandaag of morgen. Zo zijn er zorgen over de situatie in de kop van Noord-Holland waar erg veel pati nten zijn. In n regio code zwart ligt niet voor de hand, maar we moeten de pati nten goed tussen de regio's verdelen, zegt De Jonge. Maar we met moeten met zijn allen wel code zwart voorkomen.",high,2021-02-27 20:34:14,2021-03-01 12:59:00,NU.nl,NOS liveblog,"Mark Rutte, Tweede Kamer",Jonge van Volksgezondheid,"['brabantse', 'sneltreinvaart', 'coronabesmetting', 'ziekenhuismedewerkers', 'coronapati']","['besmettingscijfers', 'rtl', 'holland', 'versoepelingen', 'pati']",3288518_6290523,2606,No,No
7,0.78667533,"Van eerste besmetting tot avondklok: het coronajaar in foto&#39;s; De impact die het coronavirus heeft op de Nederlandse maatschappij is het afgelopen jaar uitgebreid in beeld gebracht. NU.nl maakte een chronologische selectie van opvallende en typerende beelden. Op 27 februari 2020 wordt de eerste offici le Nederlandse coronabesmetting vastgesteld. Het virus werd geconstateerd bij een 56-jarige man uit het Brabantse Loon op Zand. De dag erna wordt de pers te woord gestaan in het stadhuis van Tilburg. Op 9 maart 2020 kondigt premier Mark Rutte aan dat handen schudden tijdelijk tot het verleden behoort, iets wat hij zelf per ongeluk na de persconferentie doet. Daarna volgen de maatregelen om het coronavirus te bestrijden in een sneltreinvaart. Zo wordt thuiswerken de norm. Ondertussen wordt het beeld van ziekenhuismedewerkers in beschermende kleding steeds bekender. Omdat de druk op Brabantse ziekenhuizen te groot wordt, worden coronapati nten naar ziekenhuizen buiten de regio verplaatst. Vanwege de enorme druk waar ziekenhuispersoneel mee te maken krijgt, klapt Nederland voor de zorg. Op 18 maart wordt minister van Medische Zorg Bruno Bruins onwel in de Tweede Kamer. Ondertussen komen steden met steeds slimmere maatregelen om de coronaregels te stimuleren.","De Jonge: lijsttrekkers moeten in campagne behoedzaam zijn over corona; Minister De Jonge van Volksgezondheid vindt het logisch dat lijsttrekkers in de verkiezingscampagne spreken over wat ze graag zouden willen aan versoepelingen, maar hij vindt ook dat ze wel behoedzaam moeten zijn. Qua besmettingscijfers is de situatie nog steeds zorgelijk en er kan nu weinig, zegt De Jonge. Partijgenoot en CDA-lijsttrekker Hoekstra zei gisteren in het RTL-debat dat hij eerlijk moet zijn dat het nu niet kan, maar dat hij hoopt dat de terrassen snel open zijn. Het is logisch dat te hopen, zei De Jonge, maar zo snel als mogelijk is niet vandaag of morgen. Zo zijn er zorgen over de situatie in de kop van Noord-Holland waar erg veel pati nten zijn. In n regio code zwart ligt niet voor de hand, maar we moeten de pati nten goed tussen de regio's verdelen, zegt De Jonge. Maar we met moeten met zijn allen wel code zwart voorkomen.",high,2021-02-27 20:34:14,2021-03-01 12:59:00,NU.nl,NOS liveblog,"Mark Rutte, Tweede Kamer",Jonge van Volksgezondheid,"['brabantse', 'sneltreinvaart', 'coronabesmetting', 'ziekenhuismedewerkers', 'coronapati']","['besmettingscijfers', 'rtl', 'holland', 'versoepelingen', 'pati']",3288518_6290523,2607,No,Yes
8,0.78667533,"Van eerste besmetting tot avondklok: het coronajaar in foto&#39;s; De impact die het coronavirus heeft op de Nederlandse maatschappij is het afgelopen jaar uitgebreid in beeld gebracht. NU.nl maakte een chronologische selectie van opvallende en typerende beelden. Op 27 februari 2020 wordt de eerste offici le Nederlandse coronabesmetting vastgesteld. Het virus werd geconstateerd bij een 56-jarige man uit het Brabantse Loon op Zand. De dag erna wordt de pers te woord gestaan in het stadhuis van Tilburg. Op 9 maart 2020 kondigt premier Mark Rutte aan dat handen schudden tijdelijk tot het verleden behoort, iets wat hij zelf per ongeluk na de persconferentie doet. Daarna volgen de maatregelen om het coronavirus te bestrijden in een sneltreinvaart. Zo wordt thuiswerken de norm. Ondertussen wordt het beeld van ziekenhuismedewerkers in beschermende kleding steeds bekender. Omdat de druk op Brabantse ziekenhuizen te groot wordt, worden coronapati nten naar ziekenhuizen buiten de regio verplaatst. Vanwege de enorme druk waar ziekenhuispersoneel mee te maken krijgt, klapt Nederland voor de zorg. Op 18 maart wordt minister van Medische Zorg Bruno Bruins onwel in de Tweede Kamer. Ondertussen komen steden met steeds slimmere maatregelen om de coronaregels te stimuleren.","De Jonge: lijsttrekkers moeten in campagne behoedzaam zijn over corona; Minister De Jonge van Volksgezondheid vindt het logisch dat lijsttrekkers in de verkiezingscampagne spreken over wat ze graag zouden willen aan versoepelingen, maar hij vindt ook dat ze wel behoedzaam moeten zijn. Qua besmettingscijfers is de situatie nog steeds zorgelijk en er kan nu weinig, zegt De Jonge. Partijgenoot en CDA-lijsttrekker Hoekstra zei gisteren in het RTL-debat dat hij eerlijk moet zijn dat het nu niet kan, maar dat hij hoopt dat de terrassen snel open zijn. Het is logisch dat te hopen, zei De Jonge, maar zo snel als mogelijk is niet vandaag of morgen. Zo zijn er zorgen over de situatie in de kop van Noord-Holland waar erg veel pati nten zijn. In n regio code zwart ligt niet voor de hand, maar we moeten de pati nten goed tussen de regio's verdelen, zegt De Jonge. Maar we met moeten met zijn allen wel code zwart voorkomen.",high,2021-02-27 20:34:14,2021-03-01 12:59:00,NU.nl,NOS liveblog,"Mark Rutte, Tweede Kamer",Jonge van Volksgezondheid,"['brabantse', 'sneltreinvaart', 'coronabesmetting', 'ziekenhuismedewerkers', 'coronapati']","['besmettingscijfers', 'rtl', 'holland', 'versoepelingen', 'pati']",3288518_6290523,2608,No,Yes
9,0.7508147,"Moet er meer in de zorg geïnvesteerd worden?; Hoekstra CDA zegt dat er meer ge nvesteerd moet worden in de behandeling van kanker, obesitas en andere ziekten waar veel mensen aan lijden. Marijnissen van de SP vindt het schaamteloos dat de lijsttrekkers van de huidige regeringspartijen zeggen dat er meer geld in de zorg moet worden ge nvesteerd. Zij stemden steeds tegen, zegt zij. GroenLinks-lijsttrekker Klaver wil niet in harde woorden over dit onderwerp debatteren. We hebben elkaar juist nodig, zegt hij. De lijsttrekkers zijn het in ieder geval eens over de invloed die artsen moeten hebben bij dit vraagstuk.","Baudet: corona niet bewust wereld in geslingerd; Het coronavirus is niet bewust de wereld in geslingerd . Dat zei Forum voor Democratie-voorman Thierry Baudet in het NOS Radio 1 Journaal, waar hij als eerste lijsttrekker te gast was in de verkiezingsreeks met interviews. Uit een peiling bleek afgelopen weekend dat ruim de helft van FvD-kiezers denkt dat het coronavirus bewust is ontwikkeld om burgers wereldwijd te onderdrukken. 51 procent denkt dat corona een biologisch wapen is dat in een laboratorium is gefabriceerd. Baudet deelt die opvatting dus niet, maar vindt het wel extreem toevallig dat het virus ontstaan is in de buurt van een Chinees laboratorium waar onderzoek werd gedaan naar virussen. Verder ziet Baudet dat corona gebruikt wordt door wereldleiders om maatregelen door te voeren op weg naar een wereldstaat. Het woord complot vindt hij in dat verband niet gek. Het wordt als scheldwoord gebruikt, maar betekent letterlijk dat er onderlinge afspraken gemaakt worden die je niet naar buiten brengt. Ingestonken Online beantwoordde Baudet in een live Q&A de vragen van kijkers. De FvD-leider zegt dat hij niet betoogt dat het virus niet bestaat. Hij noemt corona een stevige griep. Maar hij ontdekte dat corona niet het ebolavirus is.",high,2021-02-28 21:37:41,2021-03-01 10:34:06,NOS liveblog,NOS nieuws,"Hoekstra CDA, SP, juist","Baudet, Forum voor Democratie-voorman Thierry Baudet, NOS, Radio 1 Journaal, FvD-kiezers, Baudet, Baudet, Baudet","['obesitas', 'marijnissen', 'vraagstuk', 'debatteren', 'regeringspartijen']","['virussen', 'chinees', 'ebolavirus', 'ingestonken', 'coronavirus']",3287480_6290556,2606,No,Yes
