"","Similarity_Score","Text1","Text2","Group","Date1","Date2","Publisher1","Publisher2","ID1","ID2","proper_nouns1","proper_nouns2","keywords1","keywords2","id"
"1",0.786428,"Partij die 'gratis bier' uitdeelt, valt snel door de mand; campagne liberalen hun klimaatplannen in het verkiezingsprogramma niet laten doorrekenen . De VVD vindt de rekenmodellen te gemankeerd, maar volgens andere partijen duikt de partij van Mark Rutte. Bijna nergens ter wereld gebeurt het, en in sommige landen zijn ze maar wat jaloers op deze langjarige Nederlandse traditie het doorrekenen van de verkiezingsprogramma's. Vandaag is het weer zover en net als bij eerdere edities ging er weer een hoop gesteggel aan vooraf. Ook dat is traditie. Eerst een stap terug in de tijd al sinds 1986 biedt het Centraal Planbureau CPB politieke partijen de mogelijkheid om uit te rekenen wat de plannen in hun programma nou precies kosten en of ze bijdragen aan onze welvaart. En sinds 1994 berekent het Planbureau voor de Leefomgeving PBL, en haar voorgangers, wat het effect is op ons milieu. De waarde van deze sommen is vooral dat partijen worden gedwongen om hun plannen concreet te maken, waardoor een vergelijking van programma's mogelijk wordt. Zo valt in n oogopslag te zien welke partij het meest hecht aan investeringen in onderwijs, zorg of infrastructuur. ,, Het is toch belangrijk dat er een onafhankelijke scheidsrechter is, zegt D66-Kamerlid Joost Sneller.","Helft potentiële Forumstemmers vermoedt wereldwijd complot achter coronacrisis; De helft van de kiesgerechtigden die van plan zijn Forum voor Democratie te stemmen bij de verkiezingen in maart, denkt dat de coronapandemie een complot is. Dit blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. Van de ondervraagde Forum-stemmers gelooft een op de twee dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Ook denkt de helft dat het virus uit een laboratorium afkomstig is. Die opvattingen wijken behoorlijk af van die van de gemiddelde Nederlander en van stemmers op andere partijen. 11 procent van alle Nederlanders gelooft dat het virus bewust is ontwikkeld en 13 procent gelooft dat het een biologisch wapen is. Vrijdag werd bekend dat justitie een onderzoek instelt naar mogelijke overtreding van de coronaregels door FvD-leider Baudet bij een bezoek aan Urk, eerder deze week.","high",2021-03-01 00:00:00,2021-03-01 00:00:00,"Algemeen Dagblad","De Volkskrant",3286174,3285229,"Mark Rutte, Centraal Planbureau CPB, Planbureau voor de Leefomgeving PBL, Joost Sneller","Forum voor Democratie, Ipsos, Baudet, Urk","['rekenmodellen', 'leefomgeving', 'verkiezingsprogramma', 'klimaatplannen', 'gesteggel']","['ipsos', 'forumstemmers', 'kiesgerechtigden', 'coronapandemie', 'coronavirus']","3286174_3285229"
"2",0.71972203,"In Haarlem Alle politici zijn standwerkers, maar Thierry Baudet houdt dus ineens van Nederlandstalige rap; VERSLAGGEVERSCOLUMN Thierry Baudet draagt een pet en houdt van Nederlandstalige rap sommige dingen veranderen sneller en onverwachter dan de winter in de lente. Zijn Latijn is ingeruild voor de taal van rapper Duncan, die in het voorprogramma staat van alweer een event ondanks de coronaregels houdt Forum voor Democratie tweemaal daags een verkiezingsoptreden bij u in de buurt, dat bij de betreffende autoriteiten is aangemeld als demonstratie. Duncan rapt Niemand trekt z'n bek open ik doe dit voor de mensen die opstaan en het durven te zeggen er is hier veel te veel mis maar niemand wilt 't beseffen. Thierry Baudet, de ooit over z'n vleugel gevouwen politicus die de prelude van Parsifal prefereerde en een afschuw had van het moderne, nodigde rapper Duncan uit in de Tweede Kamer en zo ontstond de single Vrijheid, doorregen met samples van Thierry Baudet en zijn nieuwe bestie, Wybren van Haga, ook geen man bij wie je een passie voor hiphop vermoedt. Ze zeggen nu dat ik een gekkie ben maar deze lockdown is niet praktisch en niet effici nt.","kruiswoordtest 5898; Horizontaal 1deze Europeanen boeken massaal mediterrane vakanties na 17 mei, meldde Trouw vorige week 7 5hoeveel spelers blijven er over als een voetbalelftal waarvan de oudste drie 27 zijn, buiten gaat sporten? 4 10voor welk horlogemerk maakt Roger Federer voor miljoenen euro's per jaar reclame? 5 11zeerovers leiders van een partij die zeggen dat ze socialer zijn dan de SP en liberaler dan de VVD 7 12godin van de wraak of, figuurlijk, de wrekende gerechtigheid 7, anagram van nee, miss 14minister aan wie Nederland de Mammoetwet dankt 4 16verbeterde of geactualiseerde versie leenwoord uit het Engels, 6 18couplet, strofe achtregelig, met rijmschema abababcc 6, anagr. Ans zat 20..... et avoir, Franse film uit 2002 over een dorpsschooltje 4 21onderzoek van 't parlement, naar 't toeslagenschandaal bijvoorbeeld 7 24begraafplaats taalkundige die op YouTube zeventiende-eeuws Hollands laat horen 7 25taal van de band Altin G n die de oprichter ervan zelf niet verstaat 5 27leesteken dat in krantenkoppen meestal ontbreekt 4 28hoe oud worden Serena Williams en Roger Federer dit jaar? 7. Connie Breukhoven 5 23(1 prik tegen 4 ziekten afk. Oplossing 5897.","high",2021-03-01 00:00:00,2021-03-01 00:00:00,"De Volkskrant","Trouw",3285233,3285386,"Baudet, VERSLAGGEVERSCOLUMN, Baudet, Forum voor Democratie, Baudet, Parsifal, Thierry Baudet, Wybren van Haga","Roger Federer voor miljoenen, SP, VVD, 18couplet, Altin G, Serena Williams, Roger Federer, Connie Breukhoven","['parsifal', 'lockdown', 'ingeruild', 'verslaggeverscolumn', 'thierry']","['europeanen', 'geactualiseerde', 'anagr', 'williams', '11zeerovers']","3285233_3285386"
"3",0.6824603,"Ondernemers in de race voor de Tweede Kamer; Er zijn maar weinig zelfstandig ondernemers die kans maken in de Tweede Kamer te komen . IJsmaker Romke de Jong D66 vertelt in het eerste deel van een serie portretten over wat hem drijft volksvertegenwoordiger te willen worden. Je moet draagvlak cre ren voor wat je wilt bereiken. Dat doet een politicus, maar dat doet een ondernemer ook. Die neemt zijn medewerkers en zijn klanten mee met waar hij naartoe wil met zijn onderneming.","Jozef Deleu: ‘Iets onder woorden brengen gaat sneller in een gedicht’; Wat maakt het leven de moeite waard ? Jozef Deleu 83, dichter, gedichtenverzamelaar en verbinder van de Vlaams-Nederlandse cultuur, ziet Nederland zelfzuchtiger worden. Na discussie geef je elkaar waar je recht op hebt. Mij hindert de hooghartigheid en dat toenemende gebrek aan generositeit.”,Hij is bejaard en mag niet ontvangen, zodat wij elkaar niet van aanschijn tot aanschijn kunnen ontmoeten, zegt Jozef Deleu. Maar aan de telefoon beschrijft hij graag het uitzicht door het grote raam van zijn werkkamer, op het zuiden, richting Frankrijk de grens loopt aan het eind van het weiland. Het is modderig, de sneeuw smelt. In de verte klimt het land een beetje en de lucht erboven is grauw. Lyrisch kan ik er niet over zijn, maar het blijft hier een leuke plek om te wonen. Hier is Rekkem, een dorp in West-Vlaanderen, halverwege het Belgische Kortrijk en het Franse Lille, letterlijk op de taalgrens. Deleu 83 schrijver, dichter, bloemlezer, uitgever, cultureel bestuurder woont en werkt er al zijn hele leven. Over deze serie We leven, zo goed en zo kwaad als het gaat.","medium",2021-03-01 00:00:00,2021-03-01 00:00:00,"Het Financieele Dagblad","NRC Handelsblad",3290668,3285657,"Tweede Kamer, Tweede Kamer, Romke","Jozef Deleu, Jozef Deleu, Nederland zelfzuchtiger, Jozef Deleu, Lyrisch","['ijsmaker', 'romke', 'volksvertegenwoordiger', 'die', 'het']","['vlaams', 'zelfzuchtiger', 'bejaard', 'rekkem', 'jozef']","3290668_3285657"
"4",0.635099,"Het geld van de gemeenten raakt op, en dat gaat iedereen merken; Gemeentefinanci n Slechts twaalf gemeenten staan onder curatele, maar uit 336 toezichtbrieven blijkt dat vrijwel alle gemeenten financi le problemen hebben.,Wat is het nieuws? 120 van de 355 gemeenten hebben geen sluitende begroting voor 2021 kunnen maken. Vrijwel alle andere gemeenten hebben moeten bezuinigen of de lasten moeten verhogen om tot 2024 sluitende begrotingen te maken. 12 gemeenten staan onder curatele van de provincie. Maar dat cijfer verhult volgens provinciale en gemeentelijke politici de problemen van veel lokale overheden. Provincies waarschuwen dat gemeenten extra kosten moeten maken vanwege de coronacrisis. Ook voor nieuw beleid zoals het klimaatakkoord hebben gemeenten geld nodig. Lees het volledige nieuwsbericht Derde van gemeenten in geldnood Speeltuinen, bibliotheken, zwembaden, de muziekschool en het enige theater in de regio. Johan Hamster, wethouder Financi n ChristenUnie van Stadskanaal, bezuinigt al tien jaar op alles wat los en vast zit. Ook over de eigen ambtenaren en het welzijnswerk is de kaasschaaf gegaan, vertelt hij. Alleen door de lasten voor inwoners te verzwaren, lukte het de gemeente voorzieningen open te houden. Tot dit jaar. Het ging de gemeenteraad te ver.","kruiswoordtest 5898; Horizontaal 1deze Europeanen boeken massaal mediterrane vakanties na 17 mei, meldde Trouw vorige week 7 5hoeveel spelers blijven er over als een voetbalelftal waarvan de oudste drie 27 zijn, buiten gaat sporten? 4 10voor welk horlogemerk maakt Roger Federer voor miljoenen euro's per jaar reclame? 5 11zeerovers leiders van een partij die zeggen dat ze socialer zijn dan de SP en liberaler dan de VVD 7 12godin van de wraak of, figuurlijk, de wrekende gerechtigheid 7, anagram van nee, miss 14minister aan wie Nederland de Mammoetwet dankt 4 16verbeterde of geactualiseerde versie leenwoord uit het Engels, 6 18couplet, strofe achtregelig, met rijmschema abababcc 6, anagr. Ans zat 20..... et avoir, Franse film uit 2002 over een dorpsschooltje 4 21onderzoek van 't parlement, naar 't toeslagenschandaal bijvoorbeeld 7 24begraafplaats taalkundige die op YouTube zeventiende-eeuws Hollands laat horen 7 25taal van de band Altin G n die de oprichter ervan zelf niet verstaat 5 27leesteken dat in krantenkoppen meestal ontbreekt 4 28hoe oud worden Serena Williams en Roger Federer dit jaar? 7. Connie Breukhoven 5 23(1 prik tegen 4 ziekten afk. Oplossing 5897.","medium",2021-03-01 00:00:00,2021-03-01 00:00:00,"NRC Handelsblad","Trouw",3285637,3285386,"Gemeentefinanci n Slechts, Johan Hamster, Financi","Roger Federer voor miljoenen, SP, VVD, 18couplet, Altin G, Serena Williams, Roger Federer, Connie Breukhoven","['welzijnswerk', 'bezuinigt', '2024', 'zit', 'verhult']","['europeanen', 'geactualiseerde', 'anagr', 'williams', '11zeerovers']","3285637_3285386"
"5",0.7086933,"Vondelpark opnieuw dicht; Het Vondelpark is vanwege te grote drukte opnieuw gesloten . Dat meldt de gemeente Amsterdam op Twitter. Woensdag werd het park ontruimd, omdat er een feestende massa in het park aanwezig was. Daarop werd besloten vanaf donderdag de zij-ingangen te sluiten en de toestroom naar het park te controleren. Als dat niet voldoende effect zou hebben kon het park ook worden gesloten, meldde de gemeente. Dat is nu al drie dagen op rij gebeurd. In andere gemeenten waar het woensdag te druk was, zoals Utrecht en Tilburg, lijkt de drukte vandaag mee te vallen.","Wekdienst 1/3: Verkiezingsprogramma's doorgerekend • Mbo-studenten naar school; Goedemorgen ! De verkiezingsprogramma's zijn doorgerekend, wat komt daar uit? En mbo-studenten en middelbare scholieren mogen vanaf vandaag weer naar school. Het weer vanochtend start de dag op veel plaatsen grijs met mist en lage bewolking. In de loop van de dag breekt de zon soms door, maar het noorden houdt lang last van hardnekkige wolkenvelden. De temperatuur ligt tussen 8 graden in het noorden en 12 graden in het zuidoosten. Daarbij staat een zwakke tot matige oostelijke wind. Later op de dag en in de nacht is het vooral in het noorden weer grijs. In het zuiden kunnen mistbanken ontstaan bij temperaturen rond het vriespunt. Ga je de weg op? Hier vind je het overzicht van de werkzaamheden. Check hier de dienstregeling voor het spoor. Wat kun je vandaag verwachten? Het Centraal Planbureau en Planbureau voor de Leefomgeving presenteren hun analyse en doorrekening van de verkiezingsprogramma's wat zijn de gevolgen voor de overheidsfinanci n en voor de klimaatdoelen? Alle mbo-studenten mogen vandaag weer n dag per week naar school voor lessen. Ook middelbare scholen gaan weer fysiek lesgeven. FvD-leider Baudet is de eerste.","high",2021-02-27 17:18:07,2021-03-01 07:00:58,"NOS liveblog","NOS nieuws",3287534,3287459,NA,"Planbureau, Baudet","['meldt', 'vondelpark', 'amsterdam', 'tilburg', 'toestroom']","['wolkenvelden', 'klimaatdoelen', 'vriespunt', 'verkiezingsprogramma', 'leefomgeving']","3287534_3287459"
"6",0.81155324,"Kaag versus Wilders: U met uw zielige Zwarte Piet!; Kaag ergert zich aan de opmerking van PVV-leider Wilders over Zwarte Piet en vindt dat het belangrijk is om discriminatie hard aan te pakken. Dan begint u weer met die zielige Zwarte Piet, bijt ze hem toe. Rutte probeert ook Wilders uit zijn tent te lokken door hem te herinneren aan zijn complimenten over het werk van Kamervoorzitter Arib, die van Marokkaanse afkomst is. Wilders wil wel een nieuwe Kamervoorzitter, omdat hij wil dat zijn partijgenoot Bosma het wordt.","In Haarlem Alle politici zijn standwerkers, maar Thierry Baudet houdt dus ineens van Nederlandstalige rap; VERSLAGGEVERSCOLUMN Thierry Baudet draagt een pet en houdt van Nederlandstalige rap sommige dingen veranderen sneller en onverwachter dan de winter in de lente. Zijn Latijn is ingeruild voor de taal van rapper Duncan, die in het voorprogramma staat van alweer een event ondanks de coronaregels houdt Forum voor Democratie tweemaal daags een verkiezingsoptreden bij u in de buurt, dat bij de betreffende autoriteiten is aangemeld als demonstratie. Duncan rapt Niemand trekt z'n bek open ik doe dit voor de mensen die opstaan en het durven te zeggen er is hier veel te veel mis maar niemand wilt 't beseffen. Thierry Baudet, de ooit over z'n vleugel gevouwen politicus die de prelude van Parsifal prefereerde en een afschuw had van het moderne, nodigde rapper Duncan uit in de Tweede Kamer en zo ontstond de single Vrijheid, doorregen met samples van Thierry Baudet en zijn nieuwe bestie, Wybren van Haga, ook geen man bij wie je een passie voor hiphop vermoedt. Ze zeggen nu dat ik een gekkie ben maar deze lockdown is niet praktisch en niet effici nt.","high",2021-02-28 22:10:45,2021-03-01 00:00:00,"NOS liveblog","De Volkskrant",3287476,3285233,"Wilders, Zwarte Piet!, Zwarte Piet, Zwarte Piet, Wilders, Kamervoorzitter Arib","Baudet, VERSLAGGEVERSCOLUMN, Baudet, Forum voor Democratie, Baudet, Parsifal, Thierry Baudet, Wybren van Haga","['marokkaanse', 'kamervoorzitter', 'rutte', 'ergert', 'wilders']","['parsifal', 'lockdown', 'ingeruild', 'verslaggeverscolumn', 'thierry']","3287476_3285233"
"7",0.6964352,"GL: onderzoek naar zaak-Graus; De Tweede Kamer moet onderzoek doen naar beschuldigingen dat PVV-Kamerlid Dion Graus zijn ex-vrouw heeft aangezet tot seks met zijn beveiligers. Dat zegt fractieleider Jesse Klaver van GroenLinks. Graus is 13de op de PVV-kieslijst.","Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.","medium",2021-03-01 00:00:00,2021-03-01 10:30:10,"Algemeen Dagblad","NOS nieuws",3286168,6290557,"zaak-Graus, Tweede Kamer, Dion Graus, Jesse Klaver, GroenLinks","CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","['kieslijst', 'beschuldigingen', 'beveiligers', 'groenlinks', 'pvv']","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']","3286168_6290557"
"8",0.69690436,"Politie beëindigt actie Museumplein; Een demonstratie tegen de coronamaatregelen, gisteren op het Museumplein in Amsterdam, is door de politie ontbonden. Volgens de gemeente is een noodbevel van kracht en is het niet toegestaan om nog op het Museumplein te zijn. Ook in Nijmegen is op last van burgemeester Bruls gisterochtend een verkiezingsbijeenkomst van Forum voor Democratie be indigd wegens het overtreden van de coronaregels. Een onbekend aantal mensen heeft een bekeuring gekregen omdat zij bij het uitdelen van folders de anderhalvemeterregel negeerden. Twee mannen zijn gearresteerd wegens opruiing. De bijeenkomst van FvD op het Kelfkensbos trok ook tegendemonstranten, waardoor het te druk werd. Bruls besloot daarop de straat te laten ontruimen.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.","medium",2021-03-01 00:00:00,2021-03-01 00:00:00,"Het Financieele Dagblad","Algemeen Dagblad",3290632,3286186,"Forum voor Democratie, Kelfkensbos","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['opruiing', 'tegendemonstranten', 'anderhalvemeterregel', 'bekeuring', 'amsterdam']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']","3290632_3286186"
"9",0.68566144,"Klaver wil onderzoek naar beschuldigingen van seksueel misbruik tegen Graus ; GroenLinks-leider Jesse Klaver wil dat het bestuur van de Tweede Kamer onderzoek doet naar de beschuldigingen van seksueel misbruik aan het adres van PVV-Kamerlid Dion Graus. In het programma Buitenhof zei hij dat hij het 100 procent eens is met zijn vertrekkende fractiegenoot Kathalijne Buitenweg, die donderdag als eerste voor zo'n onderzoek pleitte. NRC schreef twee weken geleden dat Graus gedurende meerdere jaren zijn toenmalige vrouw en fractiemedewerker aanzette tot seks met zijn particuliere beveiligers. Die gedwongen seks zou ook hebben plaatsgevonden in het gebouw van de Tweede Kamer. De krant schreef het stuk op basis van een dossier dat wordt onderzocht door de Rijksrecherche. Politici wilden er niet op reageren, tot Buitenweg donderdag op Facebook het stilzwijgen doorbrak. Buitenweg zei dat met die stilte geen goed signaal werd afgegeven aan mensen die zich hierin herkennen. We kunnen seksueel geweld alleen effectief bestrijden als we heel duidelijk maken dat het onaanvaardbaar is. Signaal Klaver schaarde zich vanmiddag achter Buitenweg. Welk signaal geven wij aan de rest van Nederland als wij niet opkomen voor het slachtoffer? Het presidium moet hier echt goed naar kijken.","De kiezer verkeert in onzekerheid, maar de opiniepeiler heeft het ook niet gemakkelijk; column Helaas moet ik het in deze column nog stellen zonder de informatie die het RTL-verkiezingsdebat heeft opgeleverd. Maar ik durf hier toch wel te beweren dat we nog rare dingen gaan beleven, nu de campagne eindelijk is begonnen en het nog maar zestien dagen duurt tot de verkiezingen. Misschien is er bij RTL een keiharde gamechanger of een beslissende oneliner langsgekomen, de afgelopen dagen hebben we die in campagnehistorische beschouwingen genoeg gehoord. Maar meer dan een slimme uithaal maakt iets anders de verkiezingen onvoorspelbaar. Het worden namelijk de coronaverkiezingen. Zoiets als dit hebben we nog nooit meegemaakt, zei politiek strateeg Kay van de Linde zondag bij Buitenhof. Tegenover hem zat campagnestrateeg Hans Anker, en die wist het ook niet. Beiden haalden hun betreurde vriend en politieke junky Erik van Bruggen aan Een campagne is onvoorspelbaar. En dat was dus v r corona een campagne nog onvoorspelbaarder maakt dan die per definitie toch al is. De verkiezingen zijn ook geen evaluatie van het coronabeleid, wat je daar verder ook van vond. Dat oordeel zal binnen afzienbare tijd worden geveld in een parlementaire enqu te.","medium",2021-02-28 15:42:29,2021-03-01 00:00:00,"NOS nieuws","De Volkskrant",3287512,3285217,"Jesse Klaver, Tweede Kamer, Dion Graus, Kathalijne Buitenweg, NRC, Tweede Kamer, Klaver","RTL, Hans Anker, Erik van Bruggen","['seksueel', 'facebook', 'kathalijne', 'presidium', 'rijksrecherche']","['oneliner', 'strateeg', 'opiniepeiler', 'campagnestrateeg', 'gamechanger']","3287512_3285217"
"10",0.83246404,"Opstand begin van corona-uitbraak; Opstand begin van corona-uitbraak In de gevangenis van Ter Apel ging het goed mis. Volgens de FNV had het voorkomen kunnen worden. Foto ’s ANP/HH Volgens Sander Dekker heeft de PI Ter Apel zich niet aan de interne DJI-richtlijn gehouden. Veel kritiek op beleid gevangenis Ter Apel door Koen Nederlof TER APEL Een opstand in de gevangenis van Ter Apel lijkt het begin te zijn geweest van een corona-uitbraak waarbij bijna de helft van de gedetineerden en tientallen medewerkers ziek werden. Maar dat kon alleen gebeuren door een maandenlang beleid vol fouten, zeggen betrokkenen. En nog altijd maakt het personeel zich zorgen een nieuwe uitbraak ligt volgens hen op de loer. Door de uitbraak raakten bijna 200 mensen besmet, onder wie zo ’n 50 personeelsleden. De Telegraaf ploos uit hoe het zo mis kon gaan. De sleutel ligt bij een opstand op 3 januari, zegt Roy, een medewerker die onder een andere naam zijn verhaal doet. Die opstand werd vreedzaam be indigd, onder meer door het Intern Bijstands Team IBT. Vermoedelijk waarde het coronavirus toen al rond binnen de muren van de bajes, zegt Roy.","Scholen vragen zich af: waar blijven de sneltests?; Met de opening van de basisscholen drie weken geleden zouden ook sneltests beschikbaar komen voor de veiligheid van het personeel. Maar waar blijven ze? CNV Onderwijs vindt dat scholen aan het lijntje worden gehouden. Vandaag beginnen pilots op basisscholen met sneltests, maar het gaat nog maanden duren voor de resultaten daarvan beschikbaar zijn. In december werden deze tests ons al beloofd, zegt een woordvoerder van de vakbond. In dit tempo wordt het niks. De tijd tikt door. Zeker nu vorige week bekend werd dat op basisschool Oostelijke Eilanden in Amsterdam 40 leerlingen en 12 medewerkers besmet raakten, en dat het hierbij vooral kleuters en hun leerkrachten betrof, neemt de onrust op basisscholen toe. Kleuters werden als de meest risicoloze leerlingen beschouwd als het gaat om coronabesmettingen. Zij mochten aanvankelijk zelfs met snottebellen naar school komen. Of de Amsterdamse leerlingen besmet zijn met de meer besmettelijke Britse variant is nog niet bekend. Behalve CNV Onderwijs vinden ook lerarenvakbond AOb en de Algemene Vereniging Schoolleiders AVS dat er nu echt tempo gemaakt moet worden met gewone en kindvriendelijke sneltesten, maar ook met vaccinatie van leerkrachten.","high",2021-03-01 00:00:00,2021-03-01 00:00:00,"De Telegraaf","Trouw",3286378,3285335,"Opstand, Ter Apel, FNV, Sander Dekker, PI, Ter Apel, Koen Nederlof TER, APEL, Ter Apel, Telegraaf, Roy, IBT, Roy","CNV, Kleuters, CNV, AOb, Algemene Vereniging Schoolleiders AVS","['indigd', 'coronavirus', 'sander', 'bajes', 'anp']","['sneltesten', 'sneltests', 'amsterdamse', 'schoolleiders', 'snottebellen']","3286378_3285335"
