,Unnamed: 0,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2,id
1,2,0.71972203,"In Haarlem Alle politici zijn standwerkers, maar Thierry Baudet houdt dus ineens van Nederlandstalige rap; VERSLAGGEVERSCOLUMN Thierry Baudet draagt een pet en houdt van Nederlandstalige rap sommige dingen veranderen sneller en onverwachter dan de winter in de lente. Zijn Latijn is ingeruild voor de taal van rapper Duncan, die in het voorprogramma staat van alweer een event ondanks de coronaregels houdt Forum voor Democratie tweemaal daags een verkiezingsoptreden bij u in de buurt, dat bij de betreffende autoriteiten is aangemeld als demonstratie. Duncan rapt Niemand trekt z'n bek open ik doe dit voor de mensen die opstaan en het durven te zeggen er is hier veel te veel mis maar niemand wilt 't beseffen. Thierry Baudet, de ooit over z'n vleugel gevouwen politicus die de prelude van Parsifal prefereerde en een afschuw had van het moderne, nodigde rapper Duncan uit in de Tweede Kamer en zo ontstond de single Vrijheid, doorregen met samples van Thierry Baudet en zijn nieuwe bestie, Wybren van Haga, ook geen man bij wie je een passie voor hiphop vermoedt. Ze zeggen nu dat ik een gekkie ben maar deze lockdown is niet praktisch en niet effici nt.","kruiswoordtest 5898; Horizontaal 1deze Europeanen boeken massaal mediterrane vakanties na 17 mei, meldde Trouw vorige week 7 5hoeveel spelers blijven er over als een voetbalelftal waarvan de oudste drie 27 zijn, buiten gaat sporten? 4 10voor welk horlogemerk maakt Roger Federer voor miljoenen euro's per jaar reclame? 5 11zeerovers leiders van een partij die zeggen dat ze socialer zijn dan de SP en liberaler dan de VVD 7 12godin van de wraak of, figuurlijk, de wrekende gerechtigheid 7, anagram van nee, miss 14minister aan wie Nederland de Mammoetwet dankt 4 16verbeterde of geactualiseerde versie leenwoord uit het Engels, 6 18couplet, strofe achtregelig, met rijmschema abababcc 6, anagr. Ans zat 20..... et avoir, Franse film uit 2002 over een dorpsschooltje 4 21onderzoek van 't parlement, naar 't toeslagenschandaal bijvoorbeeld 7 24begraafplaats taalkundige die op YouTube zeventiende-eeuws Hollands laat horen 7 25taal van de band Altin G n die de oprichter ervan zelf niet verstaat 5 27leesteken dat in krantenkoppen meestal ontbreekt 4 28hoe oud worden Serena Williams en Roger Federer dit jaar? 7. Connie Breukhoven 5 23(1 prik tegen 4 ziekten afk. Oplossing 5897.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,De Volkskrant,Trouw,3285233,3285386,"Baudet, VERSLAGGEVERSCOLUMN, Baudet, Forum voor Democratie, Baudet, Parsifal, Thierry Baudet, Wybren van Haga","Roger Federer voor miljoenen, SP, VVD, 18couplet, Altin G, Serena Williams, Roger Federer, Connie Breukhoven","['parsifal', 'lockdown', 'ingeruild', 'verslaggeverscolumn', 'thierry']","['europeanen', 'geactualiseerde', 'anagr', 'williams', '11zeerovers']",3285233_3285386
3,4,0.635099,"Het geld van de gemeenten raakt op, en dat gaat iedereen merken; Gemeentefinanci n Slechts twaalf gemeenten staan onder curatele, maar uit 336 toezichtbrieven blijkt dat vrijwel alle gemeenten financi le problemen hebben.,Wat is het nieuws? 120 van de 355 gemeenten hebben geen sluitende begroting voor 2021 kunnen maken. Vrijwel alle andere gemeenten hebben moeten bezuinigen of de lasten moeten verhogen om tot 2024 sluitende begrotingen te maken. 12 gemeenten staan onder curatele van de provincie. Maar dat cijfer verhult volgens provinciale en gemeentelijke politici de problemen van veel lokale overheden. Provincies waarschuwen dat gemeenten extra kosten moeten maken vanwege de coronacrisis. Ook voor nieuw beleid zoals het klimaatakkoord hebben gemeenten geld nodig. Lees het volledige nieuwsbericht Derde van gemeenten in geldnood Speeltuinen, bibliotheken, zwembaden, de muziekschool en het enige theater in de regio. Johan Hamster, wethouder Financi n ChristenUnie van Stadskanaal, bezuinigt al tien jaar op alles wat los en vast zit. Ook over de eigen ambtenaren en het welzijnswerk is de kaasschaaf gegaan, vertelt hij. Alleen door de lasten voor inwoners te verzwaren, lukte het de gemeente voorzieningen open te houden. Tot dit jaar. Het ging de gemeenteraad te ver.","kruiswoordtest 5898; Horizontaal 1deze Europeanen boeken massaal mediterrane vakanties na 17 mei, meldde Trouw vorige week 7 5hoeveel spelers blijven er over als een voetbalelftal waarvan de oudste drie 27 zijn, buiten gaat sporten? 4 10voor welk horlogemerk maakt Roger Federer voor miljoenen euro's per jaar reclame? 5 11zeerovers leiders van een partij die zeggen dat ze socialer zijn dan de SP en liberaler dan de VVD 7 12godin van de wraak of, figuurlijk, de wrekende gerechtigheid 7, anagram van nee, miss 14minister aan wie Nederland de Mammoetwet dankt 4 16verbeterde of geactualiseerde versie leenwoord uit het Engels, 6 18couplet, strofe achtregelig, met rijmschema abababcc 6, anagr. Ans zat 20..... et avoir, Franse film uit 2002 over een dorpsschooltje 4 21onderzoek van 't parlement, naar 't toeslagenschandaal bijvoorbeeld 7 24begraafplaats taalkundige die op YouTube zeventiende-eeuws Hollands laat horen 7 25taal van de band Altin G n die de oprichter ervan zelf niet verstaat 5 27leesteken dat in krantenkoppen meestal ontbreekt 4 28hoe oud worden Serena Williams en Roger Federer dit jaar? 7. Connie Breukhoven 5 23(1 prik tegen 4 ziekten afk. Oplossing 5897.",medium,2021-03-01 00:00:00,2021-03-01 00:00:00,NRC Handelsblad,Trouw,3285637,3285386,"Gemeentefinanci n Slechts, Johan Hamster, Financi","Roger Federer voor miljoenen, SP, VVD, 18couplet, Altin G, Serena Williams, Roger Federer, Connie Breukhoven","['welzijnswerk', 'bezuinigt', '2024', 'zit', 'verhult']","['europeanen', 'geactualiseerde', 'anagr', 'williams', '11zeerovers']",3285637_3285386
7,8,0.69690436,"Politie beëindigt actie Museumplein; Een demonstratie tegen de coronamaatregelen, gisteren op het Museumplein in Amsterdam, is door de politie ontbonden. Volgens de gemeente is een noodbevel van kracht en is het niet toegestaan om nog op het Museumplein te zijn. Ook in Nijmegen is op last van burgemeester Bruls gisterochtend een verkiezingsbijeenkomst van Forum voor Democratie be indigd wegens het overtreden van de coronaregels. Een onbekend aantal mensen heeft een bekeuring gekregen omdat zij bij het uitdelen van folders de anderhalvemeterregel negeerden. Twee mannen zijn gearresteerd wegens opruiing. De bijeenkomst van FvD op het Kelfkensbos trok ook tegendemonstranten, waardoor het te druk werd. Bruls besloot daarop de straat te laten ontruimen.","Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.",medium,2021-03-01 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,Algemeen Dagblad,3290632,3286186,"Forum voor Democratie, Kelfkensbos","Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","['opruiing', 'tegendemonstranten', 'anderhalvemeterregel', 'bekeuring', 'amsterdam']","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']",3290632_3286186
45,46,0.7972147,"Manifestatie FvD afgebroken, aanhangers bekeurd voor flyeren zonder afstand; In Nijmegen is een campagnebijeenkomst van Forum voor Democratie met Thierry Baudet eerder be indigd . Dat gebeurde op last van burgemeester Bruls, meldt Omroep Gelderland. Het was op de bijeenkomst te druk, ook omdat er tegendemonstranten op afkwamen. De gemeente kwam daarop met een noodbevel. De politie heeft ook een onbekend aantal mensen bekeurd omdat zij folders uitdeelden zonder daarbij 1,5 meter afstand te houden. Flyeren mag volgens de politie alleen als de folders niet van de ene hand in de andere worden gegeven. Twee mannen zijn opgepakt wegens opruiing.","Scholen vragen zich af: waar blijven de sneltests?; Met de opening van de basisscholen drie weken geleden zouden ook sneltests beschikbaar komen voor de veiligheid van het personeel. Maar waar blijven ze? CNV Onderwijs vindt dat scholen aan het lijntje worden gehouden. Vandaag beginnen pilots op basisscholen met sneltests, maar het gaat nog maanden duren voor de resultaten daarvan beschikbaar zijn. In december werden deze tests ons al beloofd, zegt een woordvoerder van de vakbond. In dit tempo wordt het niks. De tijd tikt door. Zeker nu vorige week bekend werd dat op basisschool Oostelijke Eilanden in Amsterdam 40 leerlingen en 12 medewerkers besmet raakten, en dat het hierbij vooral kleuters en hun leerkrachten betrof, neemt de onrust op basisscholen toe. Kleuters werden als de meest risicoloze leerlingen beschouwd als het gaat om coronabesmettingen. Zij mochten aanvankelijk zelfs met snottebellen naar school komen. Of de Amsterdamse leerlingen besmet zijn met de meer besmettelijke Britse variant is nog niet bekend. Behalve CNV Onderwijs vinden ook lerarenvakbond AOb en de Algemene Vereniging Schoolleiders AVS dat er nu echt tempo gemaakt moet worden met gewone en kindvriendelijke sneltesten, maar ook met vaccinatie van leerkrachten.",high,2021-02-28 13:43:06,2021-03-01 00:00:00,NOS liveblog,Trouw,3287500,3285335,"Forum voor Democratie, Thierry Baudet","CNV, Kleuters, CNV, AOb, Algemene Vereniging Schoolleiders AVS","['meldt', 'tegendemonstranten', 'opruiing', 'bekeurd', 'flyeren']","['sneltesten', 'sneltests', 'amsterdamse', 'schoolleiders', 'snottebellen']",3287500_3285335
48,49,0.81724346,"Eindhoven: kom niet naar de koning op 27 april; De koning bezoekt dit jaar op zijn verjaardag Eindhoven , in het kader van Koningsdag . De gemeente roept mensen echter op niet datzelfde te doen. Dit jaar vieren we het grootste Oranjefeest thuis, zegt de gemeente. Anders dan anders, maar wel live, interactief en veelzijdig. Ontdek wat Eindhoven te bieden heeft en vier het feest met ons mee! Eind maart wordt het volledige programma bekendgemaakt. Vorig jaar zou Koningsdag in Maastricht gevierd worden, maar dat ging vanwege de coronapandemie niet door. Ook koning Willem-Alexander bleef toen thuis. De Limburgse stad wilde niet dit jaar alsnog Koningsdag organiseren, maar wacht liever op een jaar waarin er geen beperkingen meer gelden.","Kabinet spreekt alsnog waardering uit voor Stay Behind-verzetsgroep; Nazaten van drie oud-leden van de organisatie uitten in 2017 in de Volkskrant hun frustratie over het gebrek aan openheid en erkenning van de regering. Het geheime werk van hun vaders had voor veel spanning en vragen gezorgd. Zij verenigden zich, verzochten om het openen van archieven en spraken in december met minister Ank Bijleveld van Defensie. Demissionair premier Mark Rutte en Bijleveld spreken nu namens het kabinet erkentelijkheid en grote waardering uit voor de oud-leden en hun nabestaanden. Gedurende de vele jaren dat zij deel uitmaakten van de Stay Behind-organisatie hebben de leden zich, vanuit een hoge mate van vaderlandsliefde, voor een deel belangeloos en uiterst consci ntieus en professioneel op hun verantwoordelijke en moeilijke taak voorbereid in het belang van ons koninkrijk. Dit heeft in meerdere gezinnen aanzienlijke spanningen teweeggebracht en beperkingen opgelegd in de familie- en persoonlijke levenssfeer. De inzet verdient de allerhoogste waardering, schrijven Bijleveld en Rutte. Het is voor het eerst dat de Nederlandse regering publiekelijk de Stay Behind-organisatie prijst. Eerste stap Onder hen Peter Vermeulen schuilnaam en Gerard Pelt, die van 1953 tot 1983 hoofd sabotage was.",high,2021-02-27 15:38:32,2021-03-01 00:00:00,NOS liveblog,De Volkskrant,3287537,3285240,,"Mark Rutte, Peter Vermeulen, Gerard Pelt","['koningsdag', 'limburgse', 'alsnog', 'oranjefeest', 'feest']","['nazaten', 'vaderlandsliefde', 'alsnog', 'verzetsgroep', 'gerard']",3287537_3285240
54,55,0.7974415,"Scholen vragen zich af: waar blijven de sneltests?; Met de opening van de basisscholen drie weken geleden zouden ook sneltests beschikbaar komen voor de veiligheid van het personeel. Maar waar blijven ze? CNV Onderwijs vindt dat scholen aan het lijntje worden gehouden. Vandaag beginnen pilots op basisscholen met sneltests, maar het gaat nog maanden duren voor de resultaten daarvan beschikbaar zijn. In december werden deze tests ons al beloofd, zegt een woordvoerder van de vakbond. In dit tempo wordt het niks. De tijd tikt door. Zeker nu vorige week bekend werd dat op basisschool Oostelijke Eilanden in Amsterdam 40 leerlingen en 12 medewerkers besmet raakten, en dat het hierbij vooral kleuters en hun leerkrachten betrof, neemt de onrust op basisscholen toe. Kleuters werden als de meest risicoloze leerlingen beschouwd als het gaat om coronabesmettingen. Zij mochten aanvankelijk zelfs met snottebellen naar school komen. Of de Amsterdamse leerlingen besmet zijn met de meer besmettelijke Britse variant is nog niet bekend. Behalve CNV Onderwijs vinden ook lerarenvakbond AOb en de Algemene Vereniging Schoolleiders AVS dat er nu echt tempo gemaakt moet worden met gewone en kindvriendelijke sneltesten, maar ook met vaccinatie van leerkrachten.","Wekdienst 1/3: Verkiezingsprogramma's doorgerekend • Mbo-studenten naar school; Goedemorgen ! De verkiezingsprogramma's zijn doorgerekend, wat komt daar uit? En mbo-studenten en middelbare scholieren mogen vanaf vandaag weer naar school. Het weer vanochtend start de dag op veel plaatsen grijs met mist en lage bewolking. In de loop van de dag breekt de zon soms door, maar het noorden houdt lang last van hardnekkige wolkenvelden. De temperatuur ligt tussen 8 graden in het noorden en 12 graden in het zuidoosten. Daarbij staat een zwakke tot matige oostelijke wind. Later op de dag en in de nacht is het vooral in het noorden weer grijs. In het zuiden kunnen mistbanken ontstaan bij temperaturen rond het vriespunt. Ga je de weg op? Hier vind je het overzicht van de werkzaamheden. Check hier de dienstregeling voor het spoor. Wat kun je vandaag verwachten? Het Centraal Planbureau en Planbureau voor de Leefomgeving presenteren hun analyse en doorrekening van de verkiezingsprogramma's wat zijn de gevolgen voor de overheidsfinanci n en voor de klimaatdoelen? Alle mbo-studenten mogen vandaag weer n dag per week naar school voor lessen. Ook middelbare scholen gaan weer fysiek lesgeven. FvD-leider Baudet is de eerste.",high,2021-03-01 00:00:00,2021-03-01 07:00:58,Trouw,NOS nieuws,3285335,6290568,"CNV, Kleuters, CNV, AOb, Algemene Vereniging Schoolleiders AVS","Planbureau, Baudet","['sneltesten', 'sneltests', 'amsterdamse', 'schoolleiders', 'snottebellen']","['wolkenvelden', 'klimaatdoelen', 'vriespunt', 'verkiezingsprogramma', 'leefomgeving']",3285335_6290568
60,61,0.7920667,"Stemwijzer; Stemwijzer Nog twee weken tot de verkiezingen en ik verheug me enorm op de komende tijd. Het lijkt me heerlijk om even in die bubbel te kruipen waar je niets anders hoort dan het kloppende hart van onze democratie, in plaats van het amechtig gehijg van een land dat na een jaar corona op apegapen ligt. Op televisie en in de weekeindebijlages van de kranten werd bijna gretig teruggeblikt op het jaar, vanaf het moment dat toenmalig minister van Volksgezondheid Bruno Bruins het briefje in zijn hand kreeg gedrukt waarmee voor ons de crisis begon, tot aan de eensluidende conclusie van iedereen die er verstand van heeft corona is een blijvertje. We zullen ermee moeten leren leven. Maar nu even niet. Doe mij voorlopig alleen verkiezingsnieuws. De komende twee weken gaat het om de poppetjes, want dat is onze verkiezingstraditie in campagnetijd zijn de poppetjes, vreemd genoeg, belangrijker dan de inhoud. Het is eigenlijk bizar dat het vooral om de beeldvorming draait. Maar toch doe mij poppetjes in plaats van corona. oud-premier dat ooit letterlijk deed door van een skateboard te vallen. ik zweef.","Scholen vragen zich af: waar blijven de sneltests?; Met de opening van de basisscholen drie weken geleden zouden ook sneltests beschikbaar komen voor de veiligheid van het personeel. Maar waar blijven ze? CNV Onderwijs vindt dat scholen aan het lijntje worden gehouden. Vandaag beginnen pilots op basisscholen met sneltests, maar het gaat nog maanden duren voor de resultaten daarvan beschikbaar zijn. In december werden deze tests ons al beloofd, zegt een woordvoerder van de vakbond. In dit tempo wordt het niks. De tijd tikt door. Zeker nu vorige week bekend werd dat op basisschool Oostelijke Eilanden in Amsterdam 40 leerlingen en 12 medewerkers besmet raakten, en dat het hierbij vooral kleuters en hun leerkrachten betrof, neemt de onrust op basisscholen toe. Kleuters werden als de meest risicoloze leerlingen beschouwd als het gaat om coronabesmettingen. Zij mochten aanvankelijk zelfs met snottebellen naar school komen. Of de Amsterdamse leerlingen besmet zijn met de meer besmettelijke Britse variant is nog niet bekend. Behalve CNV Onderwijs vinden ook lerarenvakbond AOb en de Algemene Vereniging Schoolleiders AVS dat er nu echt tempo gemaakt moet worden met gewone en kindvriendelijke sneltesten, maar ook met vaccinatie van leerkrachten.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,De Telegraaf,Trouw,3286375,3285335,"Stemwijzer, Stemwijzer","CNV, Kleuters, CNV, AOb, Algemene Vereniging Schoolleiders AVS","['weekeindebijlages', 'blijvertje', 'apegapen', 'verkiezingsnieuws', 'amechtig']","['sneltesten', 'sneltests', 'amsterdamse', 'schoolleiders', 'snottebellen']",3286375_3285335
61,62,0.72106206,"Esther Ouwehand had niets met de plek waar ze opgroeide; De bouw is typisch eind jaren 70, toen in heel Nederland buiten de oude woonkernen nieuwe wijken verschenen nog ver voordat in 1991 het begrip Vinex zou ontstaan. Rijtjeswoningen op vaak doodlopende woonerven aan smalle, slingerende straten waar de auto's niet te hard kunnen rijden. Huizen in verschillende stijlen, per wijk veranderend. Groene parken en perken, met een beetje geluk wat water. Een school, een winkelcentrum. En dan de straatnamen. Esther Ouwehand kwam met haar broer, zus en ouders terecht in een buurt waar de straten Mars, Pallas, Uranus en Neptunus heten. In de volgende buurt luisteren ze naar de namen Pollux, Castor en Orion. Iets meer richting zee ligt een wijk waar de mensen wonen aan Weegschaal, Boogschutter en Waterman. En bij het sportpark heten ze Krab, Kreeft en Koraal. Welkom in Rijnsoever, ofwel Katwijk-Noord, de wijk die naast Katwijk aan Zee en Katwijk aan de Rijn in de Hoornespolder vanaf die jaren 70 de derde grote woonkern van het Zuid-Hollandse dorp zou worden. Behalve in Katwijk.","Lezersreacties; Vertaling Als schrijfster kan Marieke Lucas Rijneveld zich als geen ander inleven in een ander. Tot mijn verdriet geeft ze de opdracht terug voor de vertaling van het beroemd geworden gedicht The Hill We Climb Trouw, 27 februari. Uitgever, laat haar de vertaling afmaken, want ze is er al lang mee verbonden in haar hoofd of op papier. En zet een tweede kandidaat naast haar. Geef beide vertalingen naast elkaar uit en de lezer beslist welke gekozen wordt. Laten we nooit iemand buitensluiten om kleur, ras, etniciteit of wat dan ook. Toos Scheffer Tytsjerk Smet? Geen grote kop op de voorpagina nu de rechter in hoger beroep de regering alsnog in het gelijk stelt over de avondklok Trouw, 27 februari. En geen excuses voor eerdere artikelen waarin op basis van de uitspraak van de voorzieningenrechter die Viruswaarheid in het gelijk stelde, werd gesproken van de smet op het blazoen van Rutte. In plaats daarvan een wat weggestopt bericht over het hoger beroep. Frank Hendriks Nijmegen Kaag Dank voor het mooie interview met D66-lijsttrekker Sigrid Kaag Trouw, 27 februari.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Algemeen Dagblad,Trouw,3286186,3285370,"Esther Ouwehand, Vinex, Esther Ouwehand, Uranus, Neptunus, Castor, Waterman","Lucas Rijneveld, Scheffer Tytsjerk Smet, Frank Hendriks, Sigrid Kaag Trouw","['hoornespolder', 'neptunus', 'rijtjeswoningen', 'woonerven', 'woonkernen']","['tytsjerk', 'scheffer', 'lezersreacties', 'alsnog', 'viruswaarheid']",3286186_3285370
68,69,0.792494,"Na de doorrekeningen is iedere partij klimaatkampioen; Een juichtweet van D66'er Tjeerd de Groot maandagochtend. D66 meest natuurvriendelijke verkiezingsprogramma pakt stikstofcrisis het beste aan!, aldus het Tweede Kamerlid dat najaar 2019 nog een boerenopstand had ontketend met zijn oproep de veestapel te halveren. Om in een volgende zin direct een snoeiharde recensie te geven van de prestaties van twee voormalige coalitiepartijen. CDA/ChristenUnie onvoldoende. Dat kon het CDA natuurlijk niet over zijn kant laten gaan. Een paar uur later twitterde CDA-Kamerlid Jaco Geurts 1 koe minder in Nederland is 4 koeien in Afrika erbij. Geurts haalde het Planbureau voor de Leefomgeving PBL aan, dat zou waarschuwen voor zogeheten weglekeffecten. Een krimp van de veestapel in Nederland zou elders leiden tot een groei van het aantal dieren. Daarom, zei Geurts, is het veel verstandiger om het stikstofprobleem op te lossen met technische innovaties. Selectief winkelen Maandag presenteerden het Centraal Planbureau CPB en het PBL doorrekeningen van de verkiezingsprogramma's. Het CPB keek naar macro-economische effecten van de plannen, het PBL naar gevolgen voor klimaat en natuur. Over de eigen plannen niets dan lof, terwijl van de electorale opponenten vooral de minpunten werden benoemd.","Wekdienst 1/3: Verkiezingsprogramma's doorgerekend • Mbo-studenten naar school; Goedemorgen ! De verkiezingsprogramma's zijn doorgerekend, wat komt daar uit? En mbo-studenten en middelbare scholieren mogen vanaf vandaag weer naar school. Het weer vanochtend start de dag op veel plaatsen grijs met mist en lage bewolking. In de loop van de dag breekt de zon soms door, maar het noorden houdt lang last van hardnekkige wolkenvelden. De temperatuur ligt tussen 8 graden in het noorden en 12 graden in het zuidoosten. Daarbij staat een zwakke tot matige oostelijke wind. Later op de dag en in de nacht is het vooral in het noorden weer grijs. In het zuiden kunnen mistbanken ontstaan bij temperaturen rond het vriespunt. Ga je de weg op? Hier vind je het overzicht van de werkzaamheden. Check hier de dienstregeling voor het spoor. Wat kun je vandaag verwachten? Het Centraal Planbureau en Planbureau voor de Leefomgeving presenteren hun analyse en doorrekening van de verkiezingsprogramma's wat zijn de gevolgen voor de overheidsfinanci n en voor de klimaatdoelen? Alle mbo-studenten mogen vandaag weer n dag per week naar school voor lessen. Ook middelbare scholen gaan weer fysiek lesgeven. FvD-leider Baudet is de eerste.",high,2021-03-01 00:00:00,2021-03-01 07:00:58,Het Financieele Dagblad,NOS nieuws,3290580,6290568,"D66'er, CDA, Jaco Geurts, Planbureau voor de Leefomgeving PBL, Centraal Planbureau CPB, PBL, CPB, PBL","Planbureau, Baudet","['doorrekeningen', 'geurts', 'leefomgeving', 'snoeiharde', 'innovaties']","['wolkenvelden', 'klimaatdoelen', 'vriespunt', 'verkiezingsprogramma', 'leefomgeving']",3290580_6290568
71,72,0.6393073,"Vondelpark opnieuw dicht; Het Vondelpark is vanwege te grote drukte opnieuw gesloten . Dat meldt de gemeente Amsterdam op Twitter. Woensdag werd het park ontruimd, omdat er een feestende massa in het park aanwezig was. Daarop werd besloten vanaf donderdag de zij-ingangen te sluiten en de toestroom naar het park te controleren. Als dat niet voldoende effect zou hebben kon het park ook worden gesloten, meldde de gemeente. Dat is nu al drie dagen op rij gebeurd. In andere gemeenten waar het woensdag te druk was, zoals Utrecht en Tilburg, lijkt de drukte vandaag mee te vallen.","Lezersreacties; Vertaling Als schrijfster kan Marieke Lucas Rijneveld zich als geen ander inleven in een ander. Tot mijn verdriet geeft ze de opdracht terug voor de vertaling van het beroemd geworden gedicht The Hill We Climb Trouw, 27 februari. Uitgever, laat haar de vertaling afmaken, want ze is er al lang mee verbonden in haar hoofd of op papier. En zet een tweede kandidaat naast haar. Geef beide vertalingen naast elkaar uit en de lezer beslist welke gekozen wordt. Laten we nooit iemand buitensluiten om kleur, ras, etniciteit of wat dan ook. Toos Scheffer Tytsjerk Smet? Geen grote kop op de voorpagina nu de rechter in hoger beroep de regering alsnog in het gelijk stelt over de avondklok Trouw, 27 februari. En geen excuses voor eerdere artikelen waarin op basis van de uitspraak van de voorzieningenrechter die Viruswaarheid in het gelijk stelde, werd gesproken van de smet op het blazoen van Rutte. In plaats daarvan een wat weggestopt bericht over het hoger beroep. Frank Hendriks Nijmegen Kaag Dank voor het mooie interview met D66-lijsttrekker Sigrid Kaag Trouw, 27 februari.",medium,2021-02-27 17:18:07,2021-03-01 00:00:00,NOS liveblog,Trouw,3287534,3285370,,"Lucas Rijneveld, Scheffer Tytsjerk Smet, Frank Hendriks, Sigrid Kaag Trouw","['meldt', 'vondelpark', 'amsterdam', 'tilburg', 'toestroom']","['tytsjerk', 'scheffer', 'lezersreacties', 'alsnog', 'viruswaarheid']",3287534_3285370
