,Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2,unit_id
1,0.77158016,"Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.","Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.",high,2021-02-28 09:25:32,2021-03-01 00:00:00,NU.nl,De Telegraaf,3288497,3286364,"Forum voor Democratie-kiezers, Ipsos","Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']",3288497_3286364
2,0.78667533,"Van eerste besmetting tot avondklok: het coronajaar in foto&#39;s; De impact die het coronavirus heeft op de Nederlandse maatschappij is het afgelopen jaar uitgebreid in beeld gebracht. NU.nl maakte een chronologische selectie van opvallende en typerende beelden. Op 27 februari 2020 wordt de eerste offici le Nederlandse coronabesmetting vastgesteld. Het virus werd geconstateerd bij een 56-jarige man uit het Brabantse Loon op Zand. De dag erna wordt de pers te woord gestaan in het stadhuis van Tilburg. Op 9 maart 2020 kondigt premier Mark Rutte aan dat handen schudden tijdelijk tot het verleden behoort, iets wat hij zelf per ongeluk na de persconferentie doet. Daarna volgen de maatregelen om het coronavirus te bestrijden in een sneltreinvaart. Zo wordt thuiswerken de norm. Ondertussen wordt het beeld van ziekenhuismedewerkers in beschermende kleding steeds bekender. Omdat de druk op Brabantse ziekenhuizen te groot wordt, worden coronapati nten naar ziekenhuizen buiten de regio verplaatst. Vanwege de enorme druk waar ziekenhuispersoneel mee te maken krijgt, klapt Nederland voor de zorg. Op 18 maart wordt minister van Medische Zorg Bruno Bruins onwel in de Tweede Kamer. Ondertussen komen steden met steeds slimmere maatregelen om de coronaregels te stimuleren.","De Jonge: lijsttrekkers moeten in campagne behoedzaam zijn over corona; Minister De Jonge van Volksgezondheid vindt het logisch dat lijsttrekkers in de verkiezingscampagne spreken over wat ze graag zouden willen aan versoepelingen, maar hij vindt ook dat ze wel behoedzaam moeten zijn. Qua besmettingscijfers is de situatie nog steeds zorgelijk en er kan nu weinig, zegt De Jonge. Partijgenoot en CDA-lijsttrekker Hoekstra zei gisteren in het RTL-debat dat hij eerlijk moet zijn dat het nu niet kan, maar dat hij hoopt dat de terrassen snel open zijn. Het is logisch dat te hopen, zei De Jonge, maar zo snel als mogelijk is niet vandaag of morgen. Zo zijn er zorgen over de situatie in de kop van Noord-Holland waar erg veel pati nten zijn. In n regio code zwart ligt niet voor de hand, maar we moeten de pati nten goed tussen de regio's verdelen, zegt De Jonge. Maar we met moeten met zijn allen wel code zwart voorkomen.",high,2021-02-27 20:34:14,2021-03-01 12:59:00,NU.nl,NOS liveblog,3288518,6290523,"Mark Rutte, Tweede Kamer",Jonge van Volksgezondheid,"['brabantse', 'sneltreinvaart', 'coronabesmetting', 'ziekenhuismedewerkers', 'coronapati']","['besmettingscijfers', 'rtl', 'holland', 'versoepelingen', 'pati']",3288518_6290523
6,0.7890794,"Forum voor Democratie Jacht  op extra stemmen; Waar andere partijen zich nauwelijks op straat wagen toert Forum voor Democratie stad en land af. Die optredens trekken niet alleen de aandacht van kiezers het Openbaar Ministerie kijkt inmiddels of Baudets campagneteam niet op grote schaal de coronaregels geschonden heeft. Zo werden bij een bezoek aan Urk volgens getuigen honderden handen geschud. En dan was er nog de volmacht-rel. In een live-uitzending riep Baudet donderdag zijn kijkers op zoveel mogelijk stemmen per volmacht te regelen. Om de besmettingskansen te verkleinen mogen kiezers dit jaar niet twee maar drie volmachtsstemmen uitbrengen. Een persoon kan vier keer stemmen eigenlijk, als je maar die volmachten kunt regelen, aldus Baudet, en dat was een enorme kans. Ho, zei het ministerie van Binnenlandse Zaken dat is niet de bedoeling en mag helemaal niet. Daar leek het campagneteam van Forum toen al achter gekomen de suggestie om stemmen te regelen was door de partij schielijk uit het filmpje van Baudet geknipt. Aan een ander standpunt houdt Baudet wel openlijk vast de grote kans op verkiezingsfraude. Door anderen, uiteraard.","'Woningtekort niet opgelost met deze verkiezingsprogramma's'; De plannen voor de woningmarkt van meerdere politieke partijen verschillen maar weinig en lossen het woningtekort niet op. Dat concludeert het Planbureau voor de Leefomgeving PBL in zijn doorrekeningen van de partijprogramma's voor de komende verkiezingen. Het wijst erop dat experts vanuit allerlei hoeken erop wijzen dat er geen silver bullet is die het probleem oplost. Het PBL keek dit jaar voor het eerst naar de plannen voor de woningmarkt, een belangrijk thema deze verkiezingen. Er blijken weinig verschillen te zijn in de maatregelen die de zes onderzochte partijen voorstellen. Bovendien zal er met de voorstellen aan het einde van de komende kabinetsperiode nog altijd een woningtekort zijn, constateert het Planbureau. Volgens het PBL sluiten veel voorstellen voor de woningmarkt aan bij het huidige beleid of zijn ze al beleid. Ze vormen geen trendbreuk met het verleden. Sommige partijen willen een aparte minister die geheel verantwoordelijk is voor het woningaanbod, maar wat die minister anders moet gaan doen dan nu blijft onduidelijk Vooralsnog kan eigenlijk alles wat de partijen wensen, ook binnen de bestaande kaders worden gerealiseerd daar is geen aparte minister voor nodig.",high,2021-03-01 00:00:00,2021-03-01 10:59:13,NRC Handelsblad,NOS nieuws,3285636,6290555,"Forum voor Democratie, Forum voor Democratie, Ministerie kijkt, Urk, Baudet, Baudet, Baudet, Baudet","Planbureau voor de Leefomgeving, PBL, PBL, Planbureau, PBL, Vooralsnog","['besmettingskansen', 'volmachtsstemmen', 'schielijk', 'volmachten', 'baudets']","['doorrekeningen', 'woningaanbod', 'verkiezingsprogramma', 'leefomgeving', 'woningtekort']",3285636_6290555
11,0.73928654,"Makers van vaccins redden de mens, niet de belegger; Wie farmaceut zegt , zegt overwinsten althans , in sommige kringen . Gewapend met een betonnen octrooiwetgeving kunnen pillendraaiers vragen wat ze willen voor levensreddende medicijnen, is de teneur van de critici. Inderdaad zijn er voorbeelden die het imago van de branche geen goed hebben gedaan. Het sappigste verhaal is van Martin Shkreli, die in 2015 zijn Turing Pharmaceuticals de productierechten liet kopen van het medicijn Daraprim. Prompt ging de prijs van $ 13,50 naar $ 750 per pil. Deze actie leverde Shkreli inmiddels gedetineerd, trouwens de bijnaam meest gehate man van Amerika op. GroenLinks In deze tijden van pandemie zijn de kritische volgers van deze bedrijfstak opnieuw alert. Er gaan al stemmen op om het patent op de diverse vaccins tegen het coronavirus opzij te schuiven. GroenLinks breekt een lans voor dwanglicenties, waaronder de fabrikanten verplicht zijn hun kennis te delen met concurrenten. De fabrikanten met patenten misbruiken hun positie om extra winst te boeken, is de redenering. GroenLinks is niet de enige die kritisch is. Afgelopen week werden de bazen van de grote vaccinfabrikanten stevig aan de tand gevoeld in het Europees Parlement. AstraZeneca minus 3%.","Laatste coronanieuws: 4729 nieuwe besmettingen, hoger dan weekgemiddelde; 18.50 uur | Aantal nieuwe coronabesmettingen licht gedaald Tot 10.00 uur zondagochtend zijn bij het RIVM 4729 nieuwe coronabesmettingen gemeld. Dat zijn er 237 minder dan gisteren. Wel is het aantal nieuwe coronabesmettingen hoger dan het gemiddelde van vorige week. Toen werden per dag gemiddeld 4605 mensen positief getest, aldus het RIVM. In de ziekenhuizen is het aantal mensen met corona zondag toegenomen, zo meldt het Landelijk Co rdinatiecentrum Pati nten Spreiding 1848 pati nten tegen 1809 op zaterdag. Van hen lagen er zondag 526 op de intensive care tegen 518 op zaterdag. Verder maakte het RIVM bekend dat er 21 overleden covid-patiënten zijn gemeld tegen 41 op zaterdag. Over de afgelopen zeven dagen telde het RIVM gemiddeld vijftig coronadoden per dag, tegen gemiddeld 58 doden per dag een week eerder. Dat cijfer wordt volgens het RIVM mede bepaald door het aantal besmettingen in verpleeghuizen. Er zijn nu 417 verpleeghuizen waar de afgelopen twee weken minimaal n coronabesmetting is geregistreerd tegen 468 een week geleden. 18.45 uur | Opnieuw lockdown in Braziliaanse hoofdstad Zo mag er vanaf acht uur 's avonds geen alcohol meer worden verkocht. 16.",high,2021-02-28 00:00:00,2021-02-28 00:00:00,Het Financieele Dagblad,Het Financieele Dagblad,3290697,3290679,"Makers van vaccins redden de mens, Martin Shkreli, GroenLinks, GroenLinks, GroenLinks, Europees Parlement, AstraZeneca minus","RIVM, RIVM, Pati, RIVM, RIVM, RIVM mede bepaald","['farmaceut', 'dwanglicenties', 'pharmaceuticals', 'vaccinfabrikanten', 'gedetineerd']","['meldt', '4605', 'coronabesmettingen', 'besmettingen', 'coronabesmetting']",3290697_3290679
12,0.717443,"Ziekenhuisbezetting daalt met 55; De bezetting in de ziekenhuizen is de afgelopen dag afgenomen . Er lagen in totaal 1809 coronapati nten in het ziekenhuis, van wie 518 op de IC. Gisteren waren die aantallen 1864 en 525. In de afgelopen dag werden er ook 4993 nieuwe positieve coronagevallen gemeld bij het RIVM. Het gemiddeld aantal besmettingen per dag in de zeven voorgaande dagen stijgt daarmee van 4547 naar 4605.","Sportscholen demonstratief open: 'Bewegen is nu hard nodig'; Zaterdagochtend half negen , op het dak van Tino Hoogendijk Sport Fitness in Vlaardingen. Instructeur Marco Seij 51 zweept de boel nog eens extra op. Tikkie erbij, jongens, roept hij naar de twee sporters op hometrainers aan weerszijden van hem. De uit de kluiten gewassen mannen volgen zijn orders gedwee glimlachend op. Maar het is nog niet genoeg. Een paar tellen later Vier, drie, twee, n... J, goed zo jongens! Dit gaat goe-hoed! Over de aangrenzende, nagenoeg lege parkeerplaats galmt een housebeat. Op bescheiden volume, om de omwonenden op deze zaterdagochtend niet te storen. Na een minuut of twintig zit het pittige lesje op het dak er op en stappen de twee deelnemers hijgend van de fiets af. Er wordt gewisseld, op een manier die voldoet aan de RIVM-normen. Eerst de sporters die klaar zijn het dak af, dan de sporters die klaar staan het dak op. Nee, ideaal is het niet en een echte sportles eigenlijk ook niet. Niet eerder stonden ze hier op het dak. Hij heeft de hometrainers zelf met een kraan naar boven laten takelen.",high,2021-02-27 15:20:11,2021-03-01 00:00:00,NOS liveblog,Trouw,3287538,3285332,"IC, RIVM","Tino Hoogendijk Sport, J","['4605', 'besmettingen', 'ziekenhuisbezetting', 'coronapati', '525']","['instructeur', 'hometrainers', 'housebeat', 'zit', 'galmt']",3287538_3285332
16,0.74843025,"Verkiezingsdebat: Jetten zegt niet op wie hij stemt; D66-fractieleider Rob Jetten gaat stemmen op een kandidaat die heel creatief campagne heeft gevoerd . Dat is een oproep aan alle D66-kandidaten dat ze mijn stem nog kunnen winnen. Hij zei dit in het verkiezingsdebat van WNL in antwoord op de vraag van presentator Rick Nieman of hij op zichzelf of op lijsttrekker Sigrid Kaag gaat stemmen. Nieman zei pas op, dat zei Ruud Lubbers ook. Hij verwees daarmee naar de uitspraak van oud-premier Lubbers in de verkiezingscampagne van 1994 dat hij niet op CDA-lijsttrekker Brinkman ging stemmen, een moment dat de leiderschapscrisis in het CDA scherp aan het licht bracht. Jetten vond die vergelijking niet van toepassing. Hij zei er alle vertrouwen in te hebben dat Kaag op eigen kracht voldoende stemmen zal halen. Wij zien deze campagne ook echt als teamwork. Bij WNL op Zondag was vanochtend het eerste tv-verkiezingsdebat. De nummers 2 van de VVD Van Ark, de PVV Fleur Agema, het CDA Pieter Omtzigt, D66 Rob Jetten en de SP Renske Leijten en de nummer 3 van de PvdA Henk Nijboer traden met elkaar in het strijdperk. Iedere partij bracht een stelling in en mocht die als eerste een minuut verdedigen.","Excuses van de koning voor slavernij zijn onafwendbaar; Slavernijverleden Ruttes weigering om excuses te maken voor de slavernijgeschiedenis, is nu al onhoudbaar, betoogt Tineke Bennema. Weigeren is niet alleen ahistorisch, maar ook hovaardig.,De grote Perzische koningen uit de Oudheid lieten zichzelf graag in stenen reli fs afbeelden, zittend op een eenvoudige houten troon met een scepter in de hand. Maar die simpele stoel stond hoog boven op verschillende lagen van mensen die met geheven armen de vloer onder hem stutten. Als je door je oogharen kijkt, zouden zij boeken kunnen zijn in een boekenkast bestaand uit planken. Wie niet beter weet, denkt goh, sympathieke geste, erkenning van het werk van zijn burgers. Maar de koningen keken neer op hun onderdanen en hun bestuur was absoluut, en vaak wreed. Tineke Bennema is historicus. De Amerikaanse vicepresident Kamala Harris maakte gebruik van dezelfde metafoor van mensen die dragen, opofferen en samen meer kracht doorgeven. Nederig stelde ze in haar overwinningsspeech dat zij op de schouders stond van haar moeder, grootmoeder en al die vrouwen voor haar die ertoe bijdroegen dat zij als eerste zwarte Amerikaanse vrouw het vicepresidentschap kon bekleden.",high,2021-02-28 13:27:28,2021-03-01 00:00:00,NOS nieuws,NRC Handelsblad,3287516,3285647,"WNL, Rick Nieman, Sigrid Kaag, Nieman, Brinkman, CDA, WNL, VVD, Van Ark, PVV, Agema, CDA Pieter Omtzigt, D66, SP, Henk Nijboer","Slavernijverleden Ruttes, Tineke Bennema","['leiderschapscrisis', 'omtzigt', 'verkiezingsdebat', 'lubbers', 'ruud']","['onafwendbaar', 'ruttes', 'opofferen', 'slavernijverleden', 'amerikaanse']",3287516_3285647
21,0.6816601,"Geweld bij antilockdowndemo in Dublin; Bij een demonstratie tegen de coronamaatregelen in Dublin zijn zeker 23 mensen opgepakt . Relschoppers raakten slaags met de Ierse politie. Drie agenten raakten gewond. De politie zegt er van tevoren al op gerekend te hebben dat het protest gewelddadig zou worden. De ongeregeldheden waren aangekondigd op sociale media. We waren ons bewust van het protest en wat de intentie was. We hebben ons erop voorbereid en waren uiteraard van plan het in toom te houden, aldus de politiecommissaris. Volgens de politie gooiden relschoppers onder meer met vuurwerk. Verschillende parken waren van tevoren afgesloten door de politie. Demonstranten hadden aangekondigd naar het St Stephen's Green-park te willen marcheren. Ondanks de verhoogde politie-inzet kwamen er toch nog honderden mensen naar het centrum van Dublin, zonder mondkapje. Met wapenstokken werden ze weggehouden van het park. Veel politici reageren met afschuw op de rellen. Vicepremier Leo Varadkar schreef op Twitter Dit gedrag van een paar ego sten ondermijnt de offers die miljoenen mensen de afgelopen twaalf maanden hebben gebracht.","Kaag versus Wilders: U met uw zielige Zwarte Piet!; Kaag ergert zich aan de opmerking van PVV-leider Wilders over Zwarte Piet en vindt dat het belangrijk is om discriminatie hard aan te pakken. Dan begint u weer met die zielige Zwarte Piet, bijt ze hem toe. Rutte probeert ook Wilders uit zijn tent te lokken door hem te herinneren aan zijn complimenten over het werk van Kamervoorzitter Arib, die van Marokkaanse afkomst is. Wilders wil wel een nieuwe Kamervoorzitter, omdat hij wil dat zijn partijgenoot Bosma het wordt.",medium,2021-02-27 20:30:26,2021-02-28 22:10:45,NOS liveblog,NOS liveblog,3287531,3287476,"Geweld, Dublin, Leo Varadkar","Wilders, Zwarte Piet!, Zwarte Piet, Zwarte Piet, Wilders, Kamervoorzitter Arib","['ongeregeldheden', 'antilockdowndemo', 'wapenstokken', 'stephen', 'demonstranten']","['marokkaanse', 'kamervoorzitter', 'rutte', 'ergert', 'wilders']",3287531_3287476
24,0.8125943,"Nu rondkomen als student? Let op je aanvullende beurs, huur, \xc3\xa9n ga stemmen; Koop groenten op de markt, shop tweedehands online zijn er genoeg lijstjes met tips om het studentenleven financieel vol te houden. Studeren kost kisten vol geld. Op de kleintjes letten is dus goed, maar welke adviezen maken nu echt het verschil? Uit onderzoek van het Centraal planbureau CPB blijkt dat een kwart van de eerstejaarsstudenten in het hoger onderwijs die recht hebben op een aanvullende beurs, er geen gebruik van maken. Zij lopen daarmee maandelijks gemiddeld 175 euro mis. DUO-woordvoerder Martijn Grimmius weet niet waarom het gebeurt Dit wordt momenteel onderzocht. Wij communiceren het nu nog beter. Zo geven we het duidelijk op onze website aan en zijn we in januari gestart om de campagne bijna achttien op middelbare scholen te verspreiden. In deze campagne leren toekomstige studenten wat studiefinanciering is en wat je financieel nodig hebt om je gewenste opleiding te gaan volgen. Daarin geven we ook aan check altijd of je recht hebt op een aanvullende beurs.","'Schrikbarende' lastenverzwaring op komst voor bedrijfsleven; Bedrijven schrikken van de lastenverzwaringen die een nieuwe coalitie van welke signatuur ook in petto heeft. Uit doorrekeningen van het Centraal Planbureau CPB blijkt dat alle partijen extra uitgaven willen financieren door vermogen en winst zwaarder te belasten. Werkgeversorganisatie VNO-NCW waarschuwt dat investeringen daardoor in het gedrang komen. De PvdA gaat het verst, met bijna € 42 mrd aan lastenverzwaringen. De huidige favoriet van de kiezer, de VVD van Mark Rutte, komt ook met een extra rekening van € 3,6 mrd bovenop de € 2 mrd die al in het vat zat. Gemiddeld zou de huidige coalitie op bijna € 9 mrd lastenverzwaring uitkomen, doordat D66 en ChristenUnie de bedrijfslasten met respectievelijk € 15,4 mrd en € 11,4 mrd verhogen en het CDA met € 5,4 mrd. Schrikbarend en zorgelijk Schrikbarend, zegt VNO-NCW in een eerste reactie. En zorgelijk voor Nederland, want zo blijft er minder geld over om te investeren. Dit schaadt de creatie van nieuwe banen en investeringen in klimaat en innovatie, waarschuwen de werkgevers die al zwaar gebukt zeggen te gaan onder de coronacrisis en in te teren op reserves.",high,2021-02-28 21:37:06,2021-03-01 00:00:00,NU.nl,Het Financieele Dagblad,3288419,3290621,"CPB, Martijn Grimmius","Bedrijven, Centraal Planbureau CPB, PvdA, D66, CDA","['studiefinanciering', 'grimmius', 'eerstejaarsstudenten', 'xa9n', 'studentenleven']","['lastenverzwaringen', 'lastenverzwaring', 'doorrekeningen', 'bedrijfslasten', 'schrikbarend']",3288419_3290621
27,0.72014004,"Haagse plannen: hoe de politiek de volgende pandemie bestrijdt; Al een jaar staat alles in het teken van de coronacrisis en dat zal nog wel een tijdje zo blijven, niet in de laatste plaats voor politiek Den Haag. Toch bereiden partijen zich ondertussen ook al voor op de volgende virusuitbraak, als je de verkiezingsprogramma's mag geloven. Bijna alle dertien zittende partijen zeggen dat ze lessen willen trekken uit deze crisis om een volgende pandemie beter te bestrijden. De meeste aandacht gaat uit naar de bestrijding van de gevolgen van een uitbraak. De politiek is de chaotische taferelen van het voorjaar rond beschermingsmiddelen niet vergeten. Niet verwonderlijk, want een rits Tweede Kamerdebatten stond toen in het teken van mondkapjes, handschoenen en schorten voor zorgmedewerkers. Later kwamen daar de strubbelingen over testvloeistof en de testwattenstaafjes ook nog bij. Zwendel en woekerprijzen Dat nooit meer, is het idee. Veel partijen willen een strategische reserve, noodcapaciteit of ijzeren voorraad aanleggen van hulpmiddelen. Wie de spullen moet verzamelen, daarover lopen de meningen uiteen. Ook onder meer VVD en SP mikken erop de binnenlandse pakhuizen te vullen. Hiervoor wenden meerdere partijen hun blik naar Brussel.","Misstanden in Qatar al jaren aan de gang; Misstanden in Qatar al jaren aan de gang Optreden tegen Greenpeace . foto anp/hh Vanaf 2016 wisten we al over de arbeidsomstandigheden in Qatar en nu, drie weken voor de verkiezingen, zijn er politici die wakker worden en ons gaan vertellen dat we de wereldkampioenschappen moeten boycotten. Hoe geloofwaardig zijn ze nog, terwijl iedere dag een groot vrachtvliegtuig uit Qatar over mijn huis vliegt? Frans Bohlander Voetbalwereld 6500 doden tijdens de bouw van voetbalstadions in Qatar, tot nu toe. En Nederland overweegt nog steeds om daar te gaan voetballen. Bespottelijk en onbestaanbaar. Ook Johan Derksen vindt dat Nederland moet afhaken. Ronald de Boer vindt dat weer overdreven en nuanceert dat door te zeggen Het zijn er iets minder. Ok, het waren er maar 5000. Ronduit schandalig. Rob de Jonge Westervoort Vergoeding Hugo de Jonge smeekt de horeca om geduld en de terrassen niet open te gooien. Tel. 27/2. Dat is makkelijk te regelen, als de horeca een eerlijke beloning krijgt ter compensatie, iets waar de horeca al tijden om smeekt! R. den Hartog, Utrecht Restaurant We worden overspoeld met berichten dat de terrassen hoe dan ook open moeten.",high,2021-02-28 06:52:07,2021-03-01 00:00:00,NOS nieuws,De Telegraaf,3287522,3286377,"Al, VVD, SP","Greenpeace, anp/hh, Qatar, Frans Bohlander, Johan Derksen, Ronald de Boer, Rob, Utrecht Restaurant","['testwattenstaafjes', 'strubbelingen', 'mondkapjes', 'testvloeistof', 'kamerdebatten']","['greenpeace', 'ronald', 'derksen', 'nuanceert', 'westervoort']",3287522_3286377
31,0.78788936,"Het geld van de gemeenten raakt op, en dat gaat iedereen merken; Gemeentefinanci n Slechts twaalf gemeenten staan onder curatele, maar uit 336 toezichtbrieven blijkt dat vrijwel alle gemeenten financi le problemen hebben.,Wat is het nieuws? 120 van de 355 gemeenten hebben geen sluitende begroting voor 2021 kunnen maken. Vrijwel alle andere gemeenten hebben moeten bezuinigen of de lasten moeten verhogen om tot 2024 sluitende begrotingen te maken. 12 gemeenten staan onder curatele van de provincie. Maar dat cijfer verhult volgens provinciale en gemeentelijke politici de problemen van veel lokale overheden. Provincies waarschuwen dat gemeenten extra kosten moeten maken vanwege de coronacrisis. Ook voor nieuw beleid zoals het klimaatakkoord hebben gemeenten geld nodig. Lees het volledige nieuwsbericht Derde van gemeenten in geldnood Speeltuinen, bibliotheken, zwembaden, de muziekschool en het enige theater in de regio. Johan Hamster, wethouder Financi n ChristenUnie van Stadskanaal, bezuinigt al tien jaar op alles wat los en vast zit. Ook over de eigen ambtenaren en het welzijnswerk is de kaasschaaf gegaan, vertelt hij. Alleen door de lasten voor inwoners te verzwaren, lukte het de gemeente voorzieningen open te houden. Tot dit jaar. Het ging de gemeenteraad te ver.","De Jonge: lijsttrekkers moeten in campagne behoedzaam zijn over corona ; Minister De Jonge van Volksgezondheid vindt het logisch dat lijsttrekkers in de verkiezingscampagne spreken over wat ze graag zouden willen aan versoepelingen, maar hij vindt ook dat ze wel behoedzaam moeten zijn. Qua besmettingscijfers is de situatie nog steeds zorgelijk en er kan nu weinig, zegt De Jonge. Partijgenoot en CDA-lijsttrekker Hoekstra zei gisteren in het RTL-debat dat hij eerlijk moet zijn dat het nu niet kan, maar dat hij hoopt dat de terrassen snel open zijn. Het is logisch dat te hopen, zei De Jonge, maar zo snel als mogelijk is niet vandaag of morgen. Zo zijn er zorgen over de situatie in de kop van Noord-Holland waar erg veel pati nten zijn. In n regio code zwart ligt niet voor de hand, maar we moeten de pati nten goed tussen de regio's verdelen, zegt De Jonge. Maar we met moeten met zijn allen wel code zwart voorkomen.",high,2021-03-01 00:00:00,2021-03-01 12:59:00,NRC Handelsblad,NOS liveblog,3285637,3287414,"Gemeentefinanci n Slechts, Johan Hamster, Financi",Jonge van Volksgezondheid,"['welzijnswerk', 'bezuinigt', '2024', 'zit', 'verhult']","['besmettingscijfers', 'rtl', 'holland', 'versoepelingen', 'pati']",3285637_3287414
