Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2
0.74202025,"Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.","Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.",high,2021-03-01 00:00:00,2021-03-01 10:30:10,Trouw,NOS nieuws,3285316,6290557,"Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']"
0.77158016,"Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.","Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.",high,2021-02-28 09:25:32,2021-03-01 00:00:00,NU.nl,De Telegraaf,3288497,3286364,"Forum voor Democratie-kiezers, Ipsos","Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']"
0.78667533,"Van eerste besmetting tot avondklok: het coronajaar in foto&#39;s; De impact die het coronavirus heeft op de Nederlandse maatschappij is het afgelopen jaar uitgebreid in beeld gebracht. NU.nl maakte een chronologische selectie van opvallende en typerende beelden. Op 27 februari 2020 wordt de eerste offici le Nederlandse coronabesmetting vastgesteld. Het virus werd geconstateerd bij een 56-jarige man uit het Brabantse Loon op Zand. De dag erna wordt de pers te woord gestaan in het stadhuis van Tilburg. Op 9 maart 2020 kondigt premier Mark Rutte aan dat handen schudden tijdelijk tot het verleden behoort, iets wat hij zelf per ongeluk na de persconferentie doet. Daarna volgen de maatregelen om het coronavirus te bestrijden in een sneltreinvaart. Zo wordt thuiswerken de norm. Ondertussen wordt het beeld van ziekenhuismedewerkers in beschermende kleding steeds bekender. Omdat de druk op Brabantse ziekenhuizen te groot wordt, worden coronapati nten naar ziekenhuizen buiten de regio verplaatst. Vanwege de enorme druk waar ziekenhuispersoneel mee te maken krijgt, klapt Nederland voor de zorg. Op 18 maart wordt minister van Medische Zorg Bruno Bruins onwel in de Tweede Kamer. Ondertussen komen steden met steeds slimmere maatregelen om de coronaregels te stimuleren.","De Jonge: lijsttrekkers moeten in campagne behoedzaam zijn over corona; Minister De Jonge van Volksgezondheid vindt het logisch dat lijsttrekkers in de verkiezingscampagne spreken over wat ze graag zouden willen aan versoepelingen, maar hij vindt ook dat ze wel behoedzaam moeten zijn. Qua besmettingscijfers is de situatie nog steeds zorgelijk en er kan nu weinig, zegt De Jonge. Partijgenoot en CDA-lijsttrekker Hoekstra zei gisteren in het RTL-debat dat hij eerlijk moet zijn dat het nu niet kan, maar dat hij hoopt dat de terrassen snel open zijn. Het is logisch dat te hopen, zei De Jonge, maar zo snel als mogelijk is niet vandaag of morgen. Zo zijn er zorgen over de situatie in de kop van Noord-Holland waar erg veel pati nten zijn. In n regio code zwart ligt niet voor de hand, maar we moeten de pati nten goed tussen de regio's verdelen, zegt De Jonge. Maar we met moeten met zijn allen wel code zwart voorkomen.",high,2021-02-27 20:34:14,2021-03-01 12:59:00,NU.nl,NOS liveblog,3288518,6290523,"Mark Rutte, Tweede Kamer",Jonge van Volksgezondheid,"['brabantse', 'sneltreinvaart', 'coronabesmetting', 'ziekenhuismedewerkers', 'coronapati']","['besmettingscijfers', 'rtl', 'holland', 'versoepelingen', 'pati']"
0.7508147,"Moet er meer in de zorg geïnvesteerd worden?; Hoekstra CDA zegt dat er meer ge nvesteerd moet worden in de behandeling van kanker, obesitas en andere ziekten waar veel mensen aan lijden. Marijnissen van de SP vindt het schaamteloos dat de lijsttrekkers van de huidige regeringspartijen zeggen dat er meer geld in de zorg moet worden ge nvesteerd. Zij stemden steeds tegen, zegt zij. GroenLinks-lijsttrekker Klaver wil niet in harde woorden over dit onderwerp debatteren. We hebben elkaar juist nodig, zegt hij. De lijsttrekkers zijn het in ieder geval eens over de invloed die artsen moeten hebben bij dit vraagstuk.","Baudet: corona niet bewust wereld in geslingerd; Het coronavirus is niet bewust de wereld in geslingerd . Dat zei Forum voor Democratie-voorman Thierry Baudet in het NOS Radio 1 Journaal, waar hij als eerste lijsttrekker te gast was in de verkiezingsreeks met interviews. Uit een peiling bleek afgelopen weekend dat ruim de helft van FvD-kiezers denkt dat het coronavirus bewust is ontwikkeld om burgers wereldwijd te onderdrukken. 51 procent denkt dat corona een biologisch wapen is dat in een laboratorium is gefabriceerd. Baudet deelt die opvatting dus niet, maar vindt het wel extreem toevallig dat het virus ontstaan is in de buurt van een Chinees laboratorium waar onderzoek werd gedaan naar virussen. Verder ziet Baudet dat corona gebruikt wordt door wereldleiders om maatregelen door te voeren op weg naar een wereldstaat. Het woord complot vindt hij in dat verband niet gek. Het wordt als scheldwoord gebruikt, maar betekent letterlijk dat er onderlinge afspraken gemaakt worden die je niet naar buiten brengt. Ingestonken Online beantwoordde Baudet in een live Q&A de vragen van kijkers. De FvD-leider zegt dat hij niet betoogt dat het virus niet bestaat. Hij noemt corona een stevige griep. Maar hij ontdekte dat corona niet het ebolavirus is.",high,2021-02-28 21:37:41,2021-03-01 10:34:06,NOS liveblog,NOS nieuws,3287480,6290556,"Hoekstra CDA, SP, juist","Baudet, Forum voor Democratie-voorman Thierry Baudet, NOS, Radio 1 Journaal, FvD-kiezers, Baudet, Baudet, Baudet","['obesitas', 'marijnissen', 'vraagstuk', 'debatteren', 'regeringspartijen']","['virussen', 'chinees', 'ebolavirus', 'ingestonken', 'coronavirus']"
0.60565317,"Laatste coronanieuws: 4729 nieuwe besmettingen, hoger dan weekgemiddelde; 18.50 uur | Aantal nieuwe coronabesmettingen licht gedaald Tot 10.00 uur zondagochtend zijn bij het RIVM 4729 nieuwe coronabesmettingen gemeld. Dat zijn er 237 minder dan gisteren. Wel is het aantal nieuwe coronabesmettingen hoger dan het gemiddelde van vorige week. Toen werden per dag gemiddeld 4605 mensen positief getest, aldus het RIVM. In de ziekenhuizen is het aantal mensen met corona zondag toegenomen, zo meldt het Landelijk Co rdinatiecentrum Pati nten Spreiding 1848 pati nten tegen 1809 op zaterdag. Van hen lagen er zondag 526 op de intensive care tegen 518 op zaterdag. Verder maakte het RIVM bekend dat er 21 overleden covid-patiënten zijn gemeld tegen 41 op zaterdag. Over de afgelopen zeven dagen telde het RIVM gemiddeld vijftig coronadoden per dag, tegen gemiddeld 58 doden per dag een week eerder. Dat cijfer wordt volgens het RIVM mede bepaald door het aantal besmettingen in verpleeghuizen. Er zijn nu 417 verpleeghuizen waar de afgelopen twee weken minimaal n coronabesmetting is geregistreerd tegen 468 een week geleden. 18.45 uur | Opnieuw lockdown in Braziliaanse hoofdstad Zo mag er vanaf acht uur 's avonds geen alcohol meer worden verkocht. 16.","Lezersbrieven; EEN JAAR CORONA | Ik hoop dat we het nu niet langer afdoen als griep Een jaar verder... AD 28-2. Terwijl de tranen lopen lees ik dit mooi geschreven, aangrijpende artikel en wens de familie veel sterkte. Ik hoop dat de heren Baudet, Engel en volgelingen, mijns inziens meelopers zonder verstand, dit lezen en deze vreselijke ziekte niet langer afdoen als een griepje. Een belediging aan de nabestaanden. Ineke Pappers-Roodenrijs, Vlaardingen. EEN JAAR CORONA II | Ik denk aan de woorden van directeur Marcel Levi Wat een indrukwekkend overzicht over n jaar corona. En wat fijn om de mening van ethicus Theo Boer te lezen over de beeldvorming over ouderen. Hij zegt terecht Er is een merkwaardige focus dat als je een bepaalde leeftijd hebt, je er goed aan doet om eruit te stappen. Ik ben met hem eens dat het alarmerend is dat dit zo vaak geventileerd wordt en moet denken aan de woorden van de Nederlandse ziekenhuisdirecteur in Londen, Marcel Levi Een beschaafde samenleving kenmerkt zich door solidariteit. Diane Thomson, Strijensas.",medium,2021-02-28 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,Algemeen Dagblad,3290679,3286194,"RIVM, RIVM, Pati, RIVM, RIVM, RIVM mede bepaald","Lezersbrieven, AD, Baudet, Ineke Pappers-Roodenrijs, Marcel Levi, Theo Boer, Marcel Levi, Thomson, Strijensas","['meldt', '4605', 'coronabesmettingen', 'besmettingen', 'coronabesmetting']","['strijensas', 'roodenrijs', 'vlaardingen', 'thomson', 'lezersbrieven']"
0.8246309,"Volgens helft FVD-kiezers is corona een complot; De helft van de Forum voor Democratie-kiezers denkt dat het coronavirus is ontwikkeld om burgers wereldwijd te onderdrukken. Dat blijkt uit onderzoek van Ipsos, in opdracht van Nieuwsuur. 51 procent denkt dat het coronavirus een biologisch wapen is dat in een laboratorium is ontwikkeld. De gemiddelde Nederlander en stemmers op andere partijen delen die opvattingen niet. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.","Digitale campagne wordt platter én dieper; Verkiezingen Campagne voeren hoeft niet zo ingewikkeld te zijn. De VVD geeft op Instagram het voorbeeld, met een nieuwe trend, overgewaaid uit het buitenland. Trek de kiezer met grappige plaatjes. Tover een lach tevoorschijn. Wat altijd werkt zijn plaatjes van dieren. Bijvoorbeeld een foto van een kip en een roofvogel. De kip heeft verrassend genoeg de roofvogel op de grond gedwongen. Bijschrift bij de kip VVD met nieuwe plannen om de misdaad aan te pakken. Bij de beteuterde roofvogel staat Zware criminelen. Het oogt als typische internethumor, en zo is het ook bedoeld. De VVD heeft ook zulke plaatjes over kernenergie, met een pitbull en een labradorpuppy in beeld. In een paar woorden geven ze het standpunt van de partij weer. Grappen maken met ogenschijnlijk amateuristisch knip- en plakwerk is geen toeval het ontwapent. Achter de VVD-campagne steken bekende marketingbureaus, gespecialiseerd in het be nvloeden van gedrag. Wat die bureaus precies adviseren en organiseren blijft geheim, zoals bijna alle partijen in verkiezingstijd niet graag in hun keuken laten kijken. Ook de SP heeft zo'n campagne vol beeldgrappen.",high,2021-02-28 09:25:32,2021-03-01 00:00:00,NU.nl,Trouw,3288497,3285375,"Forum voor Democratie-kiezers, Ipsos","VVD, SP","['ipsos', 'coronavirus', 'nieuwsuur', 'nederlanders', 'opvattingen']","['labradorpuppy', 'internethumor', 'beeldgrappen', 'ontwapent', 'tevoorschijn']"
0.7890794,"Forum voor Democratie Jacht  op extra stemmen; Waar andere partijen zich nauwelijks op straat wagen toert Forum voor Democratie stad en land af. Die optredens trekken niet alleen de aandacht van kiezers het Openbaar Ministerie kijkt inmiddels of Baudets campagneteam niet op grote schaal de coronaregels geschonden heeft. Zo werden bij een bezoek aan Urk volgens getuigen honderden handen geschud. En dan was er nog de volmacht-rel. In een live-uitzending riep Baudet donderdag zijn kijkers op zoveel mogelijk stemmen per volmacht te regelen. Om de besmettingskansen te verkleinen mogen kiezers dit jaar niet twee maar drie volmachtsstemmen uitbrengen. Een persoon kan vier keer stemmen eigenlijk, als je maar die volmachten kunt regelen, aldus Baudet, en dat was een enorme kans. Ho, zei het ministerie van Binnenlandse Zaken dat is niet de bedoeling en mag helemaal niet. Daar leek het campagneteam van Forum toen al achter gekomen de suggestie om stemmen te regelen was door de partij schielijk uit het filmpje van Baudet geknipt. Aan een ander standpunt houdt Baudet wel openlijk vast de grote kans op verkiezingsfraude. Door anderen, uiteraard.","'Woningtekort niet opgelost met deze verkiezingsprogramma's'; De plannen voor de woningmarkt van meerdere politieke partijen verschillen maar weinig en lossen het woningtekort niet op. Dat concludeert het Planbureau voor de Leefomgeving PBL in zijn doorrekeningen van de partijprogramma's voor de komende verkiezingen. Het wijst erop dat experts vanuit allerlei hoeken erop wijzen dat er geen silver bullet is die het probleem oplost. Het PBL keek dit jaar voor het eerst naar de plannen voor de woningmarkt, een belangrijk thema deze verkiezingen. Er blijken weinig verschillen te zijn in de maatregelen die de zes onderzochte partijen voorstellen. Bovendien zal er met de voorstellen aan het einde van de komende kabinetsperiode nog altijd een woningtekort zijn, constateert het Planbureau. Volgens het PBL sluiten veel voorstellen voor de woningmarkt aan bij het huidige beleid of zijn ze al beleid. Ze vormen geen trendbreuk met het verleden. Sommige partijen willen een aparte minister die geheel verantwoordelijk is voor het woningaanbod, maar wat die minister anders moet gaan doen dan nu blijft onduidelijk Vooralsnog kan eigenlijk alles wat de partijen wensen, ook binnen de bestaande kaders worden gerealiseerd daar is geen aparte minister voor nodig.",high,2021-03-01 00:00:00,2021-03-01 10:59:13,NRC Handelsblad,NOS nieuws,3285636,6290555,"Forum voor Democratie, Forum voor Democratie, Ministerie kijkt, Urk, Baudet, Baudet, Baudet, Baudet","Planbureau voor de Leefomgeving, PBL, PBL, Planbureau, PBL, Vooralsnog","['besmettingskansen', 'volmachtsstemmen', 'schielijk', 'volmachten', 'baudets']","['doorrekeningen', 'woningaanbod', 'verkiezingsprogramma', 'leefomgeving', 'woningtekort']"
0.7886816,"Recht op reparatie van apparatuur komt steeds dichterbij; REPAIR CAF S Jeroen Groot en Caitlin Stooker Philip Leenman 68 wijst naar een Senseo. Het koffiezetapparaat van Philips staat in half gedemonteerde toestand op de werkbank in zijn werkkamer in Naarden. Voor het ongeoefende oog valt er weinig te zien aan het binnenste van het apparaat, maar Leenman weet precies wat er mis is. In dit geval betreft het de boiler om het water op temperatuur te brengen. Als het verwarmingselement wordt aangezet terwijl er geen water in zit, gaat het binnen zes seconden stuk, zegt de gepensioneerde ICT'er. Een kapot huishoudelijk apparaat belandt vaak bij het afval, omdat de kosten van reparatie door een professionele reparateur niet in verhouding staan tot de prijs van een nieuwe. Zonde, stelt het al in 2009 opgerichte Repair Caf. Hier zetten dan ook duizenden vrijwilligers zich in om huis-tuin-en-keukenspullen te repareren. Onder wie Leenman. Normaliter komen consumenten langs bij de Repair Caf s, waar vrijwilligers de kapotte spullen beoordelen en indien mogelijk ter plaatse repareren. Maar vanwege het coronavirus werken ook de reparateurs vanuit huis. Inmiddels zijn er in Nederland meer dan 500 Repair Caf s. Caf s, in 36 landen.","Pittig RTL-debat over klimaat, discriminatie en corona, maar zonder 'gamechanger'; De zes partijen zijn in het RTL-verkiezingsdebat een aantal keer stevig met elkaar in botsing gekomen. D66-leider Kaag viel uit naar PVV-leider Wilders over discriminatie en Zwarte Piet. GroenLinks-leider Klaver vond dat VVD-leider Rutte niet eerlijk was over kernenergie. Ook zei CDA-leider Hoekstra dat hij Rutte echt ongeloofwaardig vond toen hij had gezegd dat ook de VVD vond dat de rijksten meer belasting moesten betalen. U heeft het hardst gevochten voor de slechtste onderwerpen, aldus Hoekstra. Rutte was het er niet mee eens. Het beleid hebben we met elkaar gedaan. Voorrang gevaccineerden Kaag kreeg in het debat geen enkele bijval met haar plan om gevaccineerden voorrang te geven bij het loslaten van de coronamaatregelen, zoals ze gisteren voorstelde. PVV-lijsttrekker Wilders en SP-lijsttrekker Marijnissen zijn tegen voordeeltjes voor gevaccineerden en dwang of drang naar burgers toe. Marijnissen zegt dat dat leidt tot een tweedeling in de samenleving, terwijl burgers niet de keus hebben om zich snel te laten vaccineren. VVD-lijsttrekker Rutte is ook tegen, omdat het nog niet duidelijk is of mensen die zijn inge nt niet toch het virus verspreiden.",high,2021-03-01 00:00:00,2021-03-01 01:19:49,Het Financieele Dagblad,NOS nieuws,3290567,3287465,"REPAIR, CAF S Jeroen Groot, Philips, Leenman, Caf, Leenman, Repair Caf s, Caf s","Wilders, Zwarte Piet, VVD, Wilders, Marijnissen, Marijnissen","['verwarmingselement', 'reparateurs', 'koffiezetapparaat', 'reparateur', 'boiler']","['gevaccineerden', 'gamechanger', 'coronamaatregelen', 'verkiezingsdebat', 'marijnissen']"
0.8302801,"Contact met de kiezer; Geen flyerende lijsttrekkers in windjacks op markten deze keer . Kandidaat-Kamerleden zoeken noodgedwongen hun contact met de kiezer online. Zoals ChristenUnie-lijsttrekker Gert-Jan Segers, hierboven afgebeeld terwijl hij vragen beantwoordt die kiezers hem op online platform Instagram stellen. Anders dan praten met de burgers zelf, praten de politici nu tegen camera's. Populair zijn ook livesessies op Facebook. Zo ging Mark Rutte dit weekend in gesprek met horeca-ondernemers en zond de VVD dat uit op Facebook. Naast de online campagne, werd er dit weekend ook ouderwets geflyerd. Maar aanbellen, dat deden de meeste campagnevoerende partijleden niet, uit angst voor verdere verspreiding van het coronavirus. Forum voor Democratie ging er als enige partij wel op uit om campagne te voeren. Met een vrijheidskaravaan deed de partij Nijmegen en Venlo aan voor een manifestatie. Toen er meer dan tweehonderd mensen langskwamen, moest burgemeester Hubert Bruls de bijeenkomst, die wel aangekondigd en aangevraagd was, voortijdig afbreken. Een bezoeker in Venlo twitterde dat met de komst van Baudet het centrale plein voor het eerst sinds carnaval vorig jaar weer vol stond.","Kaag: vaccinatiebewijs of negatieve test moet weer toegang bieden tot 'het leven'; E r moet een vaccinatiebewijs komen om het maatschappelijk leven opnieuw op te starten, zegt D66-leider Sigrid Kaag. Ook gratis coronatests moeten toegang gaan bieden tot de horeca, winkels, stadions en onderwijslocaties. Ik zie al het voor me opa die net gevaccineerd is, eindelijk weer uit eten met kleindochter met negatieve test, zei Kaag zaterdagmiddag op het online verkiezingscongres van D66. Kaag is daarmee de eerste partijleider die onomwonden aanstuurt op de invoering van een vaccinatiebewijs. Zo'n bewijs is omstreden sommige partijen op het Binnenhof zien het als een instrument om Nederlanders indirect tot een vaccinatie te dwingen. Ook is nog onduidelijk of gevaccineerden andere mensen kunnen besmetten. Het taboe moet eraf, zei Kaag zaterdag. Volgens haar is een vaccinatiebewijs precies wat we nodig zullen hebben in het vervolg van de coronacrisis, op voorwaarde dat de maatregel tijdelijk is en de privacy van burgers wordt beschermd. Je kunt toch niet van gevaccineerde mensen verwachten dat ze wachten met leven totdat de laatste prik is gezet? Daarvoor is de stille crisis, met alle blijvende psychische schade door het isolement te groot.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Trouw,De Volkskrant,3285326,3285227,"Gert-Jan Segers, Mark Rutte, Forum voor Democratie, Hubert Bruls, Baudet","E r, Sigrid Kaag, stadions, D66, Kaag zaterdag","['livesessies', 'vrijheidskaravaan', 'flyerende', 'facebook', 'windjacks']","['gevaccineerd', 'gevaccineerden', 'gevaccineerde', 'vaccinatiebewijs', 'coronatests']"
0.84029365,"Partijen willen hogere lasten voor bedrijven, blijkt uit doorrekeningen CPB; Tien partijen kiezen voor flinke lastenverzwaring voor bedrijven . De mate waarin loopt wel sterk uiteen, blijkt uit de doorrekeningen van de verkiezingsprogramma's door het Centraal Planbureau. VVD en SGP laten de lasten voor het bedrijfsleven stijgen met 3,5 miljard euro in 2025, de PvdA met bijna 42 miljard euro. Het CPB heeft de programma's van tien partijen doorgerekend VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, Denk en 50Plus. In totaal zijn het 2000 maatregelen. Partijen als PVV, Partij voor de Dieren en Forum voor Democratie hebben hun programma's om uiteenlopende redenen niet laten doorrekenen. De meeste partijen willen de komende periode meer geld uitgeven. Ook daarbij zijn grote verschillen te zien. Het verschil tussen de partij die de overheidsuitgaven het minst laat stijgen in 2025, de SGP, en de partij die ze het meest laat stijgen, de SP, is 35 miljard euro. Ondernemersvereniging VNO-NCW noemt het buitengewoon zorgelijk dat de lasten voor het bedrijfsleven van enkele miljarden tot in theorie 42 miljard euro PvdA kunnen oplopen. Deze les lijkt men snel vergeten. De andere partijen blijven daar allemaal onder.","Baudet: corona niet bewust wereld in geslingerd; Het coronavirus is niet bewust de wereld in geslingerd . Dat zei Forum voor Democratie-voorman Thierry Baudet in het NOS Radio 1 Journaal, waar hij als eerste lijsttrekker te gast was in de verkiezingsreeks met interviews. Uit een peiling bleek afgelopen weekend dat ruim de helft van FvD-kiezers denkt dat het coronavirus bewust is ontwikkeld om burgers wereldwijd te onderdrukken. 51 procent denkt dat corona een biologisch wapen is dat in een laboratorium is gefabriceerd. Baudet deelt die opvatting dus niet, maar vindt het wel extreem toevallig dat het virus ontstaan is in de buurt van een Chinees laboratorium waar onderzoek werd gedaan naar virussen. Verder ziet Baudet dat corona gebruikt wordt door wereldleiders om maatregelen door te voeren op weg naar een wereldstaat. Het woord complot vindt hij in dat verband niet gek. Het wordt als scheldwoord gebruikt, maar betekent letterlijk dat er onderlinge afspraken gemaakt worden die je niet naar buiten brengt. Ingestonken Online beantwoordde Baudet in een live Q&A de vragen van kijkers. De FvD-leider zegt dat hij niet betoogt dat het virus niet bestaat. Hij noemt corona een stevige griep. Maar hij ontdekte dat corona niet het ebolavirus is.",high,2021-03-01 10:30:10,2021-03-01 10:34:06,NOS nieuws,NOS nieuws,6290557,3287447,"CPB, SGP, CPB, VVD, CDA, D66, GroenLinks, SP, PvdA, ChristenUnie, SGP, PVV, Partij voor de Dieren, Forum voor Democratie, SGP, SP","Baudet, Forum voor Democratie-voorman Thierry Baudet, NOS, Radio 1 Journaal, FvD-kiezers, Baudet, Baudet, Baudet","['lastenverzwaring', 'doorrekeningen', 'verkiezingsprogramma', 'overheidsuitgaven', '50plus']","['virussen', 'chinees', 'ebolavirus', 'ingestonken', 'coronavirus']"
