Similarity_Score,Text1,Text2,Group,Date1,Date2,Publisher1,Publisher2,ID1,ID2,proper_nouns1,proper_nouns2,keywords1,keywords2
0.74863315,"Rutte tegen Klaver: U bent aan het overtoepen! Klaver: 'Er wordt hier gelogen'; VVD-leider Rutte en GroenLinks-leider Klaver krijgen het stevig aan de stok over kernenergie en het klimaat. Rutte waarschuwt Klaver dat hij met al zijn klimaatwensen het draagvlak onder de bevolking verkleint. In Amsterdam is er bijvoorbeeld stevige discussie over de aanleg van windmolens. Er is ook onder GroenLinks-leden veel kritiek op het plan. U bent aan het overtoepen, waarschuwt Rutte. Het is tegen het zere been van Klaver. Hij vindt het slecht dat de VVD de klimaatplannen van de partij niet laat doorrekenen door het Planbureau voor de Leefomgeving. En hij vindt dat zowel Rutte als Hoekstra liegt door te doen alsof kernenergie helpt bij het bereiken van de klimaatdoelen van Parijs. Het bouwen van een kerncentrale duurt zeker wel dertig jaar en binnen tien jaar moet er iets gedaan worden aan het tegengaan van de opwarming van de aarde. Er wordt gelogen door twee leden van het kabinet, stelt Klaver. Rutte en Hoekstra zijn het daar niet mee eens.","CPB-doorrekening: lasten bedrijven en jonge generaties fors omhoog; Alle partijen willen de lasten van bedrijven de komende kabinetsperiode verhogen om extra uitgaven mogelijk te maken. De mate waarin partijen dat doen, verschilt aanzienlijk. De PvdA wil de lasten voor bedrijven met bijna € 42 mrd verhogen. Bij de VVD stijgen ze met € 3,6 mrd. Dat blijkt uit een doorrekening van de verkiezingsprogramma's die het Centraal Planbureau CPB, maandag heeft gepubliceerd. Onder het huidige beleid zouden de lasten van bedrijven ook al stijgen, maar met slechts € 1,9 mrd. Meer overheid Alle partijen willen de komende jaren de overheidsuitgaven structureel fors verhogen. Na correctie voor de incidentele extra corona-uitgaven dit jaar, gaan ze bij de zuinigste partijen VVD en SGP met ruim € 14 mrd respectievelijk € 10 mrd omhoog en bij de gulste partijen SP en PvdA met € 49 mrd en € 45 mrd. Populaire bestemmingen voor extra geld zijn zorg, onderwijs en sociale zekerheid. Boven op de structurele stijging van de zorguitgaven komen bij veel partijen extra loonsverhogingen. Defensie, openbaar bestuur en veiligheid komen er bij de meeste partijen bekaaid vanaf.",high,2021-02-28 22:30:43,2021-03-01 00:00:00,NOS liveblog,Het Financieele Dagblad,3287472,3290620,Planbureau voor de Leefomgeving,"PvdA, VVD, Centraal Planbureau CPB, VVD, SGP, SP","['klimaatdoelen', 'verkleint', 'klimaatwensen', 'leefomgeving', 'amsterdam']","['bekaaid', 'loonsverhogingen', 'overheidsuitgaven', 'mrd', 'zorguitgaven']"
0.71405137,"Wekdienst 28/2: Lijsttrekkers in debat • Kraker in eredivisie: PSV-Ajax; Goedemorgen ! De lijsttrekkers van VVD, PVV, CDA, D66, SP en GroenLinks zijn te zien bij het verkiezingsdebat van RTL Nieuws. En het wordt spannende dag in de Eredivisie, met onder meer de kraker PSV-Ajax. Het weer vanochtend verloopt vrij grijs met mist, nevel en laaghangende bewolking. In de middag breekt vooral in het zuiden de zon geleidelijk door, in het noorden blijft het op veel plaatsen grijs. Het wordt 6 tot 8 graden. Daar waar de zon wel goed kan doorbreken wordt het een graad of 10. De zwakke wind waait uit het noordoosten. Vanavond en vannacht krijgt het hele land opnieuw te maken met lage bewolking en mist. Ga je de weg op? Hier vind je het overzicht van de werkzaamheden. Check hier de dienstregeling voor het spoor. Wat kun je vandaag verwachten? De burgemeesters en natuurorganisaties houden drukte in parken en natuurgebieden scherp in de gaten. De afgelopen tijd was het in verschillende stadsparken veel te druk. Het Vondelpark in Amsterdam moest zelfs worden gesloten.","'Woningtekort niet opgelost met deze verkiezingsprogramma's'; De plannen voor de woningmarkt van meerdere politieke partijen verschillen maar weinig en lossen het woningtekort niet op. Dat concludeert het Planbureau voor de Leefomgeving PBL in zijn doorrekeningen van de partijprogramma's voor de komende verkiezingen. Het wijst erop dat experts vanuit allerlei hoeken erop wijzen dat er geen silver bullet is die het probleem oplost. Het PBL keek dit jaar voor het eerst naar de plannen voor de woningmarkt, een belangrijk thema deze verkiezingen. Er blijken weinig verschillen te zijn in de maatregelen die de zes onderzochte partijen voorstellen. Bovendien zal er met de voorstellen aan het einde van de komende kabinetsperiode nog altijd een woningtekort zijn, constateert het Planbureau. Volgens het PBL sluiten veel voorstellen voor de woningmarkt aan bij het huidige beleid of zijn ze al beleid. Ze vormen geen trendbreuk met het verleden. Sommige partijen willen een aparte minister die geheel verantwoordelijk is voor het woningaanbod, maar wat die minister anders moet gaan doen dan nu blijft onduidelijk Vooralsnog kan eigenlijk alles wat de partijen wensen, ook binnen de bestaande kaders worden gerealiseerd daar is geen aparte minister voor nodig.",high,2021-02-28 07:53:05,2021-03-01 10:59:13,NOS nieuws,NOS nieuws,3287521,6290555,"VVD, PVV, CDA, D66, SP, GroenLinks, RTL Nieuws, PSV-Ajax","Planbureau voor de Leefomgeving, PBL, PBL, Planbureau, PBL, Vooralsnog","['waait', 'amsterdam', 'vondelpark', 'goedemorgen', 'verkiezingsdebat']","['doorrekeningen', 'woningaanbod', 'verkiezingsprogramma', 'leefomgeving', 'woningtekort']"
0.84153026,"Economen: hogere belastingen jagen bedrijven weg; De plannen van politieke partijen om de lasten van bedrijven te verhogen komen niet uit de lucht vallen. Maar zonder risico zijn ze niet hogere belastingen maken Nederland minder aantrekkelijk als vestigingsplaats, waarschuwen hoogleraren. Nederland stond altijd hoog in lijstjes als het ging om concurrentievermogen. Daar waren meer redenen voor, maar het fiscale klimaat speelde zeker een rol. Als je daaraan morrelt weet je dat het vestigingsklimaat verslechtert, zegt hoogleraar economie Jakob de Haan van de Rijksuniversiteit Groningen. Effect negatief De Haan Als zelfs een ondernemerspartij als de VVD voor hogere lasten voor bedrijven is, dan weet je wat een volgende coalitie gaat doen. Als je meer geld wilt uitgeven als partij, kan ik me wel voorstellen dat je hiernaar kijkt. Maar ik maak me zorgen over de mate waarin de belastingen straks stijgen. Dat het effect negatief is, staat vast. Uit de maandag gepresenteerde doorrekening blijkt dat alle partijen die hun verkiezingsplannen aan het Centraal Planbureau voorlegden, hogere lasten voor bedrijven willen. De VVD met € 3,6 mrd het minst, de PvdA met € 42 mrd het meest.","Forum voor Democratie Jacht  op extra stemmen; Waar andere partijen zich nauwelijks op straat wagen toert Forum voor Democratie stad en land af. Die optredens trekken niet alleen de aandacht van kiezers het Openbaar Ministerie kijkt inmiddels of Baudets campagneteam niet op grote schaal de coronaregels geschonden heeft. Zo werden bij een bezoek aan Urk volgens getuigen honderden handen geschud. En dan was er nog de volmacht-rel. In een live-uitzending riep Baudet donderdag zijn kijkers op zoveel mogelijk stemmen per volmacht te regelen. Om de besmettingskansen te verkleinen mogen kiezers dit jaar niet twee maar drie volmachtsstemmen uitbrengen. Een persoon kan vier keer stemmen eigenlijk, als je maar die volmachten kunt regelen, aldus Baudet, en dat was een enorme kans. Ho, zei het ministerie van Binnenlandse Zaken dat is niet de bedoeling en mag helemaal niet. Daar leek het campagneteam van Forum toen al achter gekomen de suggestie om stemmen te regelen was door de partij schielijk uit het filmpje van Baudet geknipt. Aan een ander standpunt houdt Baudet wel openlijk vast de grote kans op verkiezingsfraude. Door anderen, uiteraard.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,NRC Handelsblad,3290606,3285634,"Economen, Jakob de Haan, VVD, Centraal Planbureau voorlegden, VVD","Forum voor Democratie, Forum voor Democratie, Ministerie kijkt, Urk, Baudet, Baudet, Baudet, Baudet","['verslechtert', 'vestigingsklimaat', 'verkiezingsplannen', 'mrd', 'jakob']","['besmettingskansen', 'volmachtsstemmen', 'schielijk', 'volmachten', 'baudets']"
0.8411739,"Vraag van de eigenaresse van een couscousbar aan PVV-lijsttrekker Wilders; Nadia wil van Wilders weten hoe zij het aan haar zoon moet uitleggen dat hij als tweederangsburger, geboren en getogen in Nederland, wordt weggezet. Wilders bestrijdt dat hij dat doet. Het gaat hem om de instroom van niet-westerse allochtonen, zegt hij. Nadia en Wilders komen in een heftige discussie terecht, over de islam en over de invloed van andere culturen. Wilders Nederlanders zijn vreemden in hun eigen land geworden. De invloed van de politieke islam is onwenselijk. Nadia Bent u ineens theoloog of zo? Ze nodigt hem uit voor couscous. Dat hoeft voor Wilders niet, maar hij wil wel met haar in gesprek.","Wilders in de schijnwerpers; Wilders in de schijnwerpers Den Haag Wilders tegen de rest . Dat was zondagavond de teneur bij het verkiezingsdebat van RTL. Meerdere lijsttrekkers probeerden Mark Rutte VVD te vloeren nu die in de peilingen nog steeds fier aan kop staat. Dat lukte niet. Het was vooral Wilders die opviel. Zo wist hij Sigrid Kaag D66 op de kast te krijgen met een discussie over diversiteitsquota. Dat k n toch niet, riep ze uit toen Wilders zei dat hij niet houdt van dit soort quota, maar wel graag iemand van kleur wil nomineren voor de positie van minister van Cultuur, namelijk Zwarte Piet. GL er Jesse Klaver ging onderuit door te stellen dat Ronald Koeman nog bondscoach van Oranje is. Dat hij inmiddels allang bij FC Barcelona zit, was hem kennelijk ontgaan.",high,2021-02-28 22:43:49,2021-03-01 00:00:00,NOS liveblog,De Telegraaf,3287471,3286364,"Wilders, Nadia, Wilders, Wilders bestrijdt, Nadia, Nadia Bent","Wilders, Mark Rutte, Sigrid Kaag D66, Wilders, Zwarte Piet, Jesse Klaver, Ronald Koeman, Oranje","['onwenselijk', 'couscousbar', 'couscous', 'nederlanders', 'theoloog']","['diversiteitsquota', 'ronald', 'rtl', 'zit', 'wilders']"
0.81041217,"Ondernemers in de race voor de Tweede Kamer; Er zijn maar weinig zelfstandig ondernemers die kans maken in de Tweede Kamer te komen . IJsmaker Romke de Jong D66 vertelt in het eerste deel van een serie portretten over wat hem drijft volksvertegenwoordiger te willen worden. Je moet draagvlak cre ren voor wat je wilt bereiken. Dat doet een politicus, maar dat doet een ondernemer ook. Die neemt zijn medewerkers en zijn klanten mee met waar hij naartoe wil met zijn onderneming.","Einde nadert langzaam voor omstreden investeringssubsidie Bik; Multinationals Het CDA wil zo snel mogelijk af van de Baangerelateerde Investerings Korting Bik. Volgens Tweede Kamerlid Pieter Omtzigt heeft het CDA, in de CPB-doorrekening van haar verkiezingsprogramma, afscheid van deze twee miljard euro investeringssubsidie genomen. Dat zei hij gisteren tijdens een verkiezingsdebat bij WNL op Zondag. Het lijkt erop dat de omstreden Bik een doodgeboren kindje is. Donderdag haalde een Kamermeerderheid al 200 miljoen euro uit de Bik om de bevriezing van de sociale huren komend jaar te financieren. De linkse partijen willen de resterende Bik-gelden benutten om hun wensen uit de verkiezingsprogramma's te financieren. Vandaag komt het Centraal Planbureau CPB met de doorrekeningen van de verkiezingsprogramma's. Bekend is al dat de PvdA het geld wil inzetten voor meer woningbouw. De investeringssubsidie kwam dit najaar plotseling op tafel vanuit de VVD. Uit CPB-berekeningen bleek toen dat tijdens het kabinet Rutte-3 de lasten van het bedrijfsleven alleen maar zijn verhoogd, terwijl VVD-leider Rutte de multinationals juist in 2017 had beloofd dat de dividendbelasting van 2 miljard euro werd afgeschaft. Rutte stuitte op grote politieke weerstand. De VVD speelde het dit najaar politiek hard.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,Trouw,3290668,3285323,"Tweede Kamer, Tweede Kamer, Romke","CDA, Pieter, CDA, euro, WNL, Centraal Planbureau CPB, VVD, euro","['ijsmaker', 'romke', 'volksvertegenwoordiger', 'die', 'het']","['doorrekeningen', 'bevriezing', 'dividendbelasting', 'verkiezingsprogramma', 'omtzigt']"
0.8033521,"Recht op reparatie van apparatuur komt steeds dichterbij; REPAIR CAF S Jeroen Groot en Caitlin Stooker Philip Leenman 68 wijst naar een Senseo. Het koffiezetapparaat van Philips staat in half gedemonteerde toestand op de werkbank in zijn werkkamer in Naarden. Voor het ongeoefende oog valt er weinig te zien aan het binnenste van het apparaat, maar Leenman weet precies wat er mis is. In dit geval betreft het de boiler om het water op temperatuur te brengen. Als het verwarmingselement wordt aangezet terwijl er geen water in zit, gaat het binnen zes seconden stuk, zegt de gepensioneerde ICT'er. Een kapot huishoudelijk apparaat belandt vaak bij het afval, omdat de kosten van reparatie door een professionele reparateur niet in verhouding staan tot de prijs van een nieuwe. Zonde, stelt het al in 2009 opgerichte Repair Caf. Hier zetten dan ook duizenden vrijwilligers zich in om huis-tuin-en-keukenspullen te repareren. Onder wie Leenman. Normaliter komen consumenten langs bij de Repair Caf s, waar vrijwilligers de kapotte spullen beoordelen en indien mogelijk ter plaatse repareren. Maar vanwege het coronavirus werken ook de reparateurs vanuit huis. Inmiddels zijn er in Nederland meer dan 500 Repair Caf s. Caf s, in 36 landen.","Het geld van de gemeenten raakt op, en dat gaat iedereen merken; Gemeentefinanci n Slechts twaalf gemeenten staan onder curatele, maar uit 336 toezichtbrieven blijkt dat vrijwel alle gemeenten financi le problemen hebben.,Wat is het nieuws? 120 van de 355 gemeenten hebben geen sluitende begroting voor 2021 kunnen maken. Vrijwel alle andere gemeenten hebben moeten bezuinigen of de lasten moeten verhogen om tot 2024 sluitende begrotingen te maken. 12 gemeenten staan onder curatele van de provincie. Maar dat cijfer verhult volgens provinciale en gemeentelijke politici de problemen van veel lokale overheden. Provincies waarschuwen dat gemeenten extra kosten moeten maken vanwege de coronacrisis. Ook voor nieuw beleid zoals het klimaatakkoord hebben gemeenten geld nodig. Lees het volledige nieuwsbericht Derde van gemeenten in geldnood Speeltuinen, bibliotheken, zwembaden, de muziekschool en het enige theater in de regio. Johan Hamster, wethouder Financi n ChristenUnie van Stadskanaal, bezuinigt al tien jaar op alles wat los en vast zit. Ook over de eigen ambtenaren en het welzijnswerk is de kaasschaaf gegaan, vertelt hij. Alleen door de lasten voor inwoners te verzwaren, lukte het de gemeente voorzieningen open te houden. Tot dit jaar. Het ging de gemeenteraad te ver.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,Het Financieele Dagblad,NRC Handelsblad,3290567,3285637,"REPAIR, CAF S Jeroen Groot, Philips, Leenman, Caf, Leenman, Repair Caf s, Caf s","Gemeentefinanci n Slechts, Johan Hamster, Financi","['verwarmingselement', 'reparateurs', 'koffiezetapparaat', 'reparateur', 'boiler']","['welzijnswerk', 'bezuinigt', '2024', 'zit', 'verhult']"
0.7628343,"Opstand begin van corona-uitbraak; Opstand begin van corona-uitbraak In de gevangenis van Ter Apel ging het goed mis. Volgens de FNV had het voorkomen kunnen worden. Foto ’s ANP/HH Volgens Sander Dekker heeft de PI Ter Apel zich niet aan de interne DJI-richtlijn gehouden. Veel kritiek op beleid gevangenis Ter Apel door Koen Nederlof TER APEL Een opstand in de gevangenis van Ter Apel lijkt het begin te zijn geweest van een corona-uitbraak waarbij bijna de helft van de gedetineerden en tientallen medewerkers ziek werden. Maar dat kon alleen gebeuren door een maandenlang beleid vol fouten, zeggen betrokkenen. En nog altijd maakt het personeel zich zorgen een nieuwe uitbraak ligt volgens hen op de loer. Door de uitbraak raakten bijna 200 mensen besmet, onder wie zo ’n 50 personeelsleden. De Telegraaf ploos uit hoe het zo mis kon gaan. De sleutel ligt bij een opstand op 3 januari, zegt Roy, een medewerker die onder een andere naam zijn verhaal doet. Die opstand werd vreedzaam be indigd, onder meer door het Intern Bijstands Team IBT. Vermoedelijk waarde het coronavirus toen al rond binnen de muren van de bajes, zegt Roy.","Helft van de Forum-stemmers ziet complot; De helft van de mensen die op Forum voor Democratie FVD willen stemmen, denkt dat het coronavirus bewust is ontwikkeld om burgers wereldwijd te onderdrukken. 51 procent denkt dat corona een biologisch wapen is dat in een laboratorium is gefabriceerd. Dat komt naar voren uit onderzoek van Ipsos, in opdracht van Nieuwsuur. De opvattingen van FVD-kiezers over complottheori n wijken behoorlijk af van die van de gemiddelde Nederlander. Onder alle Nederlanders gelooft 11 procent dat het virus bewust is ontwikkeld en 13 procent dat het een biologisch wapen is.",high,2021-03-01 00:00:00,2021-03-01 00:00:00,De Telegraaf,Trouw,3286378,3285337,"Opstand, Ter Apel, FNV, Sander Dekker, PI, Ter Apel, Koen Nederlof TER, APEL, Ter Apel, Telegraaf, Roy, IBT, Roy","Forum voor Democratie, Ipsos","['indigd', 'coronavirus', 'sander', 'bajes', 'anp']","['ipsos', 'coronavirus', 'gefabriceerd', 'complottheori', 'nieuwsuur']"
0.81563056,"Baudet beschuldigd van kiezersbedrog door komst windmolens; De lijsttrekker van Forum voor Democratie, Thierry Baudet voelt zich niet aangesproken dat zijn partij in Brabant beschuldigd wordt van kiezersbedrog. Als we genoeg zetels hadden gehad, hadden we de boel om kunnen gooien, zegt de zelfverklaarde partijkartelbestrijder. In Noord-Brabant werd FvD de n na grootste partij en maakt er deel uit van het provinciebestuur, samen met CDA en VVD. Maar Brabander Pascal Spelier is teleurgesteld. Hij is voorzitter van de actiegroep Groen in Zicht met 600 leden en vecht windturbines in Brabant aan. We hebben Forum voor Democratie beticht van kiezersbedrog, omdat ze van windturbines, waar ze tegen zouden zijn, een groot punt hebben gemaakt in het verkiezingsprogramma. In het Brabantse coalitieakkoord zegt FvD een betrouwbare partner van het klimaatakkoord te zijn en ontkomen we niet aan het plaatsen van windmolens op Brabants grondgebied om die doelstellingen te halen. En dus komen er naar het zich laat aanzien een vijftigtal windturbines van zo'n 200 meter hoog tussen Oss en Den Bosch. Spelier Bij nader inzien blijkt de stelligheid waarmee FvD zich uitspreekt tegen windturbines vooral verkiezingsretoriek te zijn geweest.","Gods politiek; Stevo Akkerman Zonder enige waarschuwing vooraf plaatste politiek historicus Ewout Klei vorige week een verkiezingsaffiche uit 1952 op twitter. Kiezers, stond er in grote letters, een heilloze politiek voert ons zienderogen naar de ondergang! Een pakkende leuze, afkomstig van het Gereformeerd Politiek Verbond GPV, dat 48 jaar later zou opgaan in de ChristenUnie. Het GPV deed in 1952 voor het eerst mee lijst 12, voor handhaving van gezag en vrijheid beide, kandidaat A. Zijlstra. Het was die naam waardoor ik wakker schrok. In mijn boekenkast staat het boekje Albertus Zijlstra, leven en arbeid, een biografie, geschreven door S. Akkerman, mijn grootvader. En voltooid door dr. C. Smits, omdat mijn grootvader overleed voordat het manuscript gereed was. Ik heb het nooit durven lezen, bang voor een overdosis vrijgemaaktheid. Maar nu ik er toch in begon te bladeren, was ik snel verkocht. Oh, de onwrikbare geloofsartikelen van die tijd, waarvoor men bereid was te lijden en anderen te laten lijden. De eigen taal, mij tegelijkertijd zo vertrouwd en zo vreemd Andere tijden.",high,2021-02-27 22:36:38,2021-03-01 00:00:00,Nieuwsuur,Trouw,3287577,3285316,"Forum voor Democratie, Baudet, CDA, VVD, Pascal Spelier, Groen in Zicht, Forum voor Democratie","Stevo Akkerman Zonder, ChristenUnie, GPV, Albertus Zijlstra, S. Akkerman, C. Smits","['verkiezingsretoriek', 'partijkartelbestrijder', 'kiezersbedrog', 'windturbines', 'brabantse']","['verkiezingsaffiche', 'albertus', 'heilloze', 'ewout', 'zijlstra']"
0.7705596,"Ook Texel begonnen met vaccineren; Als laatste Waddeneiland is ook Texel begonnen met vaccineren . In een sporthal in Den Burg kregen 300 mensen vandaag hun eerste prik, schrijft NH Nieuws. In deze vaccinatieronde krijgen alle Texelaars boven de 75 een prik, net als personeel in de ouderen- en gehandicaptenzorg. In totaal gaat het om zo'n 1400 mensen, die in vier dagen worden inge nt. Over vijf weken volgt de tweede prik voor de mensen die nu worden gevaccineerd.","'Opvallend en veelzeggend dat VVD en CDA hier niet staan'; Een aantal partijen heeft op een persconferentie gereageerd op de doorrekeningen van het CPB en de PBL. En op het feit dat CDA en VVD n et op de persconferentie waren. Vooral de progressieve partijen staan hier, zei GroenLinks-leider Klaver. Opvallend en veelzeggend dat VVD en CDA hier niet staan. Hun programma's zijn sociaal slecht en brengen economische rampspoed, stelt PvdA-Kamerlid Nijboer. Dus ik snap wel dat ze hier niet staan. D66 benadrukt dat blijkt dat Nederland sterker en groener uit de crisis komt, als hun partijprogramma wordt uitgevoerd. De crux is dus dat het wel kan, veel ambities hebben en de economie een steun in de rug geven, zei Kamerlid Van Weyenberg. D66 heeft de CO2-reductie op 60 procent staan in 2030. Dat is relatief ambitieus, maar GroenLinks gaat er nog overheen. Wij komen uit op 63 procent, zei Klaver. Dat is belangrijk, want de uitvoering blijft altijd achter, daarom heb je overshoot nodig.",high,2021-02-27 17:37:33,2021-03-01 13:15:24,NOS liveblog,NOS liveblog,3287533,6290506,NH,"CDA, CPB, PBL, CDA, CDA, Kamerlid Van Weyenberg, ambitieus, GroenLinks","['gevaccineerd', 'vaccineren', 'waddeneiland', 'gehandicaptenzorg', 'texelaars']","['rampspoed', 'doorrekeningen', 'reductie', 'overshoot', 'groener']"
0.82764554,"Stelling 2:  minimaal 10 procent van de bewindslieden moet van kleur zijn; De offici le tekst van de stelling luidt Als mijn partij meedoet aan het volgende kabinet zal minimaal 10 procent van de bewindslieden van kleur zijn of een niet-westerse migratieachtergrond hebben. GroenLinks, SP en D66 zijn hiervoor. PVV-lijsttrekker Wilders houdt niet van zulke stellingen. De eerste persoon van kleur die ik zou willen verdedigen is Zwarte Piet. Rutte drukt op rood Ik wil niet dat iemand dan in mijn kabinet zit en denkt ik zit hier alleen omdat Rutte bij Frits Wester op groen heeft gedrukt. Hij ziet ook dat er sprake is van een trend dat het beter gaat met mensen aan de top van een niet-westerse achtergrond. Jesse Klaver begint over Ronald Koeman die trainer is van het Nederlandse elftal en dat leidt tot hilariteit op Twitter.","Een vraag van een slachtoffer van de toeslagenaffaire aan VVD-lijsttrekker en demissionair premier Rutte; Hoe wil Rutte het vertrouwen terugwinnen ? vraagt Kristie. U heeft mij in de steek gelaten. Rutte zegt begrip te hebben voor de situatie waar de ouders in terechtgekomen zijn. Hij noemt het een schandvlek en een debacle. Maar hij vraagt toch om vertrouwen dat hij de problemen gaat oplossen. Jullie zijn geen fraudeurs, dat wil ik hier gezegd hebben, zegt Rutte. Kristie zegt dat zij geen goede rechtshulp heeft gekregen omdat daarop is bezuinigd door het kabinet. Rutte zegt dat die zaken geen verband houden. De ouders is onrecht aangedaan, zegt hij. Jullie krijgen alle advocatenhulp die er nodig is, is zijn toezegging.",high,2021-02-28 22:03:24,2021-02-28 22:15:58,NOS liveblog,NOS liveblog,3287477,3287475,"GroenLinks, SP, D66, Wilders, Zwarte Piet, Frits Wester, Jesse Klaver, Ronald Koeman","Kristie, Jullie, Kristie, Jullie","['ronald', 'hilariteit', 'zit', 'westerse', 'migratieachtergrond']","['toeslagenaffaire', 'schandvlek', 'kristie', 'fraudeurs', 'rechtshulp']"
